Language,Default

#DeepL

#,[ 01-00. One Hand Melee: Start ]
00_MeleeWp_01_OHM_00_Start_KitchenKnife_NameKey,Ржавый Тесак
00_MeleeWp_01_OHM_00_Start_KitchenKnife_DescKey,"Старый, покрытый ржавчиной кухонный нож. Надеюсь Альп не использует его в готовке."


#,[ 01-01. One Hand Melee: Tier ]
00_MeleeWp_01_OHM_01_Tier01_Sword_NameKey,Ржавый Меч
00_MeleeWp_01_OHM_01_Tier01_Sword_DescKey,Он достаточно острый чтобы резать... и ржавчина будет попадать в раны, и наносить калечащиё урон для небронированных врагов.

00_MeleeWp_01_OHM_01_Tier01_Club_NameKey,Склееная Дубина
00_MeleeWp_01_OHM_01_Tier01_Club_DescKey,Склееные клейкой лентой палки... И ты называешь это оружием?

00_MeleeWp_01_OHM_01_Tier02_Sword_NameKey,Острый Меч
00_MeleeWp_01_OHM_01_Tier02_Sword_DescKey,Это антикварный меч все ещё остр, и конечно же проливал кровь раньше.

00_MeleeWp_01_OHM_01_Tier02_Club_NameKey,Деревянная Бита
00_MeleeWp_01_OHM_01_Tier02_Club_DescKey,Изготовлена из цельного дерева. Может наносить урон через броню, если ударите достаточно сильно.

00_MeleeWp_01_OHM_01_Tier02_A_Sword_NameKey,Трупный Меч
00_MeleeWp_01_OHM_01_Tier02_A_Sword_DescKey,Меч сделанный из заточеных костей подземных монстров. Хорош если ничего другого нет, не очень прочен.

00_MeleeWp_01_OHM_01_Tier02_A_Club_NameKey,Трупная Дубина
00_MeleeWp_01_OHM_01_Tier02_A_Club_DescKey,Бита из затвердевших котсей подземных монстров. Выглядит внушительно, но может сломаться в любой момент.

00_MeleeWp_01_OHM_01_Tier03_Club_NameKey,Шипастая Дубина
00_MeleeWp_01_OHM_01_Tier03_Club_DescKey,Класическая комбинация дерева и метала. Достаточно прочная чтобы крушить врагов и острая чтобы вызвать кровотечения.

00_MeleeWp_01_OHM_01_Tier03_Sword_NameKey,Пятилезвенный Меч
00_MeleeWp_01_OHM_01_Tier03_Sword_DescKey,"Острейший меч в округе, может разрезать почти что всё."

00_MeleeWp_01_OHM_01_Tier04_Club_NameKey,Экспериментальная Дубина
00_MeleeWp_01_OHM_01_Tier04_Club_DescKey,Экспериментальная булава из Мастерской Юдит. Тяжела и громоздка, но действительно впечетляет.

00_MeleeWp_01_OHM_01_Tier04_Sword_NameKey,Экспериментальная Меч
00_MeleeWp_01_OHM_01_Tier04_Sword_DescKey,Юдит сделала этот Экспериментальный Меч с помощью технологий. Выглядит шатко, но в теории может резать и шокировать??.

00_MeleeWp_01_OHM_01_Tier05_Club_NameKey,Высокотехнологичная Булава ля Болезненного Удаления Зубов
00_MeleeWp_01_OHM_01_Tier05_Club_DescKey,Джутит сделала булаву легче в управлении и бьет словно сбило грузовиком. Вы не захотите оказаться на другом конце этой штуки.

00_MeleeWp_01_OHM_01_Tier05_Sword_NameKey,'Магический' Меч Непостижимой Мощи
00_MeleeWp_01_OHM_01_Tier05_Sword_DescKey,Никакие броня не сможет противостоять этому мечу, созданному из чистой энергии. Как, черт возьми, Джудит сделала эту штуку?
#Human Translate End

#,[ 01-02. One Hand Melee: Side ]
00_MeleeWp_01_OHM_02_Side_Crowbar_NameKey,Монтировка
00_MeleeWp_01_OHM_02_Side_Crowbar_DescKey,"Он несколько староват, но, возможно, у он сможет сделать еще несколько взмахов."

00_MeleeWp_01_OHM_02_Side_Homi_NameKey,Хоми
00_MeleeWp_01_OHM_02_Side_Homi_DescKey,Корейская мотыга, обычно используемая в садоводстве. Неординарное оружие, но в случае необходимости пригодится.

00_MeleeWp_01_OHM_02_Side_Kettlebell_NameKey,Гиря
00_MeleeWp_01_OHM_02_Side_Kettlebell_DescKey,Увесистый тренажер для тренировки верхней части тела и иногда ломания черепов монстров.

00_MeleeWp_01_OHM_02_Side_Riotrod_NameKey,Бунтарский Жезл
00_MeleeWp_01_OHM_02_Side_Riotrod_DescKey,Мертвым охранникам под землей больше не нужны их охранные жезлы. Это поможет вам сохранить порядок в шахтах.

00_MeleeWp_01_OHM_02_Side_Rolling_Pin_001_NameKey,Скалка
00_MeleeWp_01_OHM_02_Side_Rolling_Pin_001_DescKey,"Готовите ли вы торт или бьете монстра по голове - этот мощный инструмент справится с задачей."

00_MeleeWp_01_OHM_02_Side_Frying_Pan_001_NameKey,Сковорода
00_MeleeWp_01_OHM_02_Side_Frying_Pan_001_DescKey,"Поначалу это может показаться мультяшным, но эта тяжелая чугунная сковорода способна расплющить все на своем пути."

00_MeleeWp_01_OHM_02_Side_Wrench_001_NameKey,Тяжёлый Гаечный Ключ
00_MeleeWp_01_OHM_02_Side_Wrench_001_DescKey,"Этот удобный инструмент изготовлен из толстого металла, достаточно прочного, чтобы сломать что-нибудь при необходимости."

00_MeleeWp_01_OHM_02_Side_Scalpel_001_NameKey,Скальпель
00_MeleeWp_01_OHM_02_Side_Scalpel_001_DescKey,"Короткий, тонкий клинок, позволяющий уничтожать врагов с хирургической точностью."

00_MeleeWp_01_OHM_02_Side_Truncheon_001_NameKey,Полицейская Дубинка
00_MeleeWp_01_OHM_02_Side_Truncheon_001_DescKey,"Эта учебная деревянная дубинка, используемая в первую очередь правоохранительными органами для защиты, также отлично подходит для усмирения противника."

00_MeleeWp_01_OHM_02_Side_Ratchet_Wrench_001_NameKey,Трещотка с Длинной Ручкой
00_MeleeWp_01_OHM_02_Side_Ratchet_Wrench_001_DescKey,"Изготовленный из тонкого прочного металла, он может откручивать гайки и поражать врагов."

00_MeleeWp_01_OHM_02_Side_Fretsaw_001_NameKey,Фрезерная Пила
00_MeleeWp_01_OHM_02_Side_Fretsaw_001_DescKey,Прочная фрезерная пила с острыми лезвиями и достаточным количеством зубьев, чтобы разрезать кости и плоть. 

00_MeleeWp_01_OHM_02_Side_RustyPipe_001_NameKey,Газовая Труба
00_MeleeWp_01_OHM_02_Side_RustyPipe_001_DescKey,Частично проржавевшая металлическая труба, отрезанная в длину,  для использования одной рукой. Тяжелая, но смертоносная. 


#,[ 01-03. One Hand Melee: Special ]
