Language,Default

#DeepL

#,[ 01. Food ]
30_Usable_01_Food_Mushroom_NameKey,Пещерный Гриб
30_Usable_01_Food_Mushroom_DescKey,Гриб, который растет в пещерах. Опасен, если употреблять его в сыром виде.

30_Usable_01_Food_Plant_General_001_NameKey,Токсичные Листья
30_Usable_01_Food_Plant_General_001_DescKey,Фиолетовые листья, собранные с растений Титана, зараженной наноботами окружающей среды.

30_Usable_01_Food_Plant_General_002_NameKey,Токсичный Красный Фрукт
30_Usable_01_Food_Plant_General_002_DescKey,Красный фрукт, собранный с растения Титана, зараженной наноботами окружающей среды.

30_Usable_01_Food_Plant_General_004_NameKey,Токсичные ягоды
30_Usable_01_Food_Plant_General_004_DescKey,Бесцветные ягоды, собранные с растения Титана,зараженной наноботами окружающей среды.

30_Usable_01_Food_Huygen_Bread_NameKey,Гюйгенский Хлеб
30_Usable_01_Food_Huygen_Bread_DescKey,"Хлеб, приготовленный в Лагере Гюйген. Ингредиенты не такие, как обычно, поэтому вкус... не очень."

30_Usable_01_Food_Cockroach_Yokan_NameKey,Таракиний Ёкан
30_Usable_01_Food_Cockroach_Yokan_DescKey,"Еда из агара, сахара и тараканов? Не могу поверить, что они последовали за нами до самого Титана."

30_Usable_01_Food_Mushroom_Salad_NameKey,Мантар Соте
30_Usable_01_Food_Mushroom_Salad_DescKey,Тушеные пещерные грибы в сочетании с простой зеленью. Совсем неплохо.

30_Usable_01_Food_Potato_NameKey,Картофель
30_Usable_01_Food_Potato_DescKey,Огромный картофель, выращенный и проданный на ферме Сеён.

30_Usable_01_Food_Carrot_NameKey,Морковь
30_Usable_01_Food_Carrot_DescKey,Ярко-оранжевая морковь, выращенная и проданная на ферме Сеён.

30_Usable_01_Food_Daikon_NameKey,Дайкон
30_Usable_01_Food_Daikon_DescKey,Дайкон (редис), выращенный и проданный на ферме Сеён.

30_Usable_01_Food_Pumpkin_NameKey,Тыква
30_Usable_01_Food_Pumpkin_DescKey,Тыква, выращенная и проданная на ферме Сеён.

30_Usable_01_Food_Chill_NameKey,Чили
30_Usable_01_Food_Chill_DescKey,Несколько перцев чили, выращенных и проданных на ферме Сеён.

30_Usable_01_Food_Tomato_NameKey,Томат
30_Usable_01_Food_Tomato_DescKey,Свежий помидор, выращенный и проданный на ферме Сеён.

30_Usable_01_Food_Sweet_Potato_NameKey,Сладкий Картофель
30_Usable_01_Food_Sweet_Potato_DescKey,Немного сладкого картофеля, выращенного и проданного на ферме Сеён.

30_Usable_01_Food_JozefsGoulash_NameKey,Гуляш Йозефа
30_Usable_01_Food_JozefsGoulash_DescKey,"Вкусный, питательный и приготовленный по вкусу Юзефа."


#,[ 02. Drink ]
30_Usable_02_Drink_Water_NameKey,Вода
30_Usable_02_Drink_Water_DescKey,"Очищенная вода, пригодная для питья, в отличие от большинства жидкостей на Титане."

30_Usable_02_Drink_Centipede_Juice_NameKey,Сок Cороконожки
30_Usable_02_Drink_Centipede_Juice_DescKey,"Сок из сороконожек. Он... не так уж плох, на удивление. Немного пряный."


#,[ 03. Medical ]
30_Usable_03_Medical_AidKit_Old_NameKey,Набор первой помощи TECC
30_Usable_03_Medical_AidKit_Old_DescKey,Медикаменты из первого поселения TECC. Используйте его разумно, так как в Лагере Гюйген этот предмет воспроизвести невозможно.

30_Usable_03_Medical_AidKit_Old_First_NameKey,Медицинский набор TECC
30_Usable_03_Medical_AidKit_Old_First_DescKey,"Созданный в TECC, с высокоуровневыми, продвинутыми возможностями лечения. Используйте его размуно, так как в Лагере Гюйген не могут воспроизвести этот предмет."

30_Usable_03_Medical_AidKit_NameKey,Набор Первой Помощи
30_Usable_03_Medical_AidKit_DescKey,"Набор Первой Помощи, способный залечить простые раны. "

30_Usable_03_Medical_First-aid_kit_NameKey,Переносная Аптечка
30_Usable_03_Medical_First-aid_kit_DescKey,Переносная Аптечка (или МН) в ней есть все необходимое для лечения травм и диагностики болезней.

30_Usable_03_Medical_AidKit_TitanFlower_NameKey,Сыворотка Цветка Титана
30_Usable_03_Medical_AidKit_TitanFlower_DescKey,"Употребление сыворотки, созданной на основе цветка титана, значительно увеличивает <#FFA500> Регенерацию Здоровья</color> rate и мгновенно снимает негативные статусные эффекты, как <#FF0000>Яд</color>, <#FF0000>Перелом</color>, и <#FF0000>Травмы</color>."

30_Usable_03_Medical_Neutralizer_001_NameKey,Нейтрализатор Кислот
30_Usable_03_Medical_Neutralizer_001_DescKey,Баллончик, который при использовании быстро нейтрализует кислоты на снаряжении или одежде.

30_Usable_03_Medical_Antidotes_001_NameKey,Противоядие
30_Usable_03_Medical_Antidotes_001_DescKey,Лекарство, быстро нейтрализующее токсины земного происхождения. Мало влияет на токсины с Титана.

30_Usable_03_Medical_Antidotes_002_NameKey,Противоядие Титана
30_Usable_03_Medical_Antidotes_002_DescKey,Это противоядие действует непосредственно против токсинов, происходящих с Титана. Он также нейтрализует токсины земного происхождения гораздо быстрее, чем обычное противоядие.

30_Usable_03_Medical_Bandage_NameKey,Бинт
30_Usable_03_Medical_Bandage_DescKey,Простая повязка, помогающая остановить небольшое кровотечение. Для чего-то более серьезного не годится.

30_Usable_03_Medical_Splint_001_NameKey,Шина
30_Usable_03_Medical_Splint_001_DescKey,Шины используются для фиксации сломанной кости, чтобы она со временем зажила правильно.

30_Usable_03_Medical_EnergyDrink_001_NameKey,Энергетик
30_Usable_03_Medical_EnergyDrink_001_DescKey,"Разработан TECC, чтобы свести к минимуму необходимость перерывов в работе. Естественно, на вкус он просто ужасен."

30_Usable_03_Medical_NanoMedicine_001_NameKey,Противонаноботный укол Тип A
30_Usable_03_Medical_NanoMedicine_001_DescKey,Инъекция, которая нацелена на вредоносные нанороботы и обезвреживает их в организме.

30_Usable_03_Medical_NanoMedicine_002_NameKey,Противонаноботный укол Тип B
30_Usable_03_Medical_NanoMedicine_002_DescKey,Инъекция концентрированного Антинано раствора для лечение Нано инфекции.

30_Usable_03_Medical_Stimulant_001_NameKey,Стимулятор
