Language,Default

#DeepL

#,[ Spoil ]
40_Mat_Spoil_Worm_Meat_NameKey,Мясо Червя
40_Mat_Spoil_Worm_Meat_DescKey,"Останки чудовищного червя. Скорее всего, они не съедобны, но кому-то они могут пригодиться в других целях."

40_Mat_Spoil_Worm_Evolved_NameKey,Внутренности Червя
40_Mat_Spoil_Worm_Evolved_DescKey,"Смесь хлюпающего и опасного яда, используемая в некоторых рецептах. Кажется очевидно, что не стоит его глотать."

40_Mat_Spoil_Vocal_Sac_001_NameKey,Вокальный Мешок
40_Mat_Spoil_Vocal_Sac_001_DescKey,Вокальный мешок мутанта, вырезанный из его тела. При нажатии он издает квакающий звук..

40_Mat_Spoil_Slug_Slime_NameKey,Слизь Слизняка
40_Mat_Spoil_Slug_Slime_DescKey,Слизь добытая из опасного слизняка монстра. Его уникальная биология может дать представление о том, как он выживает на Титанеn.

40_Mat_Spoil_Slug_Evolved_Spoil_NameKey,Слизь Кровожадного Слизняка
40_Mat_Spoil_Slug_Evolved_Spoil_DescKey,"Это может показаться мерзким, но останки Кровожадного Слизня Титана можно использовать в производстве. Разве наука не увлекательна?"

40_Mat_Spoil_Sinew_001_NameKey,Сухожилие Мутанта
40_Mat_Spoil_Sinew_001_DescKey,"Сухожилия мутантов, скрывающихся под подвальным потолком. Отвратительно, но может пригодиться."

40_Mat_Spoil_Rat_Tail_NameKey,Крысиный Хвост
40_Mat_Spoil_Rat_Tail_DescKey,Хвост недавно умершей крысы.

40_Mat_Spoil_Rat_Evolved_NameKey,Крысиный Хвост
40_Mat_Spoil_Rat_Evolved_DescKey,Длинный хвост, отрубленный от задней части Крысы Титана. Фу!

40_Mat_Spoil_Pollution_Hide_001_NameKey,Шкура Мутанта
40_Mat_Spoil_Pollution_Hide_001_DescKey,Шкура, добытая из останков подземных монстров.

40_Mat_Spoil_Pollution_Bone_001_NameKey,Кость Мутанта
40_Mat_Spoil_Pollution_Bone_001_DescKey,Кость, добытая из останков подземных монстров.

40_Mat_Spoil_Parasite_Egg_002_NameKey,Яйцо Мутанта
40_Mat_Spoil_Parasite_Egg_002_DescKey,Яйцо мутанта, найденное в шахтах. Оно может вылупиться в любой момент.

40_Mat_Spoil_Parasite_Egg_001_NameKey,Паразитическое Яйцо Мутанта
40_Mat_Spoil_Parasite_Egg_001_DescKey,Яйцо мутанта найденное прикрепленным к другому существу. Не позволяйте ему коснуться вашей кожи.

40_Mat_Spoil_Maggot_NameKey,Внутренности Личинки
40_Mat_Spoil_Maggot_DescKey,"Мертвая Личинка не стоит многого, но биоматериал в ее брюхе может быть ценным."

40_Mat_Spoil_Jawbone_001_NameKey,Челюсть Мутанта
40_Mat_Spoil_Jawbone_001_DescKey,Твердая челюстная кость, из которой при некоторой обработке можно сделать удобное оружие.

40_Mat_Spoil_Evolved_Tanker_B_NameKey,Бронированный Коготь
40_Mat_Spoil_Evolved_Tanker_B_DescKey,"Тяжелый бронированный коготь мертвого Смешера. Он странным образом отделился от остальной части тела, не оказывая сопротивления."

40_Mat_Spoil_Evolved_Tanker_A_NameKey,Пластинчатое Соединение
40_Mat_Spoil_Evolved_Tanker_A_DescKey,Броневая пластина сорванная с плеча Крашера.Они на самом деле очень сильно защищены во всех местах.

40_Mat_Spoil_Evolved_Spawner_NameKey,Коготь Матери
40_Mat_Spoil_Evolved_Spawner_Minion_NameKey,Жутковатый Череп

40_Mat_Spoil_Evolved_Spawner_Minion_DescKey,"Почти человеческая голова Рептилоида. Надеюсь, она не отрастит ноги в вашей сумке."
40_Mat_Spoil_Evolved_Spawner_DescKey,"Оторванная рука Спавнера, острые когти и все остальное. Может пригодиться для создания чего-нибудь."

40_Mat_Spoil_Evolved_Shooter_B_NameKey,Сросшиеся Позвонки
40_Mat_Spoil_Evolved_Shooter_B_DescKey,Кусок слегка обугленного позвоночника Бластера, извлеченный у основания позвоночника, чтобы сохранить его естественные свойства .

40_Mat_Spoil_Evolved_Reaper_B_NameKey,Зазубренная Рука
40_Mat_Spoil_Evolved_Reaper_B_DescKey,"Увеличенная, и опасная рука Слайсера. Напоминает клешню краба, если задуматься."

40_Mat_Spoil_Evolved_Reaper_A_NameKey,Пронзающая Рука
40_Mat_Spoil_Evolved_Reaper_A_DescKey,Твердая и заостренная атакующая рука Стаббера. Для того чтобы бы она была пригодна, ее нужно немного подправить..

40_Mat_Spoil_Evolved_Grabber_NameKey,Липкий Язык
40_Mat_Spoil_Evolved_Grabber_DescKey,Вытянутый и слизистый язык Граббера, вырезанный из черепа у его основания.

40_Mat_Spoil_Evolved_Explosive_NameKey,Взрывчатая Кровь
40_Mat_Spoil_Evolved_Explosive_DescKey,Кровь Подрывника оставщиеся после его взрыва на части. Все еще слегка горюча.

40_Mat_Spoil_Evolved_Buffer_B_NameKey,Голубая НапоПыль
40_Mat_Spoil_Evolved_Buffer_B_DescKey,Останки Дрифтера состоят в основном из мертвых наноботов. Постарайтесь не вдыхать их.

40_Mat_Spoil_Evolved_Buffer_A_NameKey,Серая наноПыль
40_Mat_Spoil_Evolved_Buffer_A_DescKey,Смесь мертвых клеток Флоатера и мертвых наноботов. Выглядит как куча пепла.

40_Mat_Spoil_Evolved_Bomber_B_NameKey,Слизистая Рвота
40_Mat_Spoil_Evolved_Bomber_B_DescKey,Вязкая слизь из желудка Изрыгателя. Пахнет отвратительно, но может быть полезной..

40_Mat_Spoil_Evolved_Bomber_A_NameKey,Отрыгиваемая слизь
40_Mat_Spoil_Evolved_Bomber_A_DescKey,Липкая и кислотная слизь, которую выкашливает Белчер. Трудно собирать и неприятно ощущать в кармане.

40_Mat_Spoil_EdgeHand_001_NameKey,Рука Лезвие
40_Mat_Spoil_EdgeHand_001_DescKey,Рука... или, скорее, коготь... мутанта, который когда-то скрывался под потолком подвала.

40_Mat_Spoil_Burrower_NameKey,Rough Панцирь
40_Mat_Spoil_Burrower_Minion_NameKey,Грязный панцирь

40_Mat_Spoil_Burrower_Minion_DescKey,"Кусок раковины Диггера, но немного маловат. Вам понадобится их много, чтобы изготовить что-нибудь."
