Language,Default

#,[ Facility Upgrade ]
50_Special_01_Upgrade_WaterStation_02_NameKey,насосная станция Ур.2
50_Special_01_Upgrade_WaterStation_02_DescKey,Обеспечивает больший доступ к воде и немного повышает эффективность её производства.

50_Special_01_Upgrade_WaterStation_03_NameKey,насосная станция Ур.3
50_Special_01_Upgrade_WaterStation_03_DescKey,Обеспечивает больший доступ к воде и значительно повышает эффективность её производства.

50_Special_01_Upgrade_WaterStation_04_NameKey,насосная станция Ур.4
50_Special_01_Upgrade_WaterStation_04_DescKey,Обеспечивает больший доступ к воде и серьёзно повышает эффективность её производства.

50_Special_01_Upgrade_MineControl_02_NameKey,Управление Шахтой Ур.2
50_Special_01_Upgrade_MineControl_02_DescKey,"Открывает больше минералов к Производству и Переработке, также немного повышает количество ресурсов после разборки."

50_Special_01_Upgrade_MineControl_03_NameKey,Управление Шахтой Ур.3
50_Special_01_Upgrade_MineControl_03_DescKey,Открывает больше минералов к Производству и Переработке, также значительно повышает количество ресурсов после разборки.

50_Special_01_Upgrade_MineControl_04_NameKey,Управление Шахтой Ур.4
50_Special_01_Upgrade_MineControl_04_DescKey,Открывает больше минералов к Производству и Переработке, также серьёзно повышает количество ресурсов после разборки.

50_Special_01_Upgrade_Medical_02_NameKey,Клиника Ур.2
50_Special_01_Upgrade_Medical_02_DescKey,"Открывает новые медицинские изделия для Изготовления и больше органических материалов (растения, добыча с монстров), которые можно разобрать на материалы."

50_Special_01_Upgrade_Medical_03_NameKey,Клиника Ур.3
50_Special_01_Upgrade_Medical_03_DescKey,"Открывает новые медицинские изделия для Изготовления и больше органических материалов (растения, добыча с монстров), которые можно разобрать на материалы."

50_Special_01_Upgrade_Medical_04_NameKey,Клиника Ур.4
50_Special_01_Upgrade_Medical_04_DescKey,"Открывает новые медицинские изделия для Изготовления и больше органических материалов (растения, добыча с монстров), которые можно разобрать на материалы."

50_Special_01_Upgrade_Generator_02_NameKey,Генератор Ур.2
50_Special_01_Upgrade_Generator_02_DescKey,Расширяет электросеть и немного повышает эффективность производства энергии.

50_Special_01_Upgrade_Generator_03_NameKey,Генератор Ур.3
50_Special_01_Upgrade_Generator_03_DescKey,Расширяет электросеть и значительно повышает эффективность производства энергии.

50_Special_01_Upgrade_Generator_04_NameKey,Генератор Ур.4
50_Special_01_Upgrade_Generator_04_DescKey,Расширяет электросеть и серьёзно повышает эффективность производства энергии.

50_Special_01_Upgrade_Farm_02_NameKey,Ферма Ур.2
