Language,Default

#DeepL+PE

70_Key_MiniGun_NameKey,Ключ-карта: Ферма [B03]
70_Key_MiniGun_DescKey,Ключ карта с выгравированной коровой. Которая может прятаться на <#FFFF00>Ферме</color>

70_Key_ChainSaw_NameKey,Ключ-карта: Автостоянка [B02]
70_Key_ChainSaw_DescKey,Ключ карта с эмблемой лезвия. Ощущяется острым при прикосновении.

70_Key_FlameThrower_NameKey,Ключ-карта: Хранилище Шахты [B04]
70_Key_FlameThrower_DescKey,Красная ключ карта с выгравированой эмблемой огня. Что-то опасное ожидает за дверью. 

#EndPE

70_Key_Air_B01_NameKey,Ключ-карта: Циркулятор Воздуха [B01]
70_Key_Air_B01_DescKey,Старая синия ключ-карта. <#FFFF00>Доступ к Циркулятору Воздуха</color> напечатано на лицевой стороне.

70_Key_BedRoom_NameKey,Ключ-карта: Личная Комната
70_Key_BedRoom_DescKey,Ключ-карта от моей собственной комнаты в <#FFFF00>Спальном</color> районе лагеря.

70_Key_Power_B01_NameKey,Ключ-карта: Силовое Реле [B01]
70_Key_Power_B01_DescKey,Старая желтая ключ-карта <#FFFF00>Доступ к Силовому Реле</color> напечатано на лицевой стороне.

70_Key_Power_B02_NameKey,Ключ-карта: Power Relay [B02]
70_Key_Power_B02_DescKey,Выглядит как старая входная карточка. <#FFFF00>Доступ к Силовому Реле</color> напечатано на лицевой стороне.

70_Key_Pub_NameKey,Ключ-карта: Подвал Альпа
70_Key_Pub_DescKey,Ключ-карточка от подвала в <#FFFF00>Пабе у Альпа</color>. Крысы, должно быть, очень вредные, если он запер их там.

70_Key_Train_NameKey,Ключ-карта: Смотритель
70_Key_Train_DescKey,Ключ-карточка, с помощью которой можно открыть ворота, преграждающие путь подземному поезду.

70_Key_OperatingRoom_NameKey,Ключ-карта: Операционная Комната [B04]
70_Key_OperatingRoom_DescKey,Ключ-карточка, открывающий запертую дверь в подземную <#FFFF00>Операционную Комнату</color>.

70_Key_Counterfeit_NameKey,Ключ-карта: Подделка
70_Key_Counterfeit_DescKey,Одноразовая ключ-карта для доступа в помещение радиатора в <#FFFF00>Электростанции</color>. 

70_Key_B05C01_ControlLab_NameKey,Ключ-карта: Центр Управления Лабораторией
70_Key_B05C01_ControlLab_DescKey,Ключ-карта, позволяющая отпереть дверь в лабораторию <#FFFF00>Центра Управления</color>.

70_Key_Park_NameKey,Ключ-карта: Парк Офис
70_Key_Park_DescKey,Ключ-карточка, открывающий запертую дверь в подземный <#FFFF00>Комнату Парк Офис</color>.

70_Key_TECC_NameKey,Ключ-карта: Глава TECC 
70_Key_TECC_DescKey,Ключ-карточка, открывающий запертую дверь в подземный <#FFFF00>Выход Центра Управления</color>.
