Language,Default

#DeepL

#,[ Proficiency ]
Perk_Pro_OneHandMelee,Одноручное Оружие
Perk_Pro_TwoHandMelee,Двуручное Оружие
Perk_Pro_OneHandRange,Пистолеты
Perk_Pro_TwoHandRange,Винтовки
Perk_Pro_Bow,Лук
Perk_Pro_Nanobot,Наноботы
Perk_Pro_Physical,Физические
Perk_Pro_Survival,Выживаемость

#,[ One Hand Melee ]
#,( Passive )
OHM_P_Mastery_NameKey,Владение Одноручным Оружием
OHM_P_Mastery_DescKey,"Увеличены <sprite name=MeleeAccuracy_Icon> <#66FFCC>Точность В Ближнем Бою</color> и <sprite name=Dodge_Icon> <#66FFCC>Шанс Уклонения</color>, также снижен <sprite name=Fumble_Icon> <#66FFCC>Шанс Промаха</color> при использовании Одноручного Оружия. "

OHM_P_ShieldMastery_NameKey,Владение Шитами
OHM_P_ShieldMastery_DescKey,Увеличены <sprite name=blockPower_Icon> <#66FFCC>Сила Блока</color> и <sprite name=blockChance_Icon> <#66FFCC>Шанс Блока</color> при использовании щита.

OHM_P_BlockStrike_NameKey,Ответный Удар
OHM_P_BlockStrike_DescKey,Увеличен <#66FFCC><sprite name=Counter_Icon> Шанс Контратаки</color> против атак, наносимых после успешного блока.

OHM_P_IntensiveCounter_NameKey,Возмездие
OHM_P_IntensiveCounter_DescKey,Увеличен шанс <#FFA500><sprite name=Info_KnockBackTile_Icon> Отталкивания</color> и статус <#FFFF00><sprite name=Trait_State_Confusion_icon> Замешательства</color> после успешной контратаки.

OHM_P_Concussion_NameKey,Тяжелые удары
OHM_P_Concussion_DescKey,Крит теперь также накладывает на противника статус <#FFFF00><sprite name=Trait_State_Disorient_icon> Головокружение</color>.

#,( Active )
OHM_A_UpperHand_NameKey,Тяжелая Рука
OHM_A_UpperHand_DescKey,"Благодаря интенсивным тренировкам в ближнем бою одноручным оружием вы получили способность, повышать свои показатели на несколько ходов."

OHM_A_ReadyToCounter_NameKey,Встречная стойка
OHM_A_ReadyToCounter_DescKey,Встаньте в оборонительную стойку, чтобы быть готовым для контратаки.

OHM_A_ShieldAttack_NameKey,Удар Шитом
OHM_A_ShieldAttack_DescKey,"Ударьте противника своим щитом, отбрасывая его назад и нанося оглушающий урон."

OHM_A_CombinationAttack_NameKey,Комбо Рывок
OHM_A_CombinationAttack_DescKey,Бросьтесь на врага, нанося шквал быстрых атак.

OHM_A_SawshankBoomerang_NameKey,Бумеранг Шоушенка
OHM_A_SawshankBoomerang_DescKey,"Метая свое оружие, поражайте несколько целей, прежде чем оно вернется к вам. Очень полезно."


#,[ Two Hand Melee ]
#,( Passive )
THM_P_Mastery_NameKey,Владение Двуручным Оружием
THM_P_Mastery_DescKey,"Увеличены <#66FFCC><sprite name=MeleeAccuracy_Icon> Точность В Ближнем Бою</color>, <#66FFCC><sprite name=CriticalChance_Icon> Крит Шанс</color>, а также <#66FFCC><sprite name=MeleeCriticalEfficiency_Icon> Эффективность Крита в Ближнем Бою</color> при использовании Двуручного Оружия."

THM_P_InsideOut_NameKey,Внутрь и Наружу
THM_P_InsideOut_DescKey, "Повышен шанс нанести эффекты <#66FFCC><sprite name=injuriedDamage_Icon> Травирующего Урона</color> и <#66FFCC><sprite name=fractureDamage_Icon> Переломного Урона</color> при использовании Двуручного Оружия.  "

THM_P_AdrenalineMaster_NameKey,На Взводе
THM_P_AdrenalineMaster_DescKey, "<#66FFCC><sprite name=maxAdrenaline_Icon> Адреналин</color> увеличивается быстрее после убийства противника, а также \n<#66FFCC><sprite name=maxAdrenaline_Icon>Адреналин</color> медленнее уменьшается вне боя.  "

THM_P_IntensiveStand_NameKey,Боевой Запал
THM_P_IntensiveStand_DescKey, "Увеличен <#66FFCC>Урон в Ближнем Бою</color>, наносимый когда <#66FFCC>Адреналина больше чем 6</color>.  "

THM_P_QuickHand_NameKey,Быстрые Руки
THM_P_QuickHand_DescKey,"Позволяет переключиться с Двуручного Оружия Ближнего Боя во время боя, не теряя хода. "

#,( Active )
THM_A_HitHard_NameKey,Отталкивающий Удар
THM_A_HitHard_DescKey,"Дезориентирущий противника удар наносящий большой урон, а также <#FFA500><sprite name=Info_KnockBackTile_Icon>Отталкивающий</color> врага. "

THM_A_Tension_NameKey,Адреналиновый Всплеск
THM_A_Tension_DescKey,"Моментальная подготовка к бою, дающая<#66FFCC><sprite name=maxAdrenaline_Icon>  Уровни Адреналина</color> и повышаюшая <#66FFCC><sprite name=maxAdrenaline_Icon>скорость выработки Адреналина</color> на короткий период. "

THM_A_BrutalSmash_NameKey,Брутальный Удар
THM_A_BrutalSmash_DescKey,"Наносит мощную атаку по одной цели, которая при добивании врага вызывает 'Брутальное Убийство'.\n(Брутальное Убийство: враг взрывается после смерти и наносит урон соседним противникам). "

THM_A_RushBash_NameKey,Рыцарский Рывок
THM_A_RushBash_DescKey,"Мчитесь вперед в одном направлении, наносящий урон всем врагам на вашем пути. Необходимо свободное пространство позади врагов, чтобы не разбиться об стену. "

THM_A_BigSwing_NameKey,Сметающий Удар
THM_A_BigSwing_DescKey,"Взмахните оружием по широкой траектории, поражая нескольких ближайших врагов. На Третьем уровне вы сможете скачком менять свою позицию перед ударом. "


#,[ One Hand Range ]
#,( Passive )
OHR_P_Mastery_NameKey,Владение Пислолетами
OHR_P_Mastery_DescKey, "Повышены <sprite name=RangeAccuracy_Icon><#66FFCC> Точность Дальнего Боя</color> и <sprite name=CriticalChance_Icon><#FFA500> Крит Шанс</color>, также снижен<sprite name=Fumble_Icon><#66FFCC> Шанс Промаха</color> когда вы держите Пистолет.  "

OHR_P_PistolTechnician_NameKey,Пистолетный Мастер
OHR_P_PistolTechnician_DescKey, "<#66FFCC>Снижен <sprite name=JammingChance_Icon> Шанс Клина</color> и <#FFA500>больший шанс сохранить <sprite name=Durability> Прочность</color> оружия при использовании Пстолета.  "

OHR_P_Reload_NameKey,Трюк с Перезарядкой
