Language,Default

#,[ State ]
Trait_State_Acid_01_NameKey,Лёгкая Кислотность ( <sprite name=Acid_Value_Icon>: <#FF0000>{UDI_Acid_Value}</color> )
Trait_State_Acid_01_DescKey,На вашем снаряжение (или коже) кислота, которая снижает прочность снаряжения или разъедает вашу плоть каждый Ход. Быстро найдите нейтрализующее средство!

Trait_State_Acid_02_NameKey,Кислотность ( <sprite name=Acid_Value_Icon>: <#FF0000>{UDI_Acid_Value}</color> )
Trait_State_Acid_02_DescKey,"Ваше тело покрыто кислотой! Каждый Ход ваше снаряжение разрушается (снижается прочность) или кожа покрывается волдырями (наносит урон)."

Trait_State_Acid_03_NameKey,Серьёзная Кислотность ( <sprite name=Acid_Value_Icon>: <#FF0000>{UDI_Acid_Value}</color> )
Trait_State_Acid_03_DescKey,"Вы пропитаны кислотой. Если вы не нейтрализуете ее, то лишитесь своего снаряжения... или жизни!"

Trait_State_Fracture_01_NameKey,Растяжение ( <sprite name=Fracture_Value_Icon>: <#FF0000>{UDI_Fracture_Value}</color> )
Trait_State_Fracture_01_DescKey,"Вы растянули одну из связок. Больно, но вы можете ходить."

Trait_State_Fracture_02_NameKey,Усталостный Перелом( <sprite name=Fracture_Value_Icon>: <#FF0000>{UDI_Fracture_Value}</color> )
Trait_State_Fracture_02_DescKey,"Длитльное физическое воздействие привело к перелому одной из ваших костей. Займитесь им, прежде чем состояние не ухудшилось."

Trait_State_Fracture_03_NameKey,Сломанная Кость ( <sprite name=Fracture_Value_Icon>: <#FF0000>{UDI_Fracture_Value}</color> )
Trait_State_Fracture_03_DescKey,"У вас сломана одна из костей, что вызывает жуткую боль. Обратитесь к врачу!"

Trait_State_Injuried_01_NameKey,Порез ( <sprite name=Injuried_Value_Icon>: <#FF0000>{UDI_Injuried_Value}</color> )
Trait_State_Injuried_01_DescKey,Просто царапина! Она едва рассекла кожу.

Trait_State_Injuried_02_NameKey,Кровотечение ( <sprite name=Injuried_Value_Icon>: <#FF0000>{UDI_Injuried_Value}</color> )
Trait_State_Injuried_02_DescKey,Глубокий порез с немалым количеством крови. Перевяжитесь!

Trait_State_Injuried_03_NameKey,Чрезвычайное Кровотечение ( <sprite name=Injuried_Value_Icon>: <#FF0000>{UDI_Injuried_Value}</color> )
Trait_State_Injuried_03_DescKey,"Ты весь в собственной крови. Но кровотечение скоро прекратится, так или иначе."

Trait_State_Poison_01_NameKey,Лёгкое Отравление ( <sprite name=Poison_Value_Icon>: <#FF0000>{UDI_Poison_Value}</color> )
Trait_State_Poison_01_DescKey,"Вам ввели небольшое количество яда. Со временем ваше тело сможет вывести его самостоятельно, но противоядие поможет восстановиться вам быстрее."

Trait_State_Poison_02_NameKey,Отравление ( <sprite name=Poison_Value_Icon>: <#FF0000>{UDI_Poison_Value}</color> )
Trait_State_Poison_02_DescKey,Еще больше яда вызывает головокружение и оцепенение. Примите противоядие!

