Language,Default

#,[ Level Group ]
Sector_HuygenCamp,Лагерь
Sector_HuygenCave,Пещера у Лагеря
Sector_Headquarter,Штаб-квартиа TECC 
Sector_B01,[B01]
Sector_B02,[B02]
Sector_B03,[B03]
Sector_B04,[B04]
Sector_B05,[B05]
Sector_B06,[B06]
Sector_B07,[B07]
Sector_B08,[B08]
Sector_B09,[B09]
Sector_B10,[B10]

#,[ Settlement ]
AirShip_01,[Ground] Дирижабль
AirShip_02,[B02] Ангар Дирижабля
AirShip_03,[B01] Дирижабль Коридор
Communication_01,[Ground] Комплекс Связи
Communication_02,[2F] Комплекс Связи
Engineering_01,[Ground] Инженерия
Farm_01,[Ground] Биоферма
Generator_01,[B01] Генератор
Hub_01,[Ground] Хаб
Medical_01,[B01] Клиника
Medical_02,[B02] Клиника
MineControl_01,[Ground] Управление Шахтой 
MineControl_02,[B01] Управление Шахтой 
MineControl_Surface_01,[Ground] Управление Шахтой Вход
MineControl_BossRoom,[Ground] Вход в Шахту
Pub_01,[B01] Паб у Альпа
Pub_02,[B02] Склад Бара
Pub_03,[B02] Комната Альпа
Residential_01,[B01] Жилые Помещения
Residential_02,[B02] Жилые Помещения
Residential_03,[B03] Жилые Помещения
Supply_01,[B01] Склад Снабжения
Supply_02,[B02] Подвал Склада
WaterStation_01,[Ground] Насосная Станция
Settlement,[Ground] Поселение TECC
ReactorRoom_01,[B02] Реакторный Комплекс
MineControl_BossRoom,[Ground] Вход в Шахту

#,[ Cave ]
Cave_B1_A,[Ground] Пещера A
Cave_B1_B,[Ground] Пещера B
Cave_B2_A,[B01] Пещера C
Cave_B2_B,[B01] Пещера D

#,[ Basement ]
B01_C_01,[B01] Центральная Зона: Жилые Помещения
B01_C_02,[B01] Центральная Зона: Вход в Шахту
B01_C_03,[B01] Центральная Зона: Жилые Помещения
B01_R_01,[B01] Восточная Зона:Шахта A
B01_R_02,[B01] Восточная Зона: Шахта B
B01_R_03,[B01] Восточная Зона: Шахта C
B02_C_01,[B02] Центральная Зона: Old Leisure
B02_C_02,[B02] Центральная Зона: Шахта A
B02_C_03,[B02] Центральная Зона: Старый Сад
B02_C_04,[B02] Бассейн
B02_C_05,[B02] Подземный Проход
B02_R_01,[B02] Узкая Дыра
B02_R_02,[B02] Восточная Зона: Шахта A
B02_R_03,[B02] Восточная Зона: Шахта B
B03_R_01,[B03] Восточная Зона: Ферма A
B03_R_02,[B03] Восточная Зона: Ферма B
B03_C_01,[B03] Центральная Зона: Мастерская
B03_C_02,[B03] Центральная Зона: Рынок
B03_L_01,[B03] Западная Зона: Шахта A
B03_L_02,[B03] Западная Зона: Шахта B
B04_L_01,[B04] Западная Зона: Шахта A
B04_L_02,[B04] Западная Зона: Шахта B
B04_C_01,[B04] Центральная Зона: Клиника
B04_C_03,[B04] Центральная Зона: Проход в Шахту
B04_R_01,[B04] Восточная Зона: Шахта A
B04_R_02,[B04] Восточная Зона: Шахта B
B04_R_03,[B04] Восточная Зона: Шахта C
B05_R_01,[B05] Восточная Зона: Шахта A
B05_R_02,[B05] Восточная Зона: Шахта B
B05_C_01,[B05] Центральная Зона: Черный Ход
B05_C_02,[B05] Центральная Зона: Центр Управления
B05_C_03,[B05] Центральная Зона: Жилые Помещения Шахтёров
B06_C_01,[B06] Центральная Зона:  Серверная Комната
B06_C_02,[B06] Центральная Зона: Исследовательский Комплекс
B06_R_01,[B06] Восточная Зона: Шахта A
B06_R_02,[B06] Восточная Зона: Шахта B
B07_R_01,[B07] Восточная Зона: Шахта A
B07_C_01,[B07] Центральная Зона: Железнодорожная Станция
B07_C_02,[B07] Центральная Зона: Склад
B07_L_01,[B07] Западная Зона: Шахта A
B07_L_02,[B07] Западная Зона: Шахта B
B08_C_01,[B08] Центральная Зона: Склад A
B08_C_02,[B08] Центральная Зона: Склад B
B08_C_02_HiddenRoom,[B08] Центральная Зона: Потайная Комната
B08_L_01,[B08] Западная Зона: Шахта A
B08_L_02,[B08] Западная Зона: Шахта B
B08_R_01,[B08] Восточная Зона: Шахта A
B08_R_02,[B08] Восточная Зона: Шахта B
B09_C_01,[B09] Центральная Зона: Мастерская по Ремонту Автомобилей
B09_C_02,[B09] Центральная Зона: Hanger
B09_C_03,[Dummy]
B09_R_01,[B09] Восточная Зона: Шахта A
B10_C_01,[B10] Зона Управления: Геотермальная Электростанция
B10_C_02,[B10] Зона Управления: Вход на Электростанцию
B10_C_03,[B10] Зона Управления: Уровень 10 Жилые Помещения
B10_R_01,[B10] Секретная Исследовательская Пещера

#,[ Head Quarter ]
HeadQuarter_01_TrainStation,[B02] Железнодорожная Станция
HeadQuarter_01_AirShip_001,[Ground] Стоянка Дирижабля
HeadQuarter_01_AirShip_002,[B01] Лифт Комплекса
HeadQuarter_02_Inside_001,[B01] Внутри штаб-квартиры A
HeadQuarter_03_Inside_002_A,[B01] Внутри штаб-квартиры B
HeadQuarter_03_Inside_002_B,[B01] Внутри штаб-квартиры C
HeadQuarter_04_Boss_04,[B01] Секретный Комплекс
HeadQuarter_04_Boss_05_Pathline,[B01] Pathline
HeadQuarter_05_Boss_05,[Ground] Огромный Комплекс

#,[ Special ]
HQFinalLift_01,TECC HQ Lift
Generator_ReqactorRoom_Lift,Лифт
Elevator_01,Лифт
Train_01,Отправление в Штаб-квартиру TECC 
Air_01,Отправление в Штаб-квартиру TECC 
