Language,Default

#,[ Quest: Main ]
M_Q_01_Awaken,"Пробуждение"
M_Q_01_Awaken_Desc,"Выйдите из комнаты." 
M_Q_01_Guide_Move,"Выйдите из комнаты. (Используйте WASD или LMB для передвижения)"

M_Q_02_Equipment,Одевайтесь
M_Q_02_Equipment_Desc,"Doctor Shahane has clothes for you inside a clinic box behind the medical curtain. Open the box, grab the clothes, and put them on. Don't worry; it's not stealing. She said it was okay."
M_Q_02_Guide_Equipment,Наденьте одежду из коробки стоящей в Клинике.

M_Q_03_AlpOfPub,Паб у Альпа
M_Q_03_AlpOfPub_Desc,"Doctor Shahane suggests you visit Alp's Pub to meet the proprietor, Alp Demir, and get something in your belly. He's a pleasant guy but doesn't often give food away for free. The pub is located down the leftmost stairs in the Hub."
M_Q_03_Guide_Talk_Alp_01,Ask Alp for a meal.
M_Q_03_Guide_Inventory_RatTail,Collect rat tails from the basement.
M_Q_03_Guide_Talk_Alp_02,Give rat tails to Alp.

M_Q_04_00_Register,Регистрация в Лагере Гюйген
M_Q_04_00_Register_Desc,"Feeling a bit disconnected? You can rectify this by registering in the camp's systems! Find David at the Supply Depot for processing. Access The Supply Depot by using the rightmost stairs in Hub. David is a busy man, so you'll need to check in first."
M_Q_04_00_Guide_David,Check in with Supply Depot Reception.

M_Q_04_01_Production,Производство Предметов
M_Q_04_01_Production_Desc,"David wants to test your ability to Recycle, Research, and Craft items. Mastering this skill is vital to making it in Camp Huygen, so make sure you take this seriously."

M_Q_04_01_Guide_PutInJunk,Put junk in Storage.
M_Q_04_01_Guide_Recycle,Recycle junk. {KeyboardControl_Production}
M_Q_04_01_Guide_PutInBluePrint,Put Blueprint in storage.
M_Q_04_01_Guide_Research,Research blueprint. {KeyboardControl_Production}
M_Q_04_01_Guide_Craft,Craft item. {KeyboardControl_Production}
M_Q_04_01_Guide_Inventory,Move crafted item from Storage to your bag.

M_Q_05_Room,Get a Room
M_Q_05_Room_Desc,"It's getting late, and you need a bed... David suggests talking to Mr. Lao, who might have a spare room for you. He can be found on the Residential level. Go now, before you fall asleep in the hallway."

M_Q_05_Guide_Talk_Lao,Ask Mr. Lao about a room.
M_Q_05_Guide_Door,Unlock door.
M_Q_05_Guide_UseBed,Go to sleep.

M_Q_06_Work_01_Mushroom,Пища без Грибов
