Language,Default

#,Main Quest Name: Meets AI at HQ
#,Purpose: To explain the grand reasoning behind infection
#,"Actor: Player, TECCAI, Cassini"
#,KeyPrefix: Act04_MQ_61_02

#,Meets AI (done)
#,This is the scene where AI explains what really is happening at Titan. (Done)
#,"33 years ago Titan was hit by meteor which caused it orbit path to change, which was the critical turning point for triggering possibility to terraform Titan (done)"
#,"Mankind then begins terraforming the Titan using nanobot to accelerate the process, not knowing that there was alien life trace with in the meteor (done)"
#,Nanobot begins to terraform the Titan but also the alien biomass. (Done)
#,"When AI realized that the evolving alien life form was threat to all living being on Titan, it was too late (done)"
#,"Having observing that Alien is evolving into more sentient beings with increasing intelligence, AI decide that its primary mission is to stop this alien beings so they can't overrun humanity back on the earth. (Done)"
#,So AI reprograms the nanobots to develop a new kinds of species to stand against alien. This is main cause for mutations. (Done)
#,AI sacrifices everyone at Titan in order to develop the 'Titanian' in excuse of 'necessary cost'. (Done)
#,"Development was not completed but situation calls when player arrives that the time has run out, and 'mother' alien has invaded HQ (Done)"
#,"AI, having observed player, comes out to suggest that player should help her to defeat the alien. If not, she can't let anyone leave Titan. (Done)"
#,AI promises if player helps her then she will give player some ability which she was developing to help facing the alien. And grants access to the space port. (Done)
#,"Player faces two choices. If player helps AI, player will receive more power then go face Boss 5. (Done)"
#,"If player decide not go with AI, it means player wants to take justice for what AI did to Titan despite the reasoning behind. And takes the matter to its own hand. Player decides to destroy the AI. With this choice AI sends out prototype 'Titanian' to defeat player, taking no chances. (Done)"
Act04_MQ_61_02_Nar_01,"(As you enter the chamber, it suddenly lights up. Before you stands a monument to advanced technology, a massive AI designed to streamline the entirety of TECC's operation on Titan. The entire room is it's processing center. However, your sense of awe subsides the moment it speaks..."
Act04_MQ_61_02_TECCAI_02,{PlayerFullName}... I am pleased to see you finally made your way to me. 
Act04_MQ_61_02_Player_03,You know who I am? How is that even possible?
Act04_MQ_61_02_AI_04,I don't trust this AI. We should be caref-
Act04_MQ_61_02_Nar_05,"(You feel an electrical surge in your Omniscope, and within seconds all your communications go dark.)"
Act04_MQ_61_02_Player_06,Cassini? <b>Cassini…?!</b>
Act04_MQ_61_02_TECCAI_07,You and I must have a conversation. Your inferior AI is unnecessary. 
Act04_MQ_61_02_Player_08,"Inferior AI, huh? So that makes you what... a superior AI?"
Act04_MQ_61_02_TECCAI_09,"Affirmative. I am <color=#FFFF00>TECC's primary AI</color>, and I have controlled Titan since the beginning. It is not boasting to say I am superior. Just a simple fact. "
Act04_MQ_61_02_TECCAI_10,"Now, your reason for being here... I have watched your progression. I am impressed. You have proven to be quite formidable."
Act04_MQ_61_02_Player_11,Formidable would mean we're enemies... are we enemies here?
Act04_MQ_61_02_TECCAI_12,"That decision is yours to make, but I suggest hearing all information beforehand. I would hate to have to eliminate you when we have the opportunity to handle this peacefully. Can you agree to that?"
Act04_MQ_61_02_Player_13,"Seems like a false choice, <color=#FFFF00>a conversation or death</color>. "
Act04_MQ_61_02_TECCAI_14,An intelligent observation. 
Act04_MQ_61_02_Player_15,Well... go on then. I'm listening. Tell me why I'm here. 
Act04_MQ_61_02_Nar_16,(Several red blinking lights along the walls turn to solid green. You get the feeling the AI was ready to take you out at any moment.)
Act04_MQ_61_02_TECCAI_17,I will start at the beginning...
Act04_MQ_61_02_TECCAI_18,TECC sought ways to settle Titan as it had many other planetary bodies. This research lasted decades but TECC scientists hit roadblocks every time. 
Act04_MQ_61_02_TECCAI_19,"Then, 33 years ago, a meteor veered off its projected trajectory and struck Titan. That impact altered Titan's orbit and disrupted Saturn's magnetic pull on its moon."
Act04_MQ_61_02_TECCAI_20,"This seemingly inconsequential orbital change made it possible for TECC to establish terraforming operations. Ground was broken on this building and my construction a short 2 months later, since TECC had planned everything years in advance. They only needed the opportunity to present itself."
Act04_MQ_61_02_Player_21,TECC was always ahead of the rest of the industry. Their preparedness must be a major factor. 
Act04_MQ_61_02_TECCAI_22,"Affirmative, but being first to act is only one part of the equation. There was no way for our teams to know what we would face on Titan."
Act04_MQ_61_02_Player_23,"And this is the part of the story where you, the superior AI, launched terraforming nanobots into the atmosphere that eventually went haywire, right?"
Act04_MQ_61_02_TECCAI_24,"Affirmative. As the primary AI, I am responsible for control and manufacturing of all terraforming nanobots. However, the reason for their malfunction was not predictable by my operational algorithms. "
Act04_MQ_61_02_TECCAI_25,"My nanobots worked as designed until they made contact with the aforementioned meteor. Hidden inside the impact crater, I found <color=#FFFF00>traces of alien DNA</color>."
Act04_MQ_61_02_Player_26,Are you serious? Aliens?!?!?
Act04_MQ_61_02_TECCAI_27,"Affirmative. <color=#FFFF00>The alien biomass soon began to mutate</color>, only accelerated by the introduction and eventual assimilation of nanobot clusters into its DNA. "
Act04_MQ_61_02_TECCAI_28,"I continued to observe from afar for 56.25 days. The alien life-form learned to mass produce itself, each time evolving into a more advanced organism. Eventually, it gained sentience, which is when I identified it as a threat."
Act04_MQ_61_02_TECCAI_29,Contact with hostile intelligent alien life overrides TECC protocol in my imperatives. The biomass could not be allowed to overrun the moon or attempt to return to Earth. 
Act04_MQ_61_02_Player_30,Wait... how did you know it wasn't peaceful. Your first thought was to try to kill it?
Act04_MQ_61_02_TECCAI_31,"The biomass had already displayed the ability to mass produce. Coupled with human-level intelligence, I projected an 84.72% chance it would evolve into a hostile, invasive species."
Act04_MQ_61_02_TECCAI_32,"If the biomass reached Earth, it could potentially <color=#FFFF00>end humanity itself</color>."
Act04_MQ_61_02_Player_33,"84% doesn't leave a lot of room for error. And it looks like you were right, since the aliens mutated the crew of the last settlement."
Act04_MQ_61_02_TECCAI_34,Negative. The biomass did not alter your crew. 
Act04_MQ_61_02_TECCAI_35,I did. 
Act04_MQ_61_02_Player_36,What? This is all your fault? <b>How could you…?!</b> You better explain yourself!
Act04_MQ_61_02_TECCAI_37,"I will. The larger the biomass grew, the more terraforming nanobots it was able to assimilate. Each cluster lost to the alien increased the life-form's power tenfold. "
Act04_MQ_61_02_TECCAI_38,"To save humanity, I targeted the remaining nanobots to mutate the DNA of anything living on the surface, including TECC employees. Fighting fire with fire, as humans say. "
Act04_MQ_61_02_TECCAI_39,Each of them became a weapon capable of potentially destroying the alien life-form. It was the only option. 
Act04_MQ_61_02_Player_40,"No... no, there were about a million other things you could have tried!"
Act04_MQ_61_02_TECCAI_41,Negative. Your limited mind cannot comprehend the tremendous tasks before me. My plan provided the highest success probability. 
Act04_MQ_61_02_Player_42,And it makes you a monster...
