Language,Default

#,Document Outline: Side Quest Dialogue Text

#,Quest NPC: Jozef Pertragolavic
#,Quest Name: Game Night 
#,Key_Fix: Side_Q_GameNight

#,"He asks the player to invite Isko, Katerina, Temir, and Octavio to a poker night. Receives XP for each person that says yes. "
#,"Characters in attendance that don't need to be invited are Cyrus, Idrissi, Cristhyan, and Jozef."
#,"Note: If player touches Jozef's car in the garage, they cannot take this quest."

#,"Jozef's miniature car replica is sitting at his workstation in the garage/hanger from the beginning of the game. This is tempting for the player to touch, but they shouldn't because he hates that. And he tells the player that in his Basic_Jozef dialogue."
#,"If the player interacts with it, they get the following choice. "
Side_Q_GameNight_Nar_01,"(This is Jozef's prized possession. A real-to-life miniature replica of a vintage 2023 MoTex Scorpion that, if one were tiny enough, could actually be driven. It even has a J02EF vanity plate. It's truly a sight to behold, and something calls you to touch it, even though you know you shouldn't.)"
Side_Q_GameNight_Touch_S01,Don't touch it.
Side_Q_GameNight_Touch_S02,Touch it.

#,"If player chooses not to touch it, nothing happens. They can just go on with their life, and this quest will happen normally. "
#,"If player DOES touch it, however, they do not get this mission. "
Side_Q_GameNight_Touch_S02_Nar_01,"(Despite what your head tells you, your heart wants to touch the car replica. It is smooth and shiny, and the articulating doors and trunk are a sight to behold. You feel satisfied with the experience.)"
Side_Q_GameNight_Touch_S02_Nar_02,"(You have already touched the car. Your desire to touch the car again overwhelms you, but you realized that you shouldn't so decided to leave it.)"

#,"If player touches Jozef's car, this replaces Basic_Jozef."
Side_Q_GameNight_Touch_S02_Jozef_02,"I know you touched my car, and that disgusts me. Don't talk to me. "

#,Player receives message to start quest
Side_Q_GameNight_AI_02,"Incoming message from Jozef, {PlayerFullName}."
Side_Q_GameNight_Jozef_03,"I'm throwing a game night, and you're invited if you can help me out. I'll explain more next time we speak.\n-Jozef Pertragolavic-"

#,When player speaks to Jozef
Side_Q_GameNight_Player_04_01,"Hi, Jozef! Game night sounds exciting!"
Side_Q_GameNight_Player_04,"Hi, Jozef! Game night sounds exciting! What do you need me to do to clinch my invite?"
Side_Q_GameNight_Jozef_05,Nothing too difficult. I see you making connections with everyone around camp.
Side_Q_GameNight_Jozef_06,"I run a game night now and then. We get together and play cards, bullshit, and throw credits around. We have a full table, but I want to mix things up with some new players. "
Side_Q_GameNight_Player_07,"So, I need to try to get people to come to the game night?"
Side_Q_GameNight_Jozef_08,"Yeah. Three would be perfect, but we could probably work with two if you're not as popular as I believe you are. Invite more if you want, though. It's a party."
Side_Q_GameNight_Jozef_09,"I invited Katerina, but haven't heard back. That's a place to start. She's a good person."
Side_Q_GameNight_Player_10,Okay... I'm off to give in-person invites. 

#,When player speaks to Jozef after starting quest
#,Replaces Basic_Jozef until end of quest
Side_Q_GameNight_Jozef_11,You invite enough people to game night?

#,———————————————————————
#,If player speaks to Katerina without finishing Bringing Justice (Dalton's quest)
Side_Q_GameNight_Player_12_01,"Hey, Katerina! Jozef said he sent you an invite to game night."
Side_Q_GameNight_Player_12,"Hey, Katerina! Jozef said he sent you an invite to game night. Did you get it?"
Side_Q_GameNight_Katerina_13,Yup.
Side_Q_GameNight_Player_14,Oh... were you going to go?
Side_Q_GameNight_Katerina_15,Hmmm... don't know. Who else is going to be there?

#,Player dialogue choice with Katerina
Side_Q_GameNight_Katerina_S01,Who cares as long as you're there.
Side_Q_GameNight_Katerina_S02,Lots of people!

#,"Player picks S01, (success)"
Side_Q_GameNight_Katerina_S01_Katerina_01,"I don't need the brown-nosing. I like playing cards, but I hate RSVPs. I was going to show up anyway."
Side_Q_GameNight_Katerina_S01_Player_02,"You're always on brand, Katerina. I guess I'll see you there. "
Side_Q_GameNight_Katerina_S01_Katerina_03,Mmhmm. 

#,"Player picks S02, (failure, but player gets second chance)"
Side_Q_GameNight_Katerina_S02_Katerina_01,"Have you known me to be a people person, {PlayerFullName}?"
Side_Q_GameNight_Katerina_S02_Player_02,"Um... Not really, no. "
Side_Q_GameNight_Katerina_S02_Katerina_03,*sigh* How many people are we talking?

#,Player choice after S02
Side_Q_GameNight_Katerina_S02_1,Just enough to play cards. 
Side_Q_GameNight_Katerina_S02_2,"A dozen or so, maybe... "

#,Player picks S02-1 (success)
Side_Q_GameNight_Katerina_S02_1_Katerina_01,You can tell Jozef I'll be there then.
Side_Q_GameNight_Katerina_S02_1_Player_02,Great! I'll see you there!
Side_Q_GameNight_Katerina_S02_1_Katerina_03,Mmhmm. 

#,Player picks S02-2 (failure)
Side_Q_GameNight_Katerina_S02_2_Nar_01,(Katerina looks unimpressed at your answer.)
Side_Q_GameNight_Katerina_S02_2_Katerina_02,I'll pass. I'm not into big parties. 
Side_Q_GameNight_Katerina_S02_2_Player_03,"Oh, okay. Anything I can do to change your mind?"
Side_Q_GameNight_Katerina_S02_2_Katerina_04,Nope. I'll see you later.

#,If player speaks to Katerina after finishing Bringing Justice and Tau is in jail. Katerina doesn't need convincing. Auto-success. 
Side_Q_GameNight_Player_16,"Hey, Katerina! Jozef said he invited you to his game night. Did you get the invite?"
Side_Q_GameNight_Katerina_17,Yup. I'm just not into the whole RSVP system of expectations. 
Side_Q_GameNight_Player_18,"But you are coming, right?"
Side_Q_GameNight_Katerina_19,"Yes. I've been in a better mood since Tau was put away. He stole from me and deserves to rot, so game night is dedicated to his arrest as far as I'm concerned."
Side_Q_GameNight_Player_20,*haha* Agreed. I'll see you there! 

#,———————————————————————
#,Player speaks with Isko (no auto success/failure with him)
Side_Q_GameNight_Player_21,"Hey, Isko! Do you want to come to Jozef's game night?"
Side_Q_GameNight_Isko_22,"I love games, and bets are totally my thing. Did I ever tell you that I'm on Titan because I bet my childhood friends I could get farther away from our hometown than they could? Look at me now! *haha* I won!"
Side_Q_GameNight_Isko_23,"But... Jozef has invited me to a game night before and I didn't really click with anyone there. So I may have to decline. "

#,Player dialogue choice with Isko
Side_Q_GameNight_Isko_S01,"Hey, I'll be there and I'll make sure you have fun."
Side_Q_GameNight_Isko_S02,Maybe you could get to know Jozef better...

#,"Player picks S01, (success)"
Side_Q_GameNight_Isko_S01_Isko_01,"Yeah? Well, if you put it that way, count me in. "
Side_Q_GameNight_Isko_S01_Player_02,Okay! I'll send you the details and see you there. 
Side_Q_GameNight_Isko_S01_Isko_03,See you there!

#,"Player picks S02, (failure, but player gets second chance)"
Side_Q_GameNight_Isko_S02_Isko_01,"I don't know... Jozef is my exact opposite. Plus I have a bunch of work to catch up on, so I probably just shouldn't. "

#,Player choice after S02
Side_Q_GameNight_Isko_S02_1_01,You're always covering for Ida.
Side_Q_GameNight_Isko_S02_2_01,It's just one night.
