Language,Default

#,[ 01-00. One Hand Melee: Start ]
00_MeleeWp_01_OHM_00_Start_KitchenKnife_NameKey,Ржавый Тесак
00_MeleeWp_01_OHM_00_Start_KitchenKnife_DescKey,"Старый, покрытый ржавчиной кухонный нож. Надеюсь Альп не использует его в готовке."


#,[ 01-01. One Hand Melee: Tier ]
00_MeleeWp_01_OHM_01_Tier01_Sword_NameKey,Ржавый Меч
00_MeleeWp_01_OHM_01_Tier01_Sword_DescKey,Он достаточно острый чтобы резать... и ржавчина будет попадать в раны, и наносить калечащиё урон для небронированных целей.

00_MeleeWp_01_OHM_01_Tier01_Club_NameKey,Склееная Дубина
00_MeleeWp_01_OHM_01_Tier01_Club_DescKey,Склееные клейкой лентой палки... И ты называешь это оружием?

00_MeleeWp_01_OHM_01_Tier02_Sword_NameKey,Острый Меч
00_MeleeWp_01_OHM_01_Tier02_Sword_DescKey,Это антикварный меч все ещё остр, и конечно же проливал кровь раньше.

00_MeleeWp_01_OHM_01_Tier02_Club_NameKey,Деревянная Бита
00_MeleeWp_01_OHM_01_Tier02_Club_DescKey,Изготовлена из цельного дерева. Может наносить урон через броню, если ударите достаточно сильно.

00_MeleeWp_01_OHM_01_Tier02_A_Sword_NameKey,Трупный Меч
00_MeleeWp_01_OHM_01_Tier02_A_Sword_DescKey,Меч сделанный из заточеных костей подземных монстров. Хорош если ничего другого нет, не очень прочен.

00_MeleeWp_01_OHM_01_Tier02_A_Club_NameKey,Трупная Дубина
00_MeleeWp_01_OHM_01_Tier02_A_Club_DescKey,Бита из затвердевших котсей подземных монстров. Выглядит внушительно, но может сломаться в любой момент.

00_MeleeWp_01_OHM_01_Tier03_Club_NameKey,Шипастая Дубина
00_MeleeWp_01_OHM_01_Tier03_Club_DescKey,Класическая комбинация дерева и метала. Достаточно прочная чтобы крушить врагов и острая чтобы вызвать кровотечения.

00_MeleeWp_01_OHM_01_Tier03_Sword_NameKey,5-Body Меч
00_MeleeWp_01_OHM_01_Tier03_Sword_DescKey,"Острейший меч в округе, может разрезать почти что всё."

00_MeleeWp_01_OHM_01_Tier04_Club_NameKey,Экспериментальная Дубина
00_MeleeWp_01_OHM_01_Tier04_Club_DescKey,Экспериментальная булава из Мастерской Юдит. Тяжела и громоздка, но действительно впечетляет.

00_MeleeWp_01_OHM_01_Tier04_Sword_NameKey,Экспериментальная Меч
00_MeleeWp_01_OHM_01_Tier04_Sword_DescKey,Юдит сделала этот Экспериментальный Меч с помощью технологий. Выглядит шатко, но в теории может резать и шокировать??.

00_MeleeWp_01_OHM_01_Tier05_Club_NameKey,High-Tech Mace of Painful Dent-Making
00_MeleeWp_01_OHM_01_Tier05_Club_DescKey,Judith's finished mace is easier to handle and hits like a Mack truck. You don't want to be on the other end of this thing.

00_MeleeWp_01_OHM_01_Tier05_Sword_NameKey,'Magical' Sword of Preposterous Power
00_MeleeWp_01_OHM_01_Tier05_Sword_DescKey,No armor can stand against this sword made of pure energy. How the hell did Judith make this thing?


#,[ 01-02. One Hand Melee: Side ]
00_MeleeWp_01_OHM_02_Side_Crowbar_NameKey,Crowbar
00_MeleeWp_01_OHM_02_Side_Crowbar_DescKey,"It's a bit old, but may have a few swings left."

00_MeleeWp_01_OHM_02_Side_Homi_NameKey,Homi
00_MeleeWp_01_OHM_02_Side_Homi_DescKey,A Korean hoe typically used for gardening. It's an unorthodox weapon but serviceable in a pinch.

00_MeleeWp_01_OHM_02_Side_Kettlebell_NameKey,Kettlebell
00_MeleeWp_01_OHM_02_Side_Kettlebell_DescKey,A weighty piece of exercise equipment good for upper body improvement and caving in the occasional monster skull.

00_MeleeWp_01_OHM_02_Side_Riotrod_NameKey,Riot Rod
00_MeleeWp_01_OHM_02_Side_Riotrod_DescKey,The dead guards underground don't need their security rods anymore. It'll help you keep the peace in the mines.

00_MeleeWp_01_OHM_02_Side_Rolling_Pin_001_NameKey,Rolling Pin
00_MeleeWp_01_OHM_02_Side_Rolling_Pin_001_DescKey,"Whether preparing a cake or whacking a monster in the head, this hefty tool does the job."

00_MeleeWp_01_OHM_02_Side_Frying_Pan_001_NameKey,Frying Pan
00_MeleeWp_01_OHM_02_Side_Frying_Pan_001_DescKey,"It might sound cartoonish at first, but this heavy cast iron pan can flatten anything in its way."

00_MeleeWp_01_OHM_02_Side_Wrench_001_NameKey,Heavy Wrench
00_MeleeWp_01_OHM_02_Side_Wrench_001_DescKey,"This handy tool is made of thick metal, strong enough to break stuff when necessary."

00_MeleeWp_01_OHM_02_Side_Scalpel_001_NameKey,Scalpel
00_MeleeWp_01_OHM_02_Side_Scalpel_001_DescKey,"A short, fine blade fantastic for taking out enemies with surgical precision."

00_MeleeWp_01_OHM_02_Side_Truncheon_001_NameKey,Billy Club
00_MeleeWp_01_OHM_02_Side_Truncheon_001_DescKey,"Primarily a defensive weapon used by law enforcement, this study wooden baton is also excellent for subduing an enemy."

00_MeleeWp_01_OHM_02_Side_Ratchet_Wrench_001_NameKey,Long Handle Ratchet
00_MeleeWp_01_OHM_02_Side_Ratchet_Wrench_001_DescKey,"Made of thin, solid metal, it can remove lug nuts and smite one's enemies."

00_MeleeWp_01_OHM_02_Side_Fretsaw_001_NameKey,Fretsaw
00_MeleeWp_01_OHM_02_Side_Fretsaw_001_DescKey,A durable fretsaw with sharp blades and enough teeth to cut through flesh and bone. 

00_MeleeWp_01_OHM_02_Side_RustyPipe_001_NameKey,Gas Pipe
00_MeleeWp_01_OHM_02_Side_RustyPipe_001_DescKey,A partially-rusted metal pipe cut to a length usable with one hand. It's heavy but deadly. 


#,[ 01-03. One Hand Melee: Special ]
00_MeleeWp_01_OHM_03_Special_Whip_NameKey,Whip
