Language,Default

#,[ 01. Food ]
30_Usable_01_Food_Mushroom_NameKey,Cave Mushroom
30_Usable_01_Food_Mushroom_DescKey,A mushroom that grows naturally in caves. Dangerous if consumed raw.

30_Usable_01_Food_Plant_General_001_NameKey,Toxic Leaves
30_Usable_01_Food_Plant_General_001_DescKey,Purple leaves collected from Titan plants polluted by environmental nanobots.

30_Usable_01_Food_Plant_General_002_NameKey,Toxic Red Fruit
30_Usable_01_Food_Plant_General_002_DescKey,Red fruit picked from a Titan plant polluted by environmental nanobots.

30_Usable_01_Food_Plant_General_004_NameKey,Toxic Berries
30_Usable_01_Food_Plant_General_004_DescKey,Colorless berries collected from Titan plants polluted by environmental nanobots.

30_Usable_01_Food_Huygen_Bread_NameKey,Huygen Bread
30_Usable_01_Food_Huygen_Bread_DescKey,"Bread made in Camp Huygen. The ingredients are different, so it tastes... off."

30_Usable_01_Food_Cockroach_Yokan_NameKey,Cockroach Yokan
30_Usable_01_Food_Cockroach_Yokan_DescKey,"Food made from agar, sugar, and cockroaches? Can't believe they followed us all the way to Titan."

30_Usable_01_Food_Mushroom_Salad_NameKey,Mantar Sote
30_Usable_01_Food_Mushroom_Salad_DescKey,Sauted cave mushrooms mixed with simple greens. Not bad at all.

30_Usable_01_Food_Potato_NameKey,Potatoes
30_Usable_01_Food_Potato_DescKey,A huge potato grown and sold from Seoyeon's farm.

30_Usable_01_Food_Carrot_NameKey,Carrot
30_Usable_01_Food_Carrot_DescKey,A bright orange carrot grown and sold from Seoyeon's farm.

30_Usable_01_Food_Daikon_NameKey,Daikon
30_Usable_01_Food_Daikon_DescKey,A daikon (radish) grown and sold from Seoyeon's farm.

30_Usable_01_Food_Pumpkin_NameKey,Pumpkin
30_Usable_01_Food_Pumpkin_DescKey,A pumpkin grown and sold from Seoyeon's farm.

30_Usable_01_Food_Chill_NameKey,Chilis
30_Usable_01_Food_Chill_DescKey,A few chili peppers grown and sold from Seoyeon's farm.

30_Usable_01_Food_Tomato_NameKey,Tomato
30_Usable_01_Food_Tomato_DescKey,A fresh tomato grown and sold from Seoyeon's farm.

30_Usable_01_Food_Sweet_Potato_NameKey,Sweet Potatoes
30_Usable_01_Food_Sweet_Potato_DescKey,Some sweet potatoes grown and sold from Seoyeon's farm.

