Language,Default

#,[ Proficiency ]
Perk_Pro_OneHandMelee,One Hand Melee
Perk_Pro_TwoHandMelee,Two Hand Melee
Perk_Pro_OneHandRange,Pistol
Perk_Pro_TwoHandRange,Rifle
Perk_Pro_Bow,Bow
Perk_Pro_Nanobot,Nanobot
Perk_Pro_Physical,Physical
Perk_Pro_Survival,Survival

#,[ One Hand Melee ]
#,( Passive )
OHM_P_Mastery_NameKey,Владение Одноручным Оружием
OHM_P_Mastery_DescKey,Improves <sprite name=MeleeAccuracy_Icon> <#66FFCC>Melee Accuracy</color> and <sprite name=Dodge_Icon> <#66FFCC>Dodge Chance</color> while lowering <sprite name=Fumble_Icon> <#66FFCC>Fumble Chance</color> when wielding a One-Handed Melee Weapon.

OHM_P_ShieldMastery_NameKey,Владение Шитами
OHM_P_ShieldMastery_DescKey,Increased <sprite name=blockPower_Icon> <#66FFCC>Block Power</color> and <sprite name=blockChance_Icon> <#66FFCC>Block Chance</color> when equipped with a shield.

OHM_P_BlockStrike_NameKey,Контрудар
OHM_P_BlockStrike_DescKey,Increased <#66FFCC><sprite name=Counter_Icon> Counter Chance</color> against follow-up attacks after a successful block.

OHM_P_IntensiveCounter_NameKey,Возмездие
OHM_P_IntensiveCounter_DescKey,Increased chance to inflict <#FFA500><sprite name=Info_KnockBackTile_Icon> Knockback</color> and <#FFFF00><sprite name=Trait_State_Confusion_icon> Confusion</color> status after a successful counterattack.

OHM_P_Concussion_NameKey,Тяжелые удары
OHM_P_Concussion_DescKey,Critical hits now also inflict the <#FFFF00><sprite name=Trait_State_Disorient_icon> Dizziness</color> status on the enemy.

#,( Active )
OHM_A_UpperHand_NameKey,Тяжелая Рука
OHM_A_UpperHand_DescKey,"Intense one-handed melee training gives you the upper hand, boosting your stats for a few turns."

OHM_A_ReadyToCounter_NameKey,Встречная стойка
OHM_A_ReadyToCounter_DescKey,Enter a defensive stance to better prepare yourself to counter incoming attacks.

OHM_A_ShieldAttack_NameKey,Удар Шитом
OHM_A_ShieldAttack_DescKey,"Bash an enemy with your shield, pushing them back and dealing stunning damage."

OHM_A_CombinationAttack_NameKey,Комбо Рывок
OHM_A_CombinationAttack_DescKey,Dash towards an enemy with a flurry of quick attacks.

OHM_A_SawshankBoomerang_NameKey,Бумеранг Шоушенка
OHM_A_SawshankBoomerang_DescKey,"Fling your weapon, striking a target multiple times before it returns to your hand. Very useful."


#,[ Two Hand Melee ]
#,( Passive )
THM_P_Mastery_NameKey,Two-Handed Melee Mastery
THM_P_Mastery_DescKey,"Improves <#66FFCC><sprite name=MeleeAccuracy_Icon> Melee Accuracy</color>, <#66FFCC><sprite name=CriticalChance_Icon> Critical Chance</color>, and <#66FFCC><sprite name=MeleeCriticalEfficiency_Icon> Melee Efficiency</color> when wielding a Two-Handed Melee Weapon."

THM_P_InsideOut_NameKey,Inside Out
THM_P_InsideOut_DescKey,Increased chance to inflict <#66FFCC><sprite name=injuriedDamage_Icon> Injury Damage</color> and <#66FFCC><sprite name=fractureDamage_Icon> Fracture Damage</color> statuses when equipped with a Two-Handed Melee Weapon.

THM_P_AdrenalineMaster_NameKey,Amped Up
THM_P_AdrenalineMaster_DescKey,<#66FFCC><sprite name=maxAdrenaline_Icon> Adrenaline</color> increases faster after killing an enemy.\n<#66FFCC><sprite name=maxAdrenaline_Icon> Adrenaline</color> also decreases slower out of combat.

THM_P_IntensiveStand_NameKey,Battle Rush
THM_P_IntensiveStand_DescKey,Increased <#66FFCC>Melee Damage</color> dealt when at <#66FFCC>Adrenaline 6+</color>.

THM_P_QuickHand_NameKey,Quick Hands
THM_P_QuickHand_DescKey,Chance to swap from a Two-Handed Melee weapon during combat without losing a turn.

#,( Active )
THM_A_HitHard_NameKey,Shoving Strike
THM_A_HitHard_DescKey,Disorient an enemy with a strike that deals heavy damage and <#FFA500><sprite name=Info_KnockBackTile_Icon> Knockback</color>.

THM_A_Tension_NameKey,Adrenaline Rush
THM_A_Tension_DescKey,Instantly prepare for a fight by boosting your<#66FFCC><sprite name=maxAdrenaline_Icon>  Adrenaline levels</color> and increasing your <#66FFCC><sprite name=maxAdrenaline_Icon>Adrenaline production rate</color> for a short period.

THM_A_BrutalSmash_NameKey,Brutal Smash
THM_A_BrutalSmash_DescKey,Deliver a massive attack on a single target that causes a 'Brutal Kill' on a kill.\n(Brutal Kill: Enemy explodes upon death and damages adjacent enemies)

THM_A_RushBash_NameKey,Jousting Dash
THM_A_RushBash_DescKey,"Rush forward in one direction, damaging all enemies in the path. Requires open space behind enemies to avoid smashing into walls."

THM_A_BigSwing_NameKey,Sweeping Strike
THM_A_BigSwing_DescKey,"Swing your weapon in a wide arc, striking several adjacent enemies. At Level 3, you may leap to reposition yourself on the battlefield before striking."


#,[ One Hand Range ]
#,( Passive )
OHR_P_Mastery_NameKey,Pistol Mastery
OHR_P_Mastery_DescKey,Improved <sprite name=RangeAccuracy_Icon><#66FFCC> Range Accuracy</color> and <sprite name=CriticalChance_Icon><#FFA500> Critical Chance</color> while lowering<sprite name=Fumble_Icon><#66FFCC> Fumble Chance</color> when wielding a Pistol.

OHR_P_PistolTechnician_NameKey,Pistol Technician
OHR_P_PistolTechnician_DescKey,<#66FFCC>Reduced <sprite name=JammingChance_Icon> Jamming Chance</color> and <#FFA500>increased chance to preserve weapon <sprite name=Durability> durability</color> when attacking with Pistol.

OHR_P_Reload_NameKey,Reload Trick
OHR_P_Reload_DescKey,"When reloading, <sprite name=pistolReloadBonus_Icon><#66FFCC> you've learned a fancy maneuver to load in a few extra bullets</color> and <#FFA500><sprite name=Info_TriggerChance_Icon>possibly not lose a turn.</color>"

OHR_P_SmoothDraw_NameKey,First Shot
OHR_P_SmoothDraw_DescKey,Deal bonus damage for 1 turn after switching to a Pistol during combat.

OHR_P_AccurateAim_NameKey,Accurate Aim
OHR_P_AccurateAim_DescKey,<sprite name=Damage_Icon> Damage-dealing capability increases with higher <#66FFCC><sprite name=RangeAccuracy_Icon> Ranged Accuracy</color> while firing a Pistol.

#,( Active )
OHR_A_Target_NameKey,Target On
OHR_A_Target_DescKey,"Target an enemy and fire with increased <#66FFCC>Accuracy</color> and deadliness."

OHR_A_Hero_NameKey,Bullet Time
OHR_A_Hero_DescKey,Intense pistol training makes it easier to evade almost any attack.

OHR_A_MovingShot_NameKey,Gun and Run
OHR_A_MovingShot_DescKey,Fire multiple shots before quickly moving to another tile.

OHR_A_ChainBullet_NameKey,Chain Bullet
OHR_A_ChainBullet_DescKey,Fire a shot that ricochets from one enemy to other adjacent enemies.

OHR_A_LastShot_NameKey,Last Shot
OHR_A_LastShot_DescKey,"Condense your Nano Energy into a single, powerful Pistol shot."


#,[ Two Hand Range ]
#,( Passive )
THR_P_Mastery_NameKey,Rifle Mastery
THR_P_Mastery_DescKey,"Improves <#66FFCC><sprite name=RangeAccuracy_Icon> Range Accuracy</color>, <#66FFCC><sprite name=CriticalChance_Icon> Critical Chance</color>, and <#66FFCC><sprite name=RangeCriticalEfficiency_Icon> Range Critical Efficiency</color> when wielding a Rifle."

THR_P_RifleTechnician_NameKey,Rifle Technician
THR_P_RifleTechnician_DescKey,Reduced <#66FFCC><sprite name=JammingChance_Icon> Jamming Chance</color> and <#FFA500><sprite name=Durability> increased chance to preserve weapon durability</color> when attacking with Rifle.

THR_P_FocusedStand_NameKey,Focused Stand
THR_P_FocusedStand_DescKey,"The higher your Adrenaline, the keener your eye… leading to <#66FFCC><sprite name=RangeAccuracy_Icon>increased damage </color>and <#66FFCC><sprite name=RangeAccuracy_Icon> Accuracy</color>."

THR_P_QuickShot_NameKey,Quick Shot
THR_P_QuickShot_DescKey,"Grants chance to preserve a turn while shooting an enemy with normal attack."

THR_P_BrutalShot_NameKey,Brutal Shot
THR_P_BrutalShot_DescKey,Chance of causing a <#66FFCC>Brutal Kill</color> if the enemy is killed with a Rifle. (Brutal Kill: Enemy explodes upon death and damages adjacent enemies.)

#,( Active )
THR_A_Sinpe_NameKey,Snipe
THR_A_Sinpe_DescKey,Aim carefully to snipe the target. <#66FFCC><sprite name=RangeAccuracy_Icon> Range Accuracy</color> remains the same even at long ranges.

THR_A_Alert_NameKey,Hold the Line
THR_A_Alert_DescKey,Gain increased stats by hunkering down and concentrating in battle. Benefits fade if you move.

THR_A_PiercingShot_NameKey,Drill Shot
THR_A_PiercingShot_DescKey,Expertly blast in a direction and damage all targets in a line with your Rifle.

THR_A_BurstShot_NameKey,Burst Shot
THR_A_BurstShot_DescKey,Tear an enemy to shreds by firing multiple bullets quickly.

THR_A_EmptyMagazine_NameKey,Unload
THR_A_EmptyMagazine_DescKey,Target an enemy and fire all your bullets until your Rifle's magazine is depleted. Not guaranteed to hit 100%.


#,[ Bow ]
#,( Passive )
Bow_P_Mastery_NameKey,Bow Mastery
Bow_P_Mastery_DescKey,Improves <#66FFCC><sprite name=RangeAccuracy_Icon> Range Accuracy and <sprite name=RangeCriticalEfficiency_Icon> Range Critical Efficiency while lowering</color> <#FF0000><sprite name=Fumble_Icon> Fumble Chance when wielding</color> a Bow.

Bow_P_UndetectedAttack_NameKey,From the Shadows
Bow_P_UndetectedAttack_DescKey,Reduces the chance for enemies to detect your presence after an attack.

Bow_P_ArrowCraftmanship_Acid_NameKey,Arrowmaker: Acid
Bow_P_ArrowCraftmanship_Acid_DescKey,Unlocks <#FFA500>Acid Arrows</color> as a craftable item.
Bow_P_ArrowCraftmanship_Burn_NameKey,Arrowmaker: Fire
Bow_P_ArrowCraftmanship_Burn_DescKey,Unlocks <#FFA500>Fire Arrows</color> as a craftable item.
Bow_P_ArrowCraftmanship_Posion_NameKey,Arrowmaker: Poison
Bow_P_ArrowCraftmanship_Poison_DescKey,Unlocks <#FFA500>Poison Arrows</color> as a craftable item.

Bow_P_BlindingShot_NameKey,Blinding Shot
Bow_P_BlindingShot_DescKey,Critical Hits now also inflict the <sprite name=Trait_State_Blind_Icon> Blindness status on an enemy.

Bow_P_HiddenKill_NameKey,Assassin Shot
Bow_P_HiddenKill_DescKey,Triggers <#FFFF00><sprite name=Invisible_Icon> Hidden</color> status after killing an enemy.

#,( Active )
Bow_A_AimLeg_NameKey,Arrow to the Knee
Bow_A_AimLeg_DescKey,Aim for an enemy's legs to possibly inflict severe injuries and limit their movement.

Bow_A_MultipleShot_NameKey,Multishot
Bow_A_MultipleShot_DescKey,Fires multiple arrows at once

