Language,Default

#,[ State ]
Trait_State_Acid_01_NameKey,Light Acid ( <sprite name=Acid_Value_Icon>: <#FF0000>{UDI_Acid_Value}</color> )
Trait_State_Acid_01_DescKey,Your equipped gear (or your skin) was splashed with acid that reduces your gear's durability or eats through your flesh each Turn. Find a neutralizing agent quickly!

Trait_State_Acid_02_NameKey,Acid ( <sprite name=Acid_Value_Icon>: <#FF0000>{UDI_Acid_Value}</color> )
Trait_State_Acid_02_DescKey,"Your body is covered with acid! Each Turn, your equipment further dissolves (lowering durability) or your skin blisters (dealing damage)."

Trait_State_Acid_03_NameKey,Serious Acid ( <sprite name=Acid_Value_Icon>: <#FF0000>{UDI_Acid_Value}</color> )
Trait_State_Acid_03_DescKey,"You're soaking in acid. If you don't neutralize it, you'll lose your gear... or your life!"

Trait_State_Fracture_01_NameKey,Sprain ( <sprite name=Fracture_Value_Icon>: <#FF0000>{UDI_Fracture_Value}</color> )
Trait_State_Fracture_01_DescKey,"You've sprained one of your joints. It hurts, but you can walk it off."

Trait_State_Fracture_02_NameKey,Hairline Fracture ( <sprite name=Fracture_Value_Icon>: <#FF0000>{UDI_Fracture_Value}</color> )
Trait_State_Fracture_02_DescKey,Physical stress has caused a hairline fracture in one of your bones. Take care of it before it worsens.

Trait_State_Fracture_03_NameKey,Broken Bones ( <sprite name=Fracture_Value_Icon>: <#FF0000>{UDI_Fracture_Value}</color> )
Trait_State_Fracture_03_DescKey,"One of your bones is broken, which is severely painful. See a doctor!"

Trait_State_Injuried_01_NameKey,Cut ( <sprite name=Injuried_Value_Icon>: <#FF0000>{UDI_Injuried_Value}</color> )
Trait_State_Injuried_01_DescKey,Just a flesh wound! It barely broke the skin.

Trait_State_Injuried_02_NameKey,Bleeding ( <sprite name=Injuried_Value_Icon>: <#FF0000>{UDI_Injuried_Value}</color> )
Trait_State_Injuried_02_DescKey,A deep cut with quite a bit of blood. Get that bandaged!

Trait_State_Injuried_03_NameKey,Excessive Bleeding ( <sprite name=Injuried_Value_Icon>: <#FF0000>{UDI_Injuried_Value}</color> )
Trait_State_Injuried_03_DescKey,"You're covered in your own blood. The bleeding will stop soon, though, one way or another."

Trait_State_Poison_01_NameKey,Light Poison ( <sprite name=Poison_Value_Icon>: <#FF0000>{UDI_Poison_Value}</color> )
Trait_State_Poison_01_DescKey,"You've been dosed with a small amount of poison. With time, your body can naturally expel it, but an antidote would help you recover faster."

Trait_State_Poison_02_NameKey,Poison ( <sprite name=Poison_Value_Icon>: <#FF0000>{UDI_Poison_Value}</color> )
Trait_State_Poison_02_DescKey,Even more poison makes you feel light-headed and dazed. Find an antidote!

Trait_State_Poison_03_NameKey,Serious Poison ( <sprite name=Poison_Value_Icon>: <#FF0000>{UDI_Poison_Value}</color> )
Trait_State_Poison_03_DescKey,"Your veins now contain more poison than blood. Without an antidote, you're sure to die!"

