Language,Default

#,Main Quest Name: Awaken

#,#1.Game Scene // Condition: Game Start
#,Place: Cyro-tube facility in the medical
#,"Actor: Player, Ida Shahane, Isko Exconde"
#,KeyPrefix: Act01_MQ_01

#,faded-out black screen.
#,The player has not yet opened his eyes.
Act01_MQ_01_01_Narration,"(Что-то появилось в абсолютной тьме существования как ваше сознание начало пробуждаться чтобы проснуться вновь. Сквозь подавленные ошушениям, вспышка в вашем сознание позволила вам видеть.)"
Act01_MQ_01_02_Narration,"(Тяжело думать о чем-либо, как и пытаться говорить. Слишком много образов проносится у тебя в голове,и сон с реальностья сливаются. Как же долго вы проспали?)"
Act01_MQ_01_03_Narration,"(Жидкость окружавшая вас начала утекать, и действительность нахлынула на вас. Лязг шестерней и компьютеризированные сигналы бьют по слуху. Произошла внезапная остановка механизма твоих металических оков что не давали сделать вдох.И свежый воздух наполнил ваши лёгкие будто в первый раз, что заставило сердце биться чаще.)"

#,The player regains consciousness and opens his eyes. (Scene fade-in)
#,Location: Huygens Camp Clinic. Where there are medical capsules and hibernation devices.
#,"Player lying in hibernation device. The device is closed, with Aida standing next to it."
Act01_MQ_01_04_P,Аххххххххххх!
Act01_MQ_01_05_Narration,"(Звук собственого голоса заставил встать ваши волосы дыбом, а ваш нос учуял смесь запахов химикатов и крови. Тени по ту сторону стекла быстро двигались. Ваши зрачки двигались из стороны в сторну в попытки понять что-же происходит и заставить себя заговорить.)"
Act01_MQ_01_06_P,Вы...Выпус... Выпустите меня наружу!

#,hibernation device opened.
Act01_MQ_01_07_Narration,"(Привычный вам кокон из металла и стекла сотрясается и втягивается, заменяя холодный пар теплым светом. Первый человек, которого вы видите, - это женщина. Что это - беспокойство на ее лице или возбуждение?)"
Act01_MQ_01_08_Ida,...Привет! Я надеялась что ты всё же выжил. Ведь Крио капсула это старого образца.
Act01_MQ_01_09_P,...Г-Где...?
Act01_MQ_01_10_Ida,"Тише. Вы в безопасности. Это <color=#FFFF00>Лагерь Хайген</color> на Титане, а я Доктор Шахани, глава нашей клиники. Мы только что вывели тебя из стазиса."
