Language,Default

#,Document Outline: Side Quest Dialogue Text

#,Quest NPC: Alexei Bogomolov
#,Quest Name: Become the Wolf 
#,Key_Fix: Side_Q_BecomeTheWolf

#,Player receives message from Alexei
Side_Q_BecomeTheWolf_AI_01,"Incoming message from Alexei, {PlayerFullName}."
Side_Q_BecomeTheWolf_Alexei_02,"We have much to discuss, Wolf. Visit me.\n-Alexei Bogomolov-"

#,When player speaks to Alexei
Side_Q_BecomeTheWolf_Alexei_03,"Good to see you, Wolf. It was a beautiful thing to fight beside you at the mine elevator, despite the unfortunate circumstances that brought us there."
Side_Q_BecomeTheWolf_Player_04,"I'm just glad we survived, but can I ask... Why do you keep calling me Wolf?"
Side_Q_BecomeTheWolf_Alexei_05,"From the second our eyes met, I knew we were kindred spirits. The heart of a hunter lies within each of us, even if you still need to awaken yours. "
Side_Q_BecomeTheWolf_Player_06,You really think so?
Side_Q_BecomeTheWolf_Alexei_07,"I know so... and I'm here to help you do just that. Wolves must hunt, and we bore quickly after hunting the same prey day after day. Making all other creatures your prey makes you the apex predator. "
Side_Q_BecomeTheWolf_Alexei_08,"My challenge is this... find and defeat every kind of creature on Titan. If you can do that, your wolf spirit will be sated."
Side_Q_BecomeTheWolf_Player_09,"Consider your challenge accepted, Alexei. Honestly, it sounds kind of fun. "
Side_Q_BecomeTheWolf_Alexei_10,"Good, good... I'm syncing with your Omniscope to keep tabs on your progress. Even if I can't go with you into the mines, we are on this journey together, Wolf. "
Side_Q_BecomeTheWolf_Alexei_11,"'Live like the wolf, howl like the wolf.'"
Side_Q_BecomeTheWolf_Player_12,"'Live like the wolf, howl like the wolf.'"
Side_Q_BecomeTheWolf_Alexei_13,*hehe* Good hunting. 

#,NeedText------------------
#,"When player completes the creature log 20%, message arrives to player. Upon checking the message, player will be talking to Alexei remotely to gain quest item stored into the personal storage. So the below needs to be written as conversation style. Player does not need to go and see Alexei in person in order to get the quest item from him, except the last reward where player do need to go and see Alexei for the final reward."

#,When player has completed 20% of creature log Alexei sends craft materials to make new gear
#,alexei sends credits and boots
Side_Q_BecomeTheWolf_AI_14,"Incoming communication from Alexei, {PlayerFullName}."
Side_Q_BecomeTheWolf_Alexei_15,"Off to a great start already, Wolf. Looks like you've completed about 20% of the creature logs. "
Side_Q_BecomeTheWolf_Player_15_01,"I didn't even realize it, so thanks for letting me know. "
Side_Q_BecomeTheWolf_Alexei_15_02,"Time flies when you're having right, eh?"
Side_Q_BecomeTheWolf_Alexei_15_03,I'm gifting you the first piece of unique gear designed for us wolves. Trust me... they won't disappoint. 
Side_Q_BecomeTheWolf_Player_15_04,"Thanks, Alexei. I'll keep hunting. "
Side_Q_BecomeTheWolf_Nar_16,"(You receive '<color=#66FFCC>Credits</color>' and '<color=#66FFCC>Wolf's Paw: Foot</color>'.)"

#,When player has completed 40% of creature log
#,alexei sends craft materials and glove
Side_Q_BecomeTheWolf_AI_17,"Incoming communication from Alexei, {PlayerFullName}."
Side_Q_BecomeTheWolf_Player_18,Alexei... I got your message. 
Side_Q_BecomeTheWolf_Alexei_18,Glorious! My Omniscope just told me you've completed 40% of the creature log. Every kill brings you closer to your goal.
Side_Q_BecomeTheWolf_Player_18_01,"I hear you. It's wild down in the mine, and embracing the wolf is helping me survive."
Side_Q_BecomeTheWolf_Alexei_18_02,Keep making the creatures on Titan your prey. I'm putting a new piece of gear into your storage.
Side_Q_BecomeTheWolf_Player_18_03,Great! We'll talk again soon. 
Side_Q_BecomeTheWolf_Nar_19,"(You receive '<color=#66FFCC>Craft Materials</color>' and '<color=#66FFCC>Wolf's Paw: Hand</color>'.)"

#,When player has completed 60% of creature log
#,alexei sends credits and armor
Side_Q_BecomeTheWolf_AI_20,"Incoming communication from Alexei, {PlayerFullName}."
Side_Q_BecomeTheWolf_Alexei_21,"Wolf, you have almost proved yourself as Titan's true apex predator!"
Side_Q_BecomeTheWolf_Player_21_01,"I'm trying... still a ways to go, though. "
Side_Q_BecomeTheWolf_Alexei_21_02,You'll be there soon enough. You're already 60% of the way there.
Side_Q_BecomeTheWolf_Alexei_21_03,"That means the remaining beasts are sure to be difficult, so I'm sending you another piece of gear. This time, it's armor fit for a wolf."
Side_Q_BecomeTheWolf_Player_21_01,"Thank you for having my back, Alexei. I'll wear it with pride. "
Side_Q_BecomeTheWolf_Nar_22,"(You receive '<color=#66FFCC>Credits</color>' and '<color=#66FFCC>Wolf's Pelt</color>'.)"

#,When player has completed 80% of creature log
#,alexei sends craft materials and headgear
Side_Q_BecomeTheWolf_AI_22_01,"Incoming communication from Alexei, {PlayerFullName}."
Side_Q_BecomeTheWolf_Alexei_22_02,"Do you feel your wild spirit taking over, Wolf?"
Side_Q_BecomeTheWolf_Player_22_03,"With every new kill... yes, I do. "
Side_Q_BecomeTheWolf_Alexei_22_04,We are almost there. I'm sending you the perfect hunter's headgear to push you over the edge. 
Side_Q_BecomeTheWolf_Alexei_22_05,See with the eyes of a wolf. Hear with the ears of the wolf. 
Side_Q_BecomeTheWolf_Player_22_06,"Live like the wolf, howl like the wolf."
Side_Q_BecomeTheWolf_Alexei_22_07,"You said it, brother. See you on the other side. "
Side_Q_BecomeTheWolf_Nar_22_03,"(You receive '<color=#66FFCC>Craft Materials</color>' and '<color=#66FFCC>Wolf's Halo</color>'.)"

#,-----------------------

#,When player has completed 100% of creature log. But this time player needs to go and see Alexei.
Side_Q_BecomeTheWolf_AI_23,"Incoming message from Alexei, {PlayerFullName}."
Side_Q_BecomeTheWolf_Alexei_24,"You have completed the creature log, Wolf! Come to me for your final gift.\n-Alexei Bogomolov-"

#,When player speaks to Alexei after completing creature log
#,"Alexei gives player the Wolf's Fang, the final piece of wolf gear. Each piece of wolf gear should be good individually, but has boosted strength when when worn at the same time as the other wolf pieces. "
Side_Q_BecomeTheWolf_Player_25_S01,"( Talk about the codex. )"
Side_Q_BecomeTheWolf_Alexei_25,"The spirit inside has served you well, Wolf. The completion of your creature log is something to be celebrated."
Side_Q_BecomeTheWolf_Player_26,"Thank you for walking with me on this path, Alexei. I finally feel like the wolf."
Side_Q_BecomeTheWolf_Alexei_27,"And now that every creature has reason to fear you, I feel you are deserving of a weapon that displays your wolf spirit to future challengers. "
Side_Q_BecomeTheWolf_Alexei_28,"Take this, the Wolf's Fang. You have earned it, and it will sharpen your fangs even further. "
Side_Q_BecomeTheWolf_Player_29,"I'll take good care of it, Alexei. Thank you."
Side_Q_BecomeTheWolf_Alexei_30,One for the road?
Side_Q_BecomeTheWolf_Player_31,Of course. Let's do it!
Side_Q_BecomeTheWolf_Player&Alexei_32,*Oooooooooooooooowhoo*
