Language,Default

#,Document Outline: Side Quest Dialogue Text

#,Quest NPC: Dalton Wells
#,Quest Name: Bringing Justice 
#,Key_Fix: Side_Q_BringingJustice

#,"This SQ triggers only after completing Missing Shipments, Ancestry, and Sneaking In. "
#,"Once complete, player discusses next steps with Cassini"
Side_Q_BringingJustice_AI_01,"{PlayerFullName}, I believe we now have enough evidence connected to Tau to bring to security's attention."
Side_Q_BringingJustice_Player_02,That guy is always up to something. I just hope security believes us.
Side_Q_BringingJustice_AI_03,"Dalton Wells is the guard responsible for these types of claims, and he takes his job seriously. We should speak with him soon."
Side_Q_BringingJustice_Player_04,I'll head there as soon as possible.

#,When player speaks with Dalton
Side_Q_BringingJustice_Player_05,"Dalton, I want to report a crime against the camp, committed by Tau."
Side_Q_BringingJustice_Dalton_06,Wait... not here. Let's go to my desk. 
Side_Q_BringingJustice_Nar_07,"(You follow Dalton to his desk, where you can be sure no one is eavesdropping.)"

#,Fade out and then fade back in at Security. Dalton is behind a desk awaiting the player to present evidence. 
#,"After talking about Missing Shipments, which is pretty straightforward, dialogue goes in 4 ways: 1) player has no more evidence and is asked to get more (mission is left incomplete), 2) player search Tau's desk for documents, found safe in his office, and inspected Rodrigo's body (best outcome), 3) player cracked safe but doesn't have desk documents, and is asked to get more (mission left incomplete), 4) cracked safe, no docs, inspected Rodrigo's body (partial success outcome)"
Side_Q_BringingJustice_Dalton_08,Now... these are serious allegations. Tau is a camp leader and he holds considerable power. 
Side_Q_BringingJustice_Dalton_09,"This also isn't the first time someone has tried to report him. Tau is good at getting out of trouble, so all our ducks need to be in a row if we make a move on him."
Side_Q_BringingJustice_Dalton_10,"So, what do you have?"
Side_Q_BringingJustice_Player_11,"I've personally seen sketchy activity around Camp, and I don't believe it's all unrelated. "
Side_Q_BringingJustice_Player_12,The first was with the missing shipments from the Supply Depot. 
Side_Q_BringingJustice_Dalton_13,"Katerina mentioned crates that went missing, but also that you found them. Good job there."
Side_Q_BringingJustice_Dalton_14,"I talked her into turning over an inventory report with dates, times, and locations, but it's not enough without a link to Tau. "
Side_Q_BringingJustice_Player_15,Those crates were hidden too well. Only someone with access to every level and a strong familiarity with the camp could have been behind it. 
Side_Q_BringingJustice_Dalton_16,"Tau has both of those things, but we need more. What else do you have?"

#,If player did not retrieve a ledger from Tau's office in Sneaking In or inspect Rodrigo's body in Ancestry
#,"Getting back into Tau's office is impossible after Sneaking In, but the player can still go back to inspect Rodrigo's body if they didn't the firstfirst time. If they don't, this quest is dead in the water. "
Side_Q_BringingJustice_Player_17,"That's it. Tau is bad news, though, I just know it. "
Side_Q_BringingJustice_Dalton_18,"I know it too, but he's gotten away with it too many times... "
Side_Q_BringingJustice_Dalton_19,"I can't build a case with this evidence. If you find more, let me know, but my hands are tied."
Side_Q_BringingJustice_Player_20,I understand... maybe there's more to the story. 

#,Dalton dialogue If player is still looking for more info
#,Replaces Basic_Dalton until player finds more info
Side_Q_BringingJustice_Dalton_21_01,"About Tau..."
Side_Q_BringingJustice_Dalton_21,Did you get more dirt on Tau?

#,Player found 'Tau's Secret Ledger' in Sneaking In
#,"This means the player didn't search Tau's desk, so the evidence is missing key information. There's not enough to arrest Tau from this. "
#,Player must have also found Rodrigo during Ancestry to arrest Tau. 
Side_Q_BringingJustice_Player_22_01,I found this ledger in Tau's safe.
Side_Q_BringingJustice_Player_22,I found this ledger in Tau's safe. It's proof that funds were stolen from camp. What if we cross reference Katerina's inventory report with these transaction dates?
Side_Q_BringingJustice_Dalton_23,"I'm going to ignore the fact that you just admitted to breaking into Tau's office. In honesty, though, we're missing a connecting thread. We need records that might link items from the missing crates to this ledger. "
Side_Q_BringingJustice_Dalton_24,We're getting closer though. Do we have anything else?

#,Player found 'Stolen Credits Ledger' in Sneaking In
#,"This means that the player searched the desk in Tau's office, finding the documents that connect the ledger to the missing crates."
#,The player can move directly to arrest Tau... or can share more information about Rodrigo for bonus XP.
Side_Q_BringingJustice_Player_25_01,"In Tau's office, I found this ledger along with these documents."
Side_Q_BringingJustice_Player_25,"In Tau's office, I found this ledger along with these documents. Together with Katerina's records, we might be able to connect Tau to the stolen credits. "
Side_Q_BringingJustice_Dalton_26,I'm going to ignore that you broke into Tau's office... Let me run these through the system to see what we find. 
Side_Q_BringingJustice_Nar_27,(Dalton scans Tau's documents and scans the ledger into his system. Results come back quickly.)
Side_Q_BringingJustice_Dalton_28,"I think you've done it. Clear transaction dates, items sold, credits skimmed off the top for months. This is definitely enough to arrest Tau on embezzlement charges. "

#,"Sharing Stolen credits Ledger is enough to arrest Tau. If player inspected Rodrigo's body, they get a choice below to either move on Tau now or share Rodrigo information. If player shares Rodrigo info, they have to wait to move on Tau until the body is retrieved (more below)"
#,"If player chooses to arrest Tau now, jump to arrest scene. "
#,"If player chooses to share Rodrigo info, move to Rodrigo dialogue"
Side_Q_BringingJustice_Dalton_29,Do we have anything else to strengthen our case?
Side_Q_JumptheGun_S01,Let's arrest Tau now!
Side_Q_JumptheGun_S02,Rodrigo's Body...

#,Player shares info about Rodrigo Montez's body found in Ancestry. 
#,"If Droning On hasn't become available yet through normal play, it is becomes available after this scene automatically."
Side_Q_BringingJustice_Player_30,"When I was down in the mine, I also found the body of a miner named Rodrigo Montez. He died from a shot in the back, and it looked like someone tried to hide his body."
Side_Q_BringingJustice_Player_31,"Cassini scanned the wound and said it was from a weapon only a miner would have, but Alexei said the miners are like a family. The only person any of the miners have an issue with is Tau. "
Side_Q_BringingJustice_Dalton_32,"That alone wouldn't be enough, but..."
Side_Q_BringingJustice_Player_33,You know more?
Side_Q_BringingJustice_Dalton_34,"I knew Rodrigo, and he came to talk to me shortly before he disappeared. He suspected Tau was a criminal and was trying to gather evidence to prove it. If what you say is true, then Tau might have killed him to keep his activities secret. That bastard!"
Side_Q_BringingJustice_Player_35,What can we do to pin this on him?
Side_Q_BringingJustice_Dalton_36,"I need you to go back to Rodrigo's body and extract his Omniscope, since it should have recorded his last moments. That could prove it was Tau, and we'd be able to arrest him on charges that would stick. "
Side_Q_BringingJustice_Player_37,"I remember where it was, so I can get there and back pretty quickly."
Side_Q_BringingJustice_Dalton_38,"Good. Take this extraction tool. It's not suggested to use this on someone living, but we don't have that problem right now. I'll await your return. "
Side_Q_BringingJustice_Nar_39,"(You receive '<color=#66FFCC>Omniscope Extraction Tool</color>'.)"

#,Player returns to Rodrigo's body and interacts with it
Side_Q_BringingJustice_Player_40_S01,Extract Rodrigo's Omniscope
Side_Q_BringingJustice_Player_40,"Poor Rodrigo. He was trying to do the right thing, and he paid a horrible price. *sigh* Let's do this quickly. "
