Language,Default

#,Document Outline: Side Quest Dialogue Text

#,Quest NPC: Idrissi Nouri
#,Quest Name: Maintenance
#,Key_Fix: Side_Q_Maintenance

#,"Idrissi asks Player to scan maintenance panels around camp and produce any parts necessary to repair them. After repair, it's easier to get work down. "
#,"The parts needed to repair should be general, not super specialized. The player still has to produce them, but the blueprints should be generally available. "
#,"Note 1: For some reason, Idrissi is the one NPC that I don't see wandering around camp all the time. He's more than happy to spend all day, everyday in the garage. That's where is work is, that's where Cyrus needs. Little else for him on Titan really."
#,"Note 2: Also, I've imagined Idrissi's English not being that great, so whenever I write his speech is broken and technically grammatically correct. So what you read below aren't mistakes."

#,Player gets message to start quest
Side_Q_Maintenance_AI_01,"Incoming message from Idrissi, {PlayerFullName}."
Side_Q_Maintenance_Idrissi_02,"Have work for you. Come see, Idrissi.\n-Idrissi Nouri-"

#,When player speaks to Idrissi
Side_Q_Maintenance_Player_03,"Hi, Idrissi, you have some work for me?"
Side_Q_Maintenance_Idrissi_04,Yes. You take datapad and run maintenance on panels.
Side_Q_Maintenance_Player_05,Okay... what kind of maintenance are we talking about?
Side_Q_Maintenance_Idrissi_06,"Maintenance to fix camp problem. Sync datapad to maintenance panel, then fix what need fix."
Side_Q_Maintenance_Idrissi_07,"Take, take."
Side_Q_Maintenance_Nar_08,"(You receive '<color=#66FFCC>Maintenance Datapad</color>'.)"
Side_Q_Maintenance_Idrissi_09,"Once all panel check, you give datapad back to Idrissi. Then Idrissi pay you."
Side_Q_Maintenance_Player_10,Will do! Thanks for the opport-
Side_Q_Maintenance_Idrissi_11,You go now. I have work. 
Side_Q_Maintenance_Player_12,I'll be off then.
Side_Q_Maintenance_AI_13,"{PlayerFullName}, every area of Camp Huygen has a maintenance panel. We should explore to find them all."

#,When player speaks with Idrissi before completing quest
#,Replaces Basic_Idrissi until end of quest
Side_Q_Maintenance_Idrissi_14,Did you check all panel?

#,"When player interacts with Hanger Panel, with Idrissi there."
#,"No XP for this one, cause Idrissi already checked it. Haha!"
Side_Q_Maintenance_AI_15,Running Maintenance Panel diagnostics...
Side_Q_Maintenance_Nar_16,(...)
Side_Q_Maintenance_AI_17,No issues. We can move on to the next panel. 
Side_Q_Maintenance_Idrissi_18,Idrissi already check that one. Go check others!

#,"When player interacts with Panel at Power Plant, Hydroponics, Clinic, Pub, Supply Depot, Mine Operations, and Residential."
#,"Nothing is wrong in these locations, but player gets small amount of XP for each one. "
Side_Q_Maintenance_AI_19,Running Maintenance Panel diagnostics...
Side_Q_Maintenance_Nar_20,(...)
Side_Q_Maintenance_AI_21,No issues. We can move on to the next panel. 

#,When player interacts with Water Facility Maintenance Panel
#,Player receives XP after producing part and fixing issue
Side_Q_Maintenance_AI_22,Running maintenance panel diagnostics...
Side_Q_Maintenance_Nar_23,(...)
Side_Q_Maintenance_AI_24,Issue detected. The oil separator needs a replacement nozzle.
Side_Q_Maintenance_AI_25,I have downloaded plans for a new nozzle for you to produce. 

#,When player interacts with Engineering Maintenance Panel
#,Player receives XP after producing part and fixing issue
Side_Q_Maintenance_AI_26,Running maintenance panel diagnostics...
Side_Q_Maintenance_Nar_27,(...)
Side_Q_Maintenance_AI_28,Issue detected. The lathe machine is in need of lubrication. 
Side_Q_Maintenance_AI_29,I have downloaded plans for producing an oil canister. 

#,When player interacts with Security Maintenance Panel
#,Player receives XP after producing part and fixing issue
Side_Q_Maintenance_AI_30,Running maintenance panel diagnostics...
Side_Q_Maintenance_Nar_31,(...)
Side_Q_Maintenance_AI_32,Issue detected. Security camera #7 has a faulty wire in need of replacement.
Side_Q_Maintenance_AI_33,I have downloaded plans for a new wire for you to produce. 

#,"The player interact with maintenance panel after making new part for Water Facility, Engineering, and Security Panels. "
#,This denotes that the problem has been fixed and XP should be earned. 
Side_Q_Maintenance_AI_34,The new part is now integrated into the system. We can move on to the next panel.

#,After player has visited all panels and solved all issues
Side_Q_Maintenance_AI_35,"Oh, that was actually the last maintenance panel. We can return to Idrissi now."

#,"Looks like there was missing texts for the ones that actually shows when player returns to Idrissi for the reward."
#,When player returns to Idrissi
#,"36_00 텍스트 작업 필요함."
Side_Q_Maintenance_Player_36_00,"I'm back, I think I have finished running all maintenance."
Side_Q_Maintenance_Idrissi_36,You done?
Side_Q_Maintenance_Player_37,"Yes, I-"
Side_Q_Maintenance_Idrissi_38,Hand me the datapad.
Side_Q_Maintenance_Player_39,Here you go.
Side_Q_Maintenance_Idrissi_40,You did good. Here is payment.
Side_Q_Maintenance_Nar_41,"(You receive '<color=#66FFCC>Credits</color>'.)"
Side_Q_Maintenance_Player_42,"Nice talking to you, Idrissi."
Side_Q_Maintenance_Idrissi_43,Mmhmmm.

Side_Q_MainTenance_S_Fix_Panel,(Ready to fix this panel?)

Side_Q_MainTenance_Inven_DataPad_AI_01,(You must have the '<color=#66FFCC>Maintenance Datapad</color>' in your inventory to run diagnostics.)
