Language,Default

#,Document Outline: Side Quest Dialogue Text

#,Quest NPC: Nina Zherdev
#,Quest Name: A Night to Remember 
#,Key_Fix: Side_Q_NightToRemember

#,"Being raised so masculine, Nina just wants to be treated like a woman for once. Phase 1: player interviews Dalton, Alexei, & Fang (all 3 are good choices. Phase 2: player chooses one of the 3 or themselves to take Nina out. Phase 3: plan date or go on date."
#,"How the date goes is determined by dialogue choices during date (likes, dislikes, hobbies, romance, etc.) or by suggestions given to NPC before date (type of date, time of date, location of date, etc.). "
#,Chooses Alexei = Player receives plans for Blade Sharpener = consumable for close weapons that adds DoT bleeding effect to organic enemies for the next X attacks. 
#,Chooses Fang = Player receives plans for Electric Ammo = consumable for any weapon that adds DoT electric effect to enemies for the next X attacks. (Double for non-organic targets)
#,"Chooses Dalton or if Player chooses self, but not GF option = Player receives plans for Flame Ammo = consumable for ranged weapons that added DoT Burn effect to any target for the next X attacks. "
#,"Player chooses themself and GF option = Player receives Lover's Armor = when worn, player heals back 10% of damage dealt to enemies"

#,Player receives message to start quest
Side_Q_NightToRemember_AI_01,"Incoming message from Nina, {PlayerFullName}."
Side_Q_NightToRemember_Nina_02,"We don't really know each other, but I need to talk to someone. Can that someone be you?\n-Nina Zherdev-"

#,Player speaks to Nina
Side_Q_NightToRemember_Player_03,"Hi, Nina. I was surprised to get a message... from you of all people. "
Side_Q_NightToRemember_Nina_04,"I was surprised to send it, to be honest. There just isn't anyone else who might understand where I'm coming from. "
Side_Q_NightToRemember_Nina_05,"Maybe you won't either, but you're an unknown element in camp, so I'm taking a shot. "
Side_Q_NightToRemember_Player_06,"Well, I'm here to listen. What's going on?"
Side_Q_NightToRemember_Nar_07,(Nina puts her rifle down and leans against the wall. Her usual gruff exterior softens as she speaks.)
Side_Q_NightToRemember_Nina_08,"You know, I was destined to end up here. Not on Titan specifically, but I knew I'd end up working security somewhere, pushed to fight and shoot and hunt. My dad did this to me. I mean, he basically raised me as a boy. "
Side_Q_NightToRemember_Nina_09,"Hanging out in Camp Huygen without contact with HQ or anyone on Earth, I've been staying quiet and listening to everyone talk. Most of the people here are orphans, they lost someone or they're running away from something. "
Side_Q_NightToRemember_Nina_10,"That applies to me too. I'm here running away from the idea of what my father wanted me to be... but here I am, exactly that person. "
Side_Q_NightToRemember_Nar_11,"(A heavy silence lingers over the conversation. You're unsure exactly what to say or whether you should say anything at all. A lone tear falls from Nina's eye, but she wipes it away quickly.)"
Side_Q_NightToRemember_Player_12,These are some serious emotions you're dealing with. I'm sorry you felt the need to do it alone. 
Side_Q_NightToRemember_Nina_13,"You're right, and that's the kicker. I am alone. All my childhood friends grew up, married their perfect partner, had kids, and lived the dream. "

#,Player dialogue choice
#,Q1_S02 necessary for player to pick themselves to date Nina 
Side_Q_NightToRemember_Nina_14,Can you believe I've never even been on a date?
Side_Q_NightToRemember_Q1_S01,"You do put up walls, emotional walls. "
Side_Q_NightToRemember_Q1_S02,"With your looks? Yes, I'm very surprised. "

#,Player picks S01
Side_Q_NightToRemember_Q1_S01_Nina_01,"Can you blame me? I never really learned how to interact with people. Instead, I was taught to size up an opponent and look for weak points. That kind of thing doesn't lead to sustainable relationships. "

#,Player picks S02
Side_Q_NightToRemember_Q1_S02_Nina_01,"Really? Most people can't see past the armor. I work hard to stay fit, though. Not that I'm trying to be attractive for anyone but myself. "

#,Continues conversation
Side_Q_NightToRemember_Nina_15,"You know what I wish, though? I wish I would receive a mysterious hand-written note from a secret admirer inviting me to a candlelit dinner. My admirer would give me a single red rose and a kiss on the cheek, and we'd dance the night away. "

#,Player dialogue choice
#,Q2_S01 necessary for player to pick themselves to date Nina 
Side_Q_NightToRemember_Nina_16,"Sounds like 10-year-old, girly girl nonsense, huh?"
Side_Q_NightToRemember_Q2_S01,Not at all. I think you'll have that one day.
Side_Q_NightToRemember_Q2_S02,I doubt something like that could happen on Titan. 

#,Player picks S01
Side_Q_NightToRemember_Q2_S01_Nina_01,Thank you. Sometimes I just feel so silly dreaming about romance in-between tactics training.

#,Player picks S02
Side_Q_NightToRemember_Q2_S02_Nina_01,"Don't remind me. At this rate, this'll be our final resting place, and I'll die before ever having a real kiss. And that's just depressing. "

#,Continues conversation
Side_Q_NightToRemember_Player_17,What if I could make it happen for you?
Side_Q_NightToRemember_Nina_18,Make what happen? What are you talking about?
Side_Q_NightToRemember_Player_19,"I'm going to give you a night to remember, something romantic with someone who could be your possible soulmate."
Side_Q_NightToRemember_Nina_20,A soulmate? In Camp Huygen?
Side_Q_NightToRemember_Player_21,"I've heard you've been turning heads around camp, yeah. Let me make the arrangements. I'll do everything! All you have to do is await a hand-written letter. "
Side_Q_NightToRemember_Nina_22,A letter from who?
Side_Q_NightToRemember_Player_23,Didn't you say you wanted a 'secret' admirer? 
Side_Q_NightToRemember_Nar_24,"(Nina's eyes start to tear up, but she grabs her rifle and toughens up again.)"
Side_Q_NightToRemember_Nina_25,The fact that you'd do this for me without even knowing me... I just don't know what to say. 
Side_Q_NightToRemember_Player_26,"No need to thank me yet. If this works, though, just name your first kid after me. *haha*"
Side_Q_NightToRemember_Nina_27,*haha* I guess we'll see. I'll leave it in your hands. 
Side_Q_NightToRemember_Player_28,"I'll see you later, Nina. "

#,After player walks away from Nina X steps
Side_Q_NightToRemember_AI_29,"{PlayerFullName}, you told Nina you know people who might be interested in her. Who did you have in mind?"
Side_Q_NightToRemember_Player_30,"No one! I literally just said whatever I could to try to make her feel better. I hate seeing people cry. Any thoughts, Cassini?"
Side_Q_NightToRemember_AI_31,Would you like me to cross-reference personnel records for potential matches?
Side_Q_NightToRemember_Player_32,Yes! That's at least a place to start. 
Side_Q_NightToRemember_Nar_33,(...)
Side_Q_NightToRemember_AI_34,"From my findings, I believe there are three potential matches for Nina."
Side_Q_NightToRemember_AI_35,"Fang at the power plant, Alexei in mine operations, and Dalton, who works security with Nina. "
Side_Q_NightToRemember_Player_36,Let's interview each of them to see who could be her best match.
Side_Q_NightToRemember_AI_37,I'll help analyze their answers to let you know where Nina's potential suitors match up. 
Side_Q_NightToRemember_Player_38,Okay! Let's get to work. 

#,Player speaks with Nina after quest begins
#,Replaces Basic_Nina until end of quest
Side_Q_NightToRemember_Nina_39,I can't wait to see what you have planned. 

#,————————————————————————————
#,Player speaks with Dalton
Side_Q_NightToRemember_Player_40_01,Ask about date with Nina
Side_Q_NightToRemember_Player_40,Hey Dalton! How's it going today?
Side_Q_NightToRemember_Dalton_41,Just a normal day for me. You?
Side_Q_NightToRemember_Player_42,I'm actually thinking of setting you up with a friend of mine. Is that something that interests you?
