Language,Default

#,Document Outline: Side Quest Dialogue Text

#,Quest NPC: Temir Umarov
#,Quest Name: Sinking Feeling 
#,Key_Fix: Side_Q_SinkingFeeling

#,Asks player to collect materials so he can create thermodynamic heatsinks to impress Litzi. Player has to get a heat sink for final tests. They can ask for it or steal it. 

#,Player gets message to start quest
Side_Q_SinkingFeeling_AI_01,"Incoming message from Temir, {PlayerFullName}."
Side_Q_SinkingFeeling_Temir_02,I'd like to speak with you about a personal project that might also interest you. Come see me please.\n-Temir Umarov

#,Player speaks to Temir
Side_Q_SinkingFeeling_Player_03,"Hey, Temir! Tell me more about your personal project. "
Side_Q_SinkingFeeling_Temir_04,"I have a question for you first, if you don't mind... Has Litzi ever mentioned me?"
Side_Q_SinkingFeeling_Player_05,"Not by name, no. Is she involved with your project?"
Side_Q_SinkingFeeling_Temir_06,"Directly? No, but I'm hoping to use it to impress her and get a position on her team. "
Side_Q_SinkingFeeling_Player_07,She's already got two apprentices. I don't know if she's looking right now. 
Side_Q_SinkingFeeling_Temir_08,"I don't want to knock anyone else out of their spot, but I haven't worked in weeks and Litzi would be my top choice for boss. Better than Tau, that's for sure. "
Side_Q_SinkingFeeling_Player_09,"That's a low bar, Temir. *haha* Maybe I can help, though. What's your project? "
Side_Q_SinkingFeeling_Temir_10,"Well, you know I'm big into thermodynamics. I've been working on advanced heat sink tech that could extend the life of almost any machine. It's unorthodox, but I believe my theory is sound. I just need a few more tests and for you to get me one of the power plant's current heat sinks. "
Side_Q_SinkingFeeling_Player_11,Me? Why not just ask for one?
Side_Q_SinkingFeeling_Temir_12,"It might not look like it, but the power plant is a pretty restricted area. If you don't have official business there, Litzi is quick to turn you away, and most of the doors are locked out of necessity. I have no leverage there, so a heat sink isn't something I could just ask for."
Side_Q_SinkingFeeling_Temir_13,"...But you could, since you already have a connection with the team. I wouldn't need the heat sink long, either. Just long enough to run some tests."
Side_Q_SinkingFeeling_Player_14,"Okay, I'll see what I can do. "

#,Player speaks to Temir before getting heat sink
#,Replaces Basic_Temir until end of quest
Side_Q_SinkingFeeling_Temir_15,I can't wait to get my hands on that heat sink. 

#,When player gets close to Power Plant
#,"Scene should be Player, Litzi, Fang, and Odette, because the whole team makes the decision."
Side_Q_SinkingFeeling_AI_16,"It is possible that Temir has overestimated your connection to Litzi and her team. Simply asking for the heat sink might work, but we should also consider alternative options in case it is not sufficient. "
Side_Q_SinkingFeeling_Player_17,"Are you suggesting we steal a heat sink, Cassini? "
Side_Q_SinkingFeeling_AI_18,"That would certainly be an option, yes, but the choice is yours to make. "

#,Player interacts with Litzi
Side_Q_SinkingFeeling_Litzi_19,"Oh, hey, {PlayerFullName}. What can I do for you?"
Side_Q_SinkingFeeling_Ask_S01,I wanted to ask you about heat sinks?
Side_Q_SinkingFeeling_Ask_S02,Just saying hi. Nice to see you!

#,"Player asks Litzi for heat sink, and has completed Odette's and Fang's quests. Litzi automatically says yes. Her team trusts the player. "
#,Item Litzi gives here is called Tempered Glove. This could just be a throwaway item or we could make it cool piece of gear that reduces damage from energy weapons or maybe it regulate the player's temperature? Maybe it could be an extra item player gets since they took their time and completed the other two missions already. 
Side_Q_SinkingFeeling_Ask_S01_Litzi_01,"What about heat sinks? We have a ton of them all over here. They disperse excess heat generated by the plant, and I wish we had more of them.  "
Side_Q_SinkingFeeling_Ask_S01_Player_02,"Well, specifically, I was wondering if it's possible to borrow one. I'd bring it right back, but I wanted to run some tests on one. "
Side_Q_SinkingFeeling_Ask_S01_Litzi_03,"Borrow a heat sink? We need the few heat sinks we have working at max capacity just to keep this power plant going. My instinct would be to say no, but we are a team here, so let me ask the others. "
Side_Q_SinkingFeeling_Ask_S01_Litzi_04,"Odette, what do you think?"
Side_Q_SinkingFeeling_Ask_S01_Odette_05,"{PlayerFullName}'s a team player. As long as we get it back by the end of the day, we should be fine to give up one heat sink. Fang?"
Side_Q_SinkingFeeling_Ask_S01_Fang_06,I'm with Odette. The dampeners {PlayerFullName} and I installed underground gives us plenty of leeway in production. We can easily adjust the system to compensate for one fewer heat sink. 
Side_Q_SinkingFeeling_Ask_S01_Litzi_07,"Okay, you convinced me. Take these gloves, and wear them while you take one of the heat sinks. Bring it back as soon as possible, though. "
Side_Q_SinkingFeeling_Ask_S01_Player_08,"Thanks, Litzi. I'll be fast. "
Side_Q_SinkingFeeling_Ask_S01_Odette_09,I've unlocked the heat sink room door for you. You should be able to just walk in. 
Side_Q_SinkingFeeling_Ask_S01_Nar_10,"(You receive '<color=#66FFCC>Tempered Glove</color>'.)"

#,"Player interacts with heat sinks with Tempered Glove on, they get heat sink and get to keep gloves. "
Side_Q_SinkingFeeling_Ask_S01_Nar_11,"(You approach a wall of heat sinks, glowing red from the mass amounts of absorbed heat, and carefully remove one sector of the heat sink. It fits nicely in your bag after you wait a moment for it to cool down.)"
Side_Q_SinkingFeeling_Ask_S01_Nar_12,"(You receive '<color=#66FFCC>Heat Sink</color>'.)"

#,"Player asks Litzi for heat sink, and has completed Odette's quest, but not Fang's. Litzi says yes, but it is hesitant and puts limitations on request"
#,"In this scenario, player does not get to keep the gloves. "
Side_Q_SinkingFeeling_Ask_S01_Litzi_13,"What about heat sinks? We have a ton of them all over here. They disperse excess heat generated by the plant, and I wish we had more of them.  "
Side_Q_SinkingFeeling_Ask_S01_Player_14,"Well, specifically, I was wondering if it's possible to borrow one. I'd bring it right back, but I wanted to run some tests on one. "
Side_Q_SinkingFeeling_Ask_S01_Litzi_15,"Borrow a heat sink? We need the few heat sinks we have working at max capacity just to keep this power plant going. My instinct would be to say no, but we are a team here, so let me ask the others. "
Side_Q_SinkingFeeling_Ask_S01_Litzi_16,"Odette, what do you think?"
Side_Q_SinkingFeeling_Ask_S01_Odette_17,"{PlayerFullName}'s a team player. As long as we get it back by the end of the day, we should be fine to give up one heat sink. Fang?"
Side_Q_SinkingFeeling_Ask_S01_Fang_18,"Might not be a good idea, since we're still getting energy fluctuations. If there's a spike and we're down a heat sink, that could be catastrophic. "
Side_Q_SinkingFeeling_Ask_S01_Litzi_19,"That is a good point, Fang. Hmmm... well, against my better judgement, I'm going to let you have one. Take these gloves, and wear them while you take one of the heat sinks. Bring it back as soon as possible, though. "
Side_Q_SinkingFeeling_Ask_S01_Player_20,"Thanks, Litzi. I'll be fast. "
Side_Q_SinkingFeeling_Ask_S01_Odette_21,I've unlocked the heat sink room door for you. You should be able to just walk in. 
Side_Q_SinkingFeeling_Ask_S01_Nar_22,"(You receive '<color=#66FFCC>Tempered Glove</color>'.)"

#,"Player interacts with heat sinks with Tempered Glove on. They get heat sink, but gloves are destroyed. "
