Language,Default

#,Document Outline: Side Quest Dialogue Text

#,Quest NPC: Wirat Saapchaengduagdao 
#,Quest Name: Guided Meditation 
#,Key_Fix: Side_Q_GuidedMetitation

#,"Wirat asks the Player to gather incense (from underground church) and candles (special item from Alp's store), then to participate in a guided meditation."
#,"The world gives you only what you tell it you want. then Wirat will ask a series of guiding questions and the player will give responses, each one tallying up a reward they'll receive at the end. "
#,"3 NPCs not represented here: Fang, Temir, Brett. We could add another question to include some more of these, add them to existing questions, or just leave them alone. Any thoughts are accepted. "

#,Player receives message to start quest
#,Guided Meditation is more of a victory lap of a quest and should only pop up once all other quests have been completed. Possible exception: Ursula's (who may or may not activate if you finish the game quickly) and Tau's (since that'll happen after you've already left Camp). 
Side_Q_GuidedMetitation_AI_01,"Incoming message from Wirat, {PlayerFullName}. "
Side_Q_GuidedMetitation_Wirat_02,"You've proven to be connected to almost every aspect of Camp Huygen, but when was the last time you took a moment to reflect. Visit me, and we can begin. \n-Wirat Saapchaengduagdao"

#,Player speaks with Wirat
Side_Q_GuidedMetitation_Player_03,"Hey, Wirat! What is all this about reflection?"
Side_Q_GuidedMetitation_Wirat_04,"Life is reflection. The strong live life, and the wise know why the strong live as they do. "
Side_Q_GuidedMetitation_Wirat_05,"In truth, the world gives you only what you tell it you want. When have you last reflected on the 'why' of your story?"
Side_Q_GuidedMetitation_Player_06,"I can't say I have, actually. Every day has been bouncing from task to task, danger to danger, and just barely surviving. "
Side_Q_GuidedMetitation_Wirat_07,Then I task you with performing a guided meditation with me. We need incense and candles to begin. 
Side_Q_GuidedMetitation_Wirat_08,Come find me when you are ready. 
Side_Q_GuidedMetitation_AI_09,"{PlayerFullName}, the camp has no Incense in its inventory, but the underground church on Level 10 of the mine may be a place to find some. "
Side_Q_GuidedMetitation_Player_10,And we can visit David's Emporium to purchase more candles too.
Side_Q_GuidedMetitation_AI_11,"It appears we have a plan, then. "

#,After getting the candle fro David's Emporium
Side_Q_GuidedMetitation_Player_12,Looks like David had more candles. 
Side_Q_GuidedMetitation_AI_13,Quite lucky. 

#,After getting incense from underground church
Side_Q_GuidedMetitation_AI_14,This incense can be used for meditation with Wirat. 
Side_Q_GuidedMetitation_Nar_15,"(You receive '<color=#66FFCC>Incense</color>'.)"

#,Returning to Wirat
Side_Q_GuidedMetitation_Player_16,I'm back with mediation supplies. 

#,Player choice
Side_Q_GuidedMetitation_Wirat_17,"Good, good. Are you ready to start?"
Side_Q_GuidedMetitation_Start_S01,Let's start our mediation. 
Side_Q_GuidedMetitation_Start_S02,Not yet. I'll be back. 

#,If player chooses to not start the meditation
Side_Q_GuidedMetitation_Start_S02_Wirat_01,"'The biggest mistake is you think you have time,' but I will be here. "

#,———————————————————————————
#,Player starts meditation by select Start_S01
#,"Guided meditation in composed of a series of questions, each one granting a reward based on player's response. It'd be cool if these specific bonuses carried over into a New Game+. "
#,Fade in on room with Wirat and player in meditation together or possibly illustrations them on either side of the screen with meditation words in center. Could be cool. 
Side_Q_GuidedMetitation_Wirat_18,Let us begin.
Side_Q_GuidedMetitation_Nar_19,"(The sage-scented incense invades your nostrils, while a combination of dim candles and soft music lull you into a calmed state.)"
Side_Q_GuidedMetitation_Wirat_20,"Return to your beginning. Your first breaths after leaving cryostasis, the first things to hit your senses, the first voices you heard. "

#,Question 1
Side_Q_GuidedMetitation_Wirat_21,Tell me the most important person to you when you awoke?

Side_Q_GuidedMetitation_Q1_S01,Ida
Side_Q_GuidedMetitation_Q1_S02,Alp
Side_Q_GuidedMetitation_Q1_S03,Mr. Lao
Side_Q_GuidedMetitation_Q1_S04,Isko

Side_Q_GuidedMetitation_Q1_S01_Player_01,"Ida, 100%. She was responsible for me being here, and has taken care of me whenever I needed. "
Side_Q_GuidedMetitation_Q1_S02_Player_01,"It was Alp who gave me my first meal. Sure I had to slice up some rats, but I returned to him again and again for a reason."
Side_Q_GuidedMetitation_Q1_S03_Player_01,"It was Mr. Lao who gave me a bed, the first real place I found a quiet. I'll always be grateful for that. "
Side_Q_GuidedMetitation_Q1_S04_Player_01,"When I first awoke, Isko was the first smile I saw. He invited me into the world as a friend, and not a lab rat. "

Side_Q_GuidedMetitation_Q1_S0104_Nar_02,(Your acknowledgment of gratitude can't be ignored by the universe.)

Side_Q_GuidedMetitation_Wirat_22,"Only through wisdom can we see those who directly contribute to your wellbeing, but also to those who work outside of our view. "
Side_Q_GuidedMetitation_Wirat_23,"Every person within Camp Huygen serves a purpose, each one of them connected to you and I through our spirits and actions. "

#,Question 2
Side_Q_GuidedMetitation_Wirat_24,Tell me the name of someone in camp you believe affected you indirectly. 

Side_Q_GuidedMetitation_Q2_S01,Grace
Side_Q_GuidedMetitation_Q2_S02,Martin
Side_Q_GuidedMetitation_Q2_S03,Katerina
Side_Q_GuidedMetitation_Q2_S04,Dalton

Side_Q_GuidedMetitation_Q2_S01_Player_01,"Without Grace, I would have never discovered more about my past, and of TECC's past. I'm happy I was able to bring closure for her as well. "
Side_Q_GuidedMetitation_Q2_S02_Player_01,Martin pushed me to adventure and go further into the mines. I want to have just as interesting stories one day. 
Side_Q_GuidedMetitation_Q2_S03_Player_01,"I feel Katerina has taught me that you can appear one way but be another. She comes off as cold, but she's been helpful every step of the way. "
Side_Q_GuidedMetitation_Q2_S04_Player_01,"Dalton is a force of justice. Even before I brought the evidence on Tau to him, he kept an eye on the people of Camp Huygen, which is sorely needed. "

Side_Q_GuidedMetitation_Q2_S0104_Nar_02,(The universe has connected you to others you don't even realize.)

Side_Q_GuidedMetitation_Wirat_25,"Together with the known and unknown, human beings create beauty in this world. "
Side_Q_GuidedMetitation_Wirat_26,"And while outward beauty is in the eye of the beholder, there is also a universal beauty contained in every movement the world makes. "

#,Question 3
#,"Note: Freyja should default as spot S01, but can be swapped out with Nina is she is player GF. "
#,Octavio is grayed out if he hates player at the end of Passing Notes
Side_Q_GuidedMetitation_Wirat_27,"When you think of beauty, what name comes to mind?"
Side_Q_GuidedMetitation_Q3_S01,Freyja
Side_Q_GuidedMetitation_Q3_S02,Octavio
Side_Q_GuidedMetitation_Q3_S03,Rana
Side_Q_GuidedMetitation_Q3_S04,Pierre

Side_Q_GuidedMetitation_Q3_S01_Player_01,"Freyja was obsessed with seeing the beauty in things, and it helped to open my own eyes to the world too. "
Side_Q_GuidedMetitation_Q3_S02_Player_01,"Octavio's outlook on life and seeking pleasure is a thing of beauty, one I wish I could pursue myself. He sure can dance as well. "
Side_Q_GuidedMetitation_Q3_S03_Player_01,"Not only is Rana attractive on the outside, but her compassion for others in the camp and relationships with Seoyeon were the essence of beauty in my eyes. "
