Language,Default
Trade,[Торговать] Что у тебя в наличие?
Leave_Text,(Уйти.)
Confirm_Text,(Принять)
Continue_Text,(Продолжить.)

#,Ft_Alexei=First Talk
Ft_Alexei_Alexei_01,"Ты новенький, не так ли? Я Алексей, один из шахтёров. Not much mining going on lately, though. Do you need something?"
#,Basic_Alexei=Before Act01_MQ_11
Basic_Alexei_Alexei_02,Старый друг лучше новых двух.
Basic_Alexei_Player_03,Ааа?
Basic_Alexei_Alexei_04,Я занят.
#,A11=After Act01_MQ_11
Basic_Alexei_05,"'Живи как волк, рычи как волк.' Помни это. "

#,Ft_Alp=First Talk
Ft_Alp_Alp_01,"Oh, a new face! My name is Alp Demir, owner of Alp's Pub."
Ft_Alp_Alp_02,Stop by and try the food. You won't be disappointed. 
#,Basic_Alp=Before Act01_MQ_06
Basic_Alp_01,Have you eaten? My food will remind you of home.  
#,A06_Alp=After Act01_MQ_06
Basic_Alp_02,Thanks for the mushrooms. Fill up now so you're not exploring on an empty stomach. 

#,Ft_Brett=First Talk
Ft_Brett_Brett_01,Hey there… have I seen you before?
Ft_Brett_Player_02,"I don't think so. I'm {PlayerFullName}, and I'm new around here. "
Ft_Brett_Brett_03,"Well, I'm Brett Cassidy. I joined this little venture to be the first to spelunk unexplored caves on Titan. Instead, I'm stuck being a guard since the mine closed. "
Ft_Brett_Brett_04,"Speaking of which, I have to run. It's been a pleasure. "
#,Basic_Brett=After Ft
Basic_Brett_Brett_01,Sorry. Can't get caught slacking.

#,Ft_Claudia=First Talk
Ft_Claudia_Claudia_01,If it isn't Ida's experiment. 
Ft_Claudia_Player_02,You know me?
Ft_Claudia_Claudia_03,"I'm Claudia, head of security. The guards are the last actual TECC employees on Titan. Everyone else is here on contract. So, yeah, nothing happens around here without me knowing it."
Ft_Claudia_Player_04,Any tips on surviving in camp?
Ft_Claudia_Claudia_05,"Steer clear of me and mine, keep your nose clean, and we won't have problems. "
#,Basic_Claudia=After Ft
Basic_Claudia_Claudia_06,Keep walking.

#,Ft_Cristhyan=First Talk
Ft_Cristhyan_Cristhyan_01,"I'm Cristhyan Soler, in charge of the plumbing around here. Earl takes care of the water, and I make sure everyone who needs it gets it. "
Ft_Cristhyan_Cristhyan_02,Nice to meet you. This place needed some new faces.
#,Basic_Cristhyan=After Ft
Basic_Cristhyan_Cristhyan_03,A plumber's job is never done.

#,Ft_Cyrus=First Talk
Ft_Cyrus_Player_01,"Hello, I'm {PlayerFullName}, the one who-"
Ft_Cyrus_Cyrus_02,"-I know you. I helped Ida rig a pod-opener after she dug you up. Quite the sophisticated contraption, but after some creative sledgehammer usage, here you are."
Ft_Cyrus_Player_03,So no previous cryostasis experience then?
Ft_Cyrus_Cyrus_04,"No. I'm Cyrus, head of the garage for now, but I'm also a world-renowned pilot. "
Ft_Cyrus_Cyrus_05,"But since the airship is out of commission, you know where to find me. Glad you are back among the living. "
#,Basic_Cyrus=After Ft
Basic_Cyrus_Cyrus_06,Enjoying the waking world?

#,Ft_Dalton=First Talk
Ft_Dalton_Dalton_01,"Yo, I'm Dalton. Don't take anything Claudia says too personally. Us guards are here to keep the camp safe and seek justice. We have your back. "
#,Basic_Dalton=Ft
Basic_Dalton_Dalton_02,Can't stop. On patrol. 

#,Ft_A04_David=First Talk
Ft_A04_David_David_10,"Hello again, Maverick! "
Ft_A04_David_David_11,"You're all set in the system, so you can buy, sell, and use the storage boxes. My store is the best, though."
Ft_A04_David_Player_12,Thank you!
Ft_A04_David_David_13,No problem.
#,Basic_A04_David=Basic text
Basic_A04_David_David_14,Check out David's Emporium for the best selection on Titan!

#,Ft_Earl=First Talk
Ft_Earl_Earl_01,"Oh? You are the pod person Ida was working on. I am Earl Running Wolf, and I maintain this holy place."
Ft_Earl_Player_02,I'm {PlayerFullName}. Holy place? Like a church?
Ft_Earl_Earl_03,"It's a place to bask in the beauty of life itself. I keep our water as clean as I do my own soul, using chemicals for one and prayer for the other."
Ft_Earl_Player_04,Is the local water dangerous if it's untreated?
Ft_Earl_Earl_05,"Let's just say that Titan's water can disintegrate buildings, so you can imagine what it'd do to your insides."
Ft_Earl_Earl_06,"Despite what others think, there's no water shortage. On the other hand, the chemicals used to treat the water are running low. Everyone needs water, especially Seoyeon's farm, and rationing correctly avoids causing panic. Water is life, and I don't want to leave anyone high and dry. "
Ft_Earl_Earl_07,"Anyway, welcome. I have something to attend to. "
#,Basic_Earl=After Ft
Basic_Earl_Earl_08,Are you here for water or to join me in prayer?

#,Ft=First Talk
Ft_Fang_Fang_01,"I'm Fang. I can do it all, but I'm primarily responsible for maintaining our mining equipment. Since the mine shut down, I've been helping at the power plant. "
Ft_Fang_Player_02,It sounds like they're still keeping you busy.
Ft_Fang_Fang_03,"My dad said it was a mistake to come to Titan, but it's honest work and calms me. Can't beat that. "
#,Basic Talk
Basic_Fang,I can't wait to get back to the mines.

#,Ft=First Talk
Ft_Freyja_Player_01,"Hi, I'm {PlayerFullName}. Can I ask your name?"
Ft_Freyja_Freyja_02,"Freyja Johannsson, just one of many out-of-work miners. Not that I miss it, but they're just being so damn secretive about what's happening down there."
Ft_Freyja_Freyja_03,"Whatever it is, I hope the higher-ups don't miss the beauty of it all. "
Ft_Freyja_Player_04,"Me too, and it was nice to meet you. "
#,Basic_Freyja=After Ft
Basic_Freyja_Freyja_05,There's beauty in everything.

#,Ft_Lao=First Talk
Ft_Lao_Player_01,"Hello, I'm {PlayerFullName}."
Ft_Lao_Lao_02,I know. I was wondering when you'd arrive.
Ft_Lao_Player_03,Were you… expecting me?
