Language,Default

#,Quest:Prototype - Pierre
#,Object: Object_Statue_001
#,"The Pane Of Glass was originally obtainable from church, but the church is now located far below level 10, so we need to change the method how it is obtained."
#,"The Pane Of Glass must be crafted using glass debrie items obtainable from the Large TECC statue, located at the market area."
#,Dialogue when touching the statue.
SideQ_Prototype_Object_Statue_Nar_001,"(Before you is an old TECC memorial statue made of titanium and glass. It's worn and busted, just like everything else down here.)"
#,After receiving quest from Pierre the following choice is made available.
#,Player can obtain special glass debrie that is key material to craft 'Pane Of Glass'.
SideQ_Prototype_Object_Statue_S01,"(Looking at the TECC memorial, the large piece of glass at its center is removable.)"
SideQ_Prototype_Object_Statue_S01_Player_01,"Cassini, can Pierre use this glass for his prototype?"
SideQ_Prototype_Object_Statue_S01_AI_02,...
SideQ_Prototype_Object_Statue_S01_AI_03,"After scanning, I believe its imperfections render it useless."
SideQ_Prototype_Object_Statue_S01_Player_04,Wait... There's a lot of <color=#66FFCC>Glass Debris</color> around the area. Could we use that to fix the imperfections?
SideQ_Prototype_Object_Statue_S01_AI_05,"If we collect enough of it, then our <color=#FFA500>Item Production</color> process can modify the glass accordingly, yes."
SideQ_Prototype_Object_Statue_S01_Player_06,Great! I'll grab what I can.
SideQ_Prototype_Object_Statue_S01_AI_07,<color=#66FFCC>Pane Of Glass</color> has been added to your <color=#FFA500>Craft</color> list once you are ready.

#,[GridPuzzle]--------------
#,When player interacts with B04C03 grid step puzzle follow dialogus is used.
#,Dialogue variable state = 0 (first time)
#,Dialogue variable state = 1 (not solved)
#,Dialogue variable state = 2 (failed)
#,Dialogue variable state = 3 (success)
#,Dialogue variable state = 4 (puzzle already solved)
#,When interacting with terminal before puzzle has been solved.
#,For First time
Obj_GridStepPuzzle_Nar_01,SECURITY DOOR LOCKED\n\nPlease enter the passcode to unlock.
Obj_GridStepPuzzle_Player_02,"Am I missing something, Cassini? There's no keypad to enter a passcode. "
Obj_GridStepPuzzle_AI_03,"Engineer Felix Zuber developed this experimental security system, which uses a series of pressure plates instead of a keypad."
Obj_GridStepPuzzle_AI_04,"Each plate has a specific number, and the correct passcode must be entered from left to right by standing on them in order. Deciphering the code shouldn't be difficult."
Obj_GridStepPuzzle_Player_05,"If it's how we get through that door, then let's give it a shot."

#,"Interacting with terminal before puzzle has been solved, after the first time but before either passing or failing the code."
Obj_GridStepPuzzle_Nar_03,(This security panel is connected to the pressure plate system.)

#,When interacting with terminal after puzzle has been solved.
Obj_GridStepPuzzle_Nar_05,SECURITY DOOR UNLOCKED.\n\nPlease consult Felix Zuber in Engineering to retest.

#,Choice appear in the terminal
Obj_GridStepPuzzle_Obj_Choice_01,Reinitialize Passcode.

#,When passcode has been reinitialized.
Obj_GridStepPuzzle_Obj_01,Passcode has been Reinitialized.

#,When player fails puzzle.
Obj_GridStepPuzzle_Nar_02,INCORRECT PASSCODE\n\nReturn to the security terminal to reinitialize.

#,When player reaches the end and all pass codes are entered correctly.
Obj_GridStepPuzzle_Nar_04,PASSCODE ACCEPTED\n\nSECURITY DOORS UNLOCKED
Obj_GridStepPuzzle_AI_05,"Fantastic, {PlayerFullName}!"
Obj_GridStepPuzzle_Player_06,"Thanks! Now, let's see what they were protecting behind these pressure plates."

#,Control lab terminal countdown dialogue
#,There are two terminals A and B
#,Security deactivation must start at A and end at B
#,We denote A as Main and B as Sub

#,----------------------
#,The initial terminal welcome text.
#,02 and on can be just for the first time.
Obj_DoorTerminal_B05C01_Main_01,Welcome to the Control Center Lab Security Console #1.
Obj_DoorTerminal_B05C01_Main_02,Press DEACTIVATE on Console 1 and Console 2 simultaneously to continue.
Obj_DoorTerminal_B05C01_Main_Player_03,"The other console is on the other side of the room. There's only one of me. Cassini, any ideas?"
Obj_DoorTerminal_B05C01_Main_AI_03,"I cannot bypass the system, but I detect a corruption that may aid us. "
