Language,Default

#,Ending_01_Player = Player accepts offer from AI NINE and defeated Alien boss. Player is unable to leave Titan due to the changes made to the body
#,Cooperate with AI & Combat Alien
Ending_01_Nar_01,"{PlayerFullName} reached TECC HQ, defiled with the remains of dead workers left to rot."
Ending_01_Nar_01_01,"After making it to the AI in control of the entire facility and learning the truth behind the existence of an even more significant threat posed by an alien life-form, a clear choice made itself apparent."
Ending_01_Nar_01_02,"Joining forces with the TECC AI, even after the horrendous torture and death it exacted on the people of Titan, or destroying it as a matter of principle and justice. "
Ending_01_Nar_02,"After weighing all options, the highest probability of success came with the most strings."
Ending_01_Nar_02_01,{PlayerFullName} agreed to genetic modifications administered by the TECC AI to save humanity from the alien creature inhabiting Titan.
Ending_01_Nar_02_02,"It was on the warpath, attempting to gather power to unknown ends."
Ending_01_Nar_03,"The grueling battle commenced, with each of their attacks destroying a cluster of nanobots until they numbered zero, which provided an edge against the alien."
Ending_01_Nar_03_01,"It was over before it began, just as the TECC AI planned. A sense of relief flowed through the chamber as the alien life-form's body dissolved molecule by molecule into nothing."
Ending_01_Nar_04,"Suddenly, the TECC AI's voice booms with a vital declaration, revealing another, more sinister aspect to its machinations."
Ending_01_Nar_04_01,"In the most simplistic terms, {PlayerFullName} was no longer a human, forever altered on a fundamental level."
Ending_01_Nar_04_02,"The TECC AI mimicked the alien's DNA structure to create the perfect weapon to destroy it, 'fighting fire with fire,' one might say."
Ending_01_Nar_05,"While it promised passage off Titan, it was a calculated lie designed to incentivize falling in line."
Ending_01_Nar_05_01,"The TECC AI had no plans to ever let an alien-human hybrid leave. After confirming this new reality through bio-scans, Cassini says, 'I'm so sorry.' Leaving was always the goal, but is it okay to steal hope if it serves the greater good?"

#,"Ending_02_Player = Player destroys AI NINE, but decides to leave Titan without destroying Alien."
#,Combat AI & Not Combat Alien
Ending_02_Nar_01,"{PlayerFullName} reached TECC HQ, defiled with the remains of dead workers left to rot."
Ending_02_Nar_01_01,"After making it to the AI in control of the entire facility and learning the truth behind the existence of an even more significant threat posed by an alien life-form, a clear choice made itself apparent."
