Language,Default
Menu_NewGame,Новая Игра
Menu_LoadGame,Загрузить Игру
Menu_Settings,Настройки
Menu_Credits,Credits
Menu_Exit,Выход
Menu_ChangeLog,Список изменений
Game_Title,Subterrain: Mines of Titan
GameLoader_EarlyStage,This game is in the early stages of development.\nFeatures and design are subject to change.
Demo_Title,Демо
Demo_Desc,"Thanks for playing the Subterrain: Mines of Titan Demo!\nYou are still free to continue playing, but access to the deeper levels of the game is not available in the demo.\n\nPlease follow us on Steam and Discord and help us make an even better game!"
Demo_Steam,Subterrain: Mines of Titan Steam Forum
Demo_Discord,Subterrain: Mines of Titan Discord Channel
GameOver,Конец Игры
GameOver_TotalTurn,Всего Ходов
GameOver_Needs,Потребности
GameOver_Status,Статус
GameOver_Camp,Лагерь
GameOver_ReactorDesc,Лагерь Хайген был уничтожен!
GameOver_PlayerDesc,Вы погибли!
Settings_Title,Настройки
Settings_MasterVolume_Title,Общая громкость
Settings_BGMVolume_Title,Громкость Фоновой Музыки
Settings_UIVolume_Title,Громкость Интерфейса
Settings_SfxVolume_Title,Громкость Эффектов
Settings_AmbienceVolume_Title,Громкость Окружения
Settings_Brightness_Title,Яркость
Settings_Language_Title,Язык
Settings_Language_Default,Русско-Английский
Settings_Language_Korean,Корейский
Settings_Language_SimplifiedChinese,Китайский упрощенный
Settings_Vsync_Title,VSync
Settings_Vsync_Half,Половина
Settings_Vsync_On,ВКЛ
Settings_Vsync_Off,ВЫКЛ
Settings_Resolution_Title,Разрешение
Settings_FullScreen_Title,Полноэкранный
Settings_FullScreen_On,ВКЛ
Settings_FullScreen_Off,ВЫКЛ
Settings_UIScale_Title,Масштаб Интерфейса
Settings_GameScale_Title,Масштаб Игры
Settings_AutoSave_Title,Автосохранения
Settings_AutoSave_Disabled,Отключены
Settings_AutoSave_Stage1,Каждые 200 Ходов
Settings_AutoSave_Stage2,Каждые 400 Ходов
Settings_AutoSave_Stage3,Каждые 600 Ходов
Settings_AutoSave_Stage4,Каждые 800 Ходов
Settings_AutoSave_Stage5,Каждые 1000 Ходов
Settings_AutoSave_Stage6,Каждые 1200 Ходов
Settings_WalkSpeed_Title,Скорость ходьбы
Settings_SimLevel_Title,Тип Симуляции
Settings_SimLevel_Simple,Упрощенный
Settings_SimLevel_Full,Полный
Notice_Loading,Загрузка...
Notice_Saving,Сохранения...
