Language,Default

#DeepL

#,Need Text-----------------

20_Equip_05_Accessory_LoversScarf_NameKey,Шарф Влюбленных
20_Equip_05_Accessory_LoversScarf_DescKey,"Это шарф с таинственной силой, который восстанавливает немного здоровья в зависимости от Выносливости при получении урона."

#,--------------------------

#,[ 01-01. Head: Tier ]
20_Equip_01_Head_01_Tier01_Head_NameKey,Побитый Шлем
20_Equip_01_Head_01_Tier01_Head_DescKey,"Вероятно, это шлем велосипедиста. Он, конечно, потертый, но все же должен обеспечивать хоть какую-то защиту."

20_Equip_01_Head_01_Tier02_Head_NameKey,Шлем с Щитком
20_Equip_01_Head_01_Tier02_Head_DescKey,"Шлем с треснувшим щитком. Он все равно поможет, особенно если что-то будет направлено в глаза."

20_Equip_01_Head_01_Tier02_A_Monster_NameKey,Трупный Шлем
20_Equip_01_Head_01_Tier02_A_Monster_DescKey,Шлем, сделанный из костей и шкур мутантов, собранных под землей..

20_Equip_01_Head_01_Tier03_Head_NameKey,Бронированный Шлем
20_Equip_01_Head_01_Tier03_Head_DescKey,Новый шлем, который защищает большую часть головы пользователя со всех сторон.

20_Equip_01_Head_01_Tier04_Head_NameKey,Экспериментальный Шлем
20_Equip_01_Head_01_Tier04_Head_DescKey,"Головной убор с некоторыми дополнительными защитными функциями, включая компьютеризированный визор. Он выглядит как что-то из видеоигры."

20_Equip_01_Head_01_Tier05_Head_NameKey,Высокопрочный Шлем для Ударов Головой
20_Equip_01_Head_01_Tier05_Head_DescKey,Этот облегающий шлем достаточно твердый, чтобы можно было бить головой мостров. Джудит установила в него несколько впечатляющих технологий.

#,[ 01-02. Head: Side ]
20_Equip_01_Head_02_Side_Miner_001_NameKey,Шахтерская Каска
20_Equip_01_Head_02_Side_Miner_001_DescKey,Простая каска, которую носят шахтеры на Титане.

#,[ 01-03. Head: Special ]
20_Equip_01_Head_03_Speical_WolfsHalo_NameKey,Волчий Ореол
20_Equip_01_Head_03_Speical_WolfsHalo_DescKey,"Легкий шлем, изготовленный из черепа волка, усилен металлическим каркасом, чтобы выдерживать удары. В нем вы будете выглядеть чертовски круто. "


#,[ 02-00. Suit: Start ]
20_Equip_02_Suit_00_Start_Basic_001_NameKey,Лагерная Спортивная Одежда 
20_Equip_02_Suit_00_Start_Basic_001_DescKey,Удобная спортивная одежда производства TECC. Это основная одежда для людей в лагере..

#,[ 02-01. Suit: Tier ]
20_Equip_02_Suit_01_Tier01_Body_NameKey,Старая Броня
20_Equip_02_Suit_01_Tier01_Body_DescKey,Набор из старой брони. Старой, но лучше, чем ничего..

20_Equip_02_Suit_01_Tier02_Body_NameKey,Броня Военного Образца
20_Equip_02_Suit_01_Tier02_Body_DescKey,"Довольно приличный комплект брони, обеспечивающий надежную защиту от большинства атак. Однако он не предназначен для борьбы с монстрами."

20_Equip_02_Suit_01_Tier02_A_Body_NameKey,Трупная Броня
20_Equip_02_Suit_01_Tier02_A_Body_DescKey,"Набор брони из костей и шкур мутантов. Он ужасно пахнет, но обеспечивает адекватную защиту."

20_Equip_02_Suit_01_Tier03_Body_NameKey,Панцирная Броня
20_Equip_02_Suit_01_Tier03_Body_DescKey,"Улучшенная броня обеспечивает дополнительную защиту от пуль и когтей монстров, чтобы вы могли сражаться как следует."

20_Equip_02_Suit_01_Tier04_Body_NameKey,Экспериментальная броня
20_Equip_02_Suit_01_Tier04_Body_DescKey,"Стандартная броня с нестандартными дополнениями, которые поражают воображение. Надеюсь, они будут полезны, а не опасны."

20_Equip_02_Suit_01_Tier05_Body_NameKey,Сверхпрочный Экзоскелет Неуязвимости
20_Equip_02_Suit_01_Tier05_Body_DescKey,"Продвинутый комплект брони, способный остановить бульдозер, и вы будете чувствовать себя несокрушимым, пока носите его."

#,[ 02-02. Suit: Side ]
20_Equip_02_Suit_02_Side_Miner_001_NameKey,Форма Шахтера
20_Equip_02_Suit_02_Side_Miner_001_DescKey,Обычная шахтерская униформа. Обеспечивает минимальную защиту от холода и жары.

20_Equip_02_Suit_02_Side_Job_Doctor_001_NameKey,Форма Доктора
20_Equip_02_Suit_02_Side_Job_Doctor_001_DescKey,Ношение этого медицинского халата говорит всем о том, что вы доктор. Будьте готовы иметь дело с большим количеством крови. 

20_Equip_02_Suit_02_Side_Job_Engineer_001_NameKey,Форма Механика
20_Equip_02_Suit_02_Side_Job_Engineer_001_DescKey,Форма которую используют работники генераторов. В ней есть дополнительные карманы и петли для инструментов.

20_Equip_02_Suit_02_Side_Job_Engineer_002_NameKey,Форма Инженера
20_Equip_02_Suit_02_Side_Job_Engineer_002_DescKey,Инженеры собирают и чинят машины. Эта форма поставляется с уже закатанным рукавом, чтобы сэкономить время. 

20_Equip_02_Suit_02_Side_Job_Pilot_002_NameKey,Форма Пилота
20_Equip_02_Suit_02_Side_Job_Pilot_002_DescKey,"Изготовленные из легкого материала для максимальной скорости реакции, пилоты, одетые в соответствующую форму, всегда чувствуют себя как в полете."

20_Equip_02_Suit_02_Side_Job_Pub_001_NameKey,Форма Официанта
20_Equip_02_Suit_02_Side_Job_Pub_001_DescKey,"Работа в Пабе у Альпа может испортить вашу одежду. Для защиты подойдет этот фартук во всю длину. "

20_Equip_02_Suit_02_Side_Job_Scientist_001_NameKey,Форма Ученого
20_Equip_02_Suit_02_Side_Job_Scientist_001_DescKey,Ученые - сердце поселения Титана. Форма включает в себя яркий плащ и множество карманов для хранения предметов, которые вы найдете. 

20_Equip_02_Suit_02_Side_Job_Soldier_001_NameKey,Форма Солдата
20_Equip_02_Suit_02_Side_Job_Soldier_001_DescKey,"Эта форма с мягкой подкладкой позволяет солдатам носить с собой много боеприпасов и эффективно прятаться в темноте. Кроме того, вы будете выглядеть как ниндзя. "

20_Equip_02_Suit_02_Side_Job_Supply_001_NameKey,Форма Рабочего
20_Equip_02_Suit_02_Side_Job_Supply_001_DescKey,"Работа на Складе Снабжения предполагает подъем и перемещение грузов, но форма одежды довольно обычная. "

20_Equip_02_Suit_02_Side_Speical_Cristhyan_001_NameKey,Наряд Кристьяна
