Language,Default

#,[ Facility Upgrade ]
50_Special_01_Upgrade_WaterStation_02_NameKey,Water Station Lv.2
50_Special_01_Upgrade_WaterStation_02_DescKey,Makes more water available and slightly increases Water production efficiency.

50_Special_01_Upgrade_WaterStation_03_NameKey,Water Station Lv.3
50_Special_01_Upgrade_WaterStation_03_DescKey,Makes more water available and greatly increases Water production efficiency.

50_Special_01_Upgrade_WaterStation_04_NameKey,Water Station Lv.4
50_Special_01_Upgrade_WaterStation_04_DescKey,Makes more water available and significantly increases Water production efficiency.

50_Special_01_Upgrade_MineControl_02_NameKey,MineControl Lv.2
50_Special_01_Upgrade_MineControl_02_DescKey,"Unlocks more possible minerals to Craft and Recycle, and slightly increases item disassembling."

50_Special_01_Upgrade_MineControl_03_NameKey,MineControl Lv.3
50_Special_01_Upgrade_MineControl_03_DescKey,Unlocks more possible minerals to Craft and Recycle and greatly increases item disassembling.

50_Special_01_Upgrade_MineControl_04_NameKey,MineControl Lv.4
50_Special_01_Upgrade_MineControl_04_DescKey,Unlocks more possible minerals to Craft and Recycle and significantly increases item disassembling.

50_Special_01_Upgrade_Medical_02_NameKey,Medical Lv.2
50_Special_01_Upgrade_Medical_02_DescKey,"Unlocks new medical items to Craft and more organic matter (plants, monster loot) that can be broken down for materials."

50_Special_01_Upgrade_Medical_03_NameKey,Medical Lv.3
50_Special_01_Upgrade_Medical_03_DescKey,"Unlocks new medical items to Craft and more organic matter (plants, monster loot) that can be broken down for materials."

50_Special_01_Upgrade_Medical_04_NameKey,Medical Lv.4
50_Special_01_Upgrade_Medical_04_DescKey,"Unlocks new medical items to Craft and more organic matter (plants, monster loot) that can be broken down for materials."

50_Special_01_Upgrade_Generator_02_NameKey,Generator Lv.2
50_Special_01_Upgrade_Generator_02_DescKey,Expands the power grid and slightly increases Power production efficiency.

50_Special_01_Upgrade_Generator_03_NameKey,Generator Lv.3
50_Special_01_Upgrade_Generator_03_DescKey,Expands the power grid and greatly increases Power production efficiency.

50_Special_01_Upgrade_Generator_04_NameKey,Generator Lv.4
50_Special_01_Upgrade_Generator_04_DescKey,Expands the power grid and significantly increases Power production efficiency.

50_Special_01_Upgrade_Farm_02_NameKey,Farm Lv.2
50_Special_01_Upgrade_Farm_02_DescKey,"Unlocks new and more varied plants to Research and Craft, and slightly increases Farm efficiency. "

50_Special_01_Upgrade_Farm_03_NameKey,Farm Lv.3
50_Special_01_Upgrade_Farm_03_DescKey,"Unlocks new and more varied plants to Research and Craft, and greatly increases Farm efficiency. "

