Language,Default

#PE

#,[ Base Stat ]
Strength_NameKey,Сила
Strength_DescKey,"Сила (или STR) олицетворяет физическую силу и тренированность человека. Определяет Максимальное Здоровье, Скорость Регенерации, Урон в Ближнем Бою, Эффективность Крита в Ближнем Бою, и Шанс Промаха. Высокй СИЛ полезен для бойцов ближнего боя и повышает общие шансы на успех в бою."

Agility_NameKey,Ловкость
Agility_DescKey,"Agility (or AGY) represents one's evasiveness and accuracy. It is used to determine Attack Range, Melee Accuracy, Range Critical Efficiency, Dodge Change, AOO Chance, and AOO Dodge Chance. High AGY is a must for ranged battle and avoiding attacks during combat."

Endurance_NameKey,Выносливость
Endurance_DescKey,"Endurance (or END) represents one's toughness and stamina. It is used to determine Max Health, Health Regen, and Fortitude. High END is crucial for resisting status effects and surviving longer in hostile environments. "

Perception_NameKey,Восприятие
Perception_DescKey,"Perception (or PER) represents one's personal and environmental awareness. It is used to determine Critical Damage Chance, Counter Chance, AOO Chance, and the effectiveness of the Discover Hidden Perk. High Perception increases attack potency and reveals things others might overlook."

Mutation_NameKey,Мутация
Mutation_DescKey,"Mutation (or MUT) represents control over one's nanobot clusters. It is used to determine Nano Regen, and Nano Resistance. High MUT protects from contamination attacks and grants the use of Perks more often."

#,[ Sub Stat ]
MaxHealth_NameKey,Максимум Здоровья
MaxHealth_DescKey,"Max Health (or Max HP) is a character's ability to keep going, displayed as Current Health/Max Health. Health is lost when a character takes damage from enemies, environment sources, traps, or Needs. If Current Health reaches 0, the character dies."

HealthRegen_NameKey,Регенерации
HealthRegen_DescKey,Health Regen dictates how much Health the character recovers naturally with each passing Turn. Health Regen cannot exceed one's Max Health. 

Adrenaline_NameKey,Адреналин
Adrenaline_DescKey,"The character generates this unique energy source with combat actions (attacking and being attacked). Adrenaline is spent to activate certain Perks, often those utilized in combat. "

BasicDamage_NameKey,Физический Урон
BasicMinDamage_NameKey,Минимальный Физический Урон

BasicMaxDamage_NameKey,Максимальный Физический Урон
BasicDamage_DescKey,"Attacks inflict Physical Damage (or PD) to a target to reduce its Health. It is displayed as Min/Max, the lowest and highest possible damage they can cause. PD applies to ranged and melee combat and is affected by one's main Stats and choice of Gear. "

MeleeDamage_NameKey,Урон в Ближнем Бою
MeleeMinDamage_NameKey,Melee Min Damage

MeleeMaxDamage_NameKey,Максимальный Урон в Ближнем Бою
MeleeDamage_DescKey,"Characters deal additional Melee Damage (or MD) on top of their typical Physical Damage when fighting in close quarters. It is displayed as Min/Max, the lowest and highest possible damage they can cause. MD does not apply to ranged attacks. "

MeleeDamageEfficiency_NameKey,Боевая Эффективность
MeleeDamageEfficiency_DescKey,"Combat Efficiency determines how much damage (of any type) a character deals (displayed as a percentage, Min Damage at 0% to Max Damage at 200%). Combat Efficiency is affected by Stats and can fluctuate based on one's current Needs (Hunger, Sleepiness, etc.)."

MeleeAccuracy_NameKey,Точность в Ближнем Бою
