Language,Default

#,[ Log: Main Story Player Log ]
Log_Main_01,Из прошлого
Log_Main_01_Long,Из прошлого
Log_Main_01_Desc,"After a lengthy slumber, my hibernation device was found by Doctor Shahane, and she cracked it open to bring me back into the world.\n\nThis place is called Camp Huygen, apparently home to several TECC employees...\n\nProbably one of the many camps built on Titan, the largest of Saturn's 83 moons...\n\nMy first goal is to understand the situation at Camp Huygen, like available facilities and each employee's role. Maybe find a reason why they've lost communication with TECC HQ.\n\nFollowing that, I need to locate more info on the missing explorers who came to Titan with me during the first TECC mission. What the hell happened?\n\nI've been told to visit Alp for some food. Let's start there."

Log_Main_02,Лагерь Хайген
Log_Main_02_Long,Лагерь Хайген
Log_Main_02_Desc,"I'm worried for the people here. After meeting most of the residents here, it's obvious they are all on edge and ready to fight over the dwindling resources.\n\nThere's only so much food, water, and power.\n\nMoreover, an unidentified monster made its way through the mine shaft to Camp Huygen. I defeated the beast with a bit of help, but this development is alarming\n\nIf everything continues as it is, Camp Huygen will die along with everyone in it. Whether this occurs from starvation, monster attacks, or the residents killing each other is anyone's guess.\n\nIt's been decided that I will enter the contaminated underground alone. My special nanobots can resist the sickness coming from the mines.\n\nI may be able to gather enough resources to help the camp and hunt down traces of past expeditions to escape the camp.\n\nThere is no other choice..."

Log_Main_03,Центр Управления
Log_Main_03_Long,Headed to the Control Center
Log_Main_03_Desc,"I've found a personal log in an abandoned arcade underground belonging to an 'Ever Gray.' The name strikes a nerve in my memory, but I can't quite remember who they are.\n\nEver Gray and around a dozen other TECC employees hid from the monsters lurking around and called the Control Center for help.\n\nThey had no help to give... \n\nTheir final fate is still a mystery, however. The employees left no trace of what happened to them.\n\nIs it possible that even their bones decayed from the underground's contamination?\n\nThis discovery has revealed some good news for once, though. We now know that the Control Center rests on level 5.\n\nIt should contain all the colony's data and provide more clues to what actually happened on Titan."

Log_Main_04,Два Способа Перещений
Log_Main_04_Long,Два Способа Перещений
Log_Main_04_Desc,"Arriving at the Control Center, I could finally access the systems there. Most of the data was corrupted, except for one record from 'Mark Miller,' a vice president of the first TECC camp. That would make him second-in-command for the entire mining operation.\n\nThe records mention malfunctioning environmental nanobots, some going rogue, self-destructing, or being rendered non-functional.\n\nThe TECC scientists attempted to find the source of the problem but were interrupted when the monster attacks started. There were supposedly vast amounts of nanobot clusters released to accelerate the terraforming process, but they no longer have a presence on Titan.\n\nSolo trips into the mines to gather whatever supplies I can find just aren't going to cut it anymore. Camp Huygen is running out of time, and only TECC HQ has the answers we need to survive.\n\nEven if the mysteries remain, there is a spaceport there that may still be in working order enough to get us back to Earth.\n\nIt feels like a futile endeavor to stay in this camp, though, so we have to reach TECC HQ as soon as possible.\n\nThere are two ways to travel to TECC HQ: Airship or Train. Preparing the camp's airship for flight would require massive effort and cooperation, but the other Camp Huygen resident could accompany me. Then again, it might be quicker to go alone via the service train on level 7.\n\nIt's a consequential choice, but one I have to make quickly."

Log_Main_05,TECC HQ... Finally
Log_Main_05_Long,TECC HQ... Finally
Log_Main_05_Desc,"Stepping into TECC HQ should feel like a triumph, but getting here was only half the battle.\n\nThe stillness, the dead bodies everywhere I look, and the entire building is unsettling, to say the least. I'll need to keep my wits about me, though. If I lose my mind now, I don't have a chance to get off this rock.\n\nLocating and accessing the core systems is my first goal. Hopefully, something there will reveal the truth behind everything that has led me to TECC's doorstep.\n\nI'd pray for success, but nothing I've experienced on Titan would hint at the existence of a god who cares. "

#,[ Log: Location ]
Log_Location_01,Residential
Log_Location_01_Long,Residential
Log_Location_01_Desc,"I reached Basement Level 1 via service elevator and found the residential floor of the previous TECC settlement.\n\nWhen the doors opened, the lingering stench of death was palpable, and the rot was almost too much to handle. Light was sparse, with only emergency power on Level 1, but what I could see was depressing.\n\nThe residents were reduced to skeletons, but it was hard to tell whether they decayed normally or their bones were licked clean by underground creatures. The walls were cracked, and several ceiling sections crumbled, blocking doors and hallways. The few operable machines were corroded heavily, requiring a bit of muscle to wrench them open. \n\nWhatever killed the people here did the same to some of our miners and hospitalized several others. The destruction was worse than described.\n\nIt wrinkled my brain to think of what could cause this. I threw out the idea of anything natural being capable of this level of damage. The invasive nanobots that Doctor Shahane mentioned could be the culprit.\n\nI should count myself lucky that my nanobots let me resist here. From the look of it, no one here even had a chance.  "

Log_Location_02,Mine
Log_Location_02_Long,Mine
Log_Location_02_Desc,"The camp residents told me so many stories about the mines, which I officially reached beginning on Level 1. Finally seeing it for myself was an off experience, however.\n\nIf I didn't already know about the contamination down here, I might have mistaken it for your standard mining tunnel at first.\n\nThat idea was flipped on its head when I encountered the skeletons of recent mining casualties from Camp Huygen. Inches away from the elevator, they tried their best to escape before the mine was quarantined. Nothing could have prepared me for that realization.\n\nDarkness would take over without my lamp, but I could see a faint red glow from the tunnels. My contamination sensors were already off the charts, so I had no doubt there were monsters down here.\n\nCertainly not a place I'd visit by choice, but the camp needed supplies. "

Log_Location_03,Leisure
Log_Location_03_Long,Leisure
Log_Location_03_Desc,"Upon entering Level 2, the sheer scope of TECC's plans suddenly dawned on me. Not only did the company plan to mine Titan for resources, but it also wanted to make it a place people could live for years to come.\n\nLevel 2 was built to offer leisure activities, and the faded signs gave directions to the various facilities. The previous settlement apparently enjoyed a basketball court, football field, Olympic-sized pool, and full gym.\n\nA Level focused on fun is bound to attract more people, so it was no surprise to find several more skeletons, not one of them killed in the same way. It seemed the monsters had their fun as well.\n\nWhile I didn't expect to find raw materials, there should have been plenty of recyclable items. "

Log_Location_04,Park
Log_Location_04_Long,Park
