Language,Default
Guide_Move_ShortKey,Movement
Guide_Move_LongKey,Movement
Guide_Move_DescKey,<align=center>Press the following keys to move horizontally and vertically: {KeyboardControl_MoveUp}{KeyboardControl_MoveLeft}{KeyboardControl_MoveDown}{KeyboardControl_MoveRight}\nPress following keys to move diagonally: {KeyboardControl_MoveLeftUp}{KeyboardControl_MoveRightUp}{KeyboardControl_MoveLeftDown}{KeyboardControl_MoveRightDown}\nPlayers may also select a location with the left mouse button to move there.</align>

Guide_Equipment_ShortKey,Equipment
Guide_Equipment_LongKey,How to Equip Items
Guide_Equipment_DescKey,"<align=center>First, open your Inventory. Then, left-click on the gear item to pick it up, move it to the appropriate equipment slot on the right, and then left-click again to equip the item.\n\nInventory shortcut key: {KeyboardControl_Inventory}\n\nIf you already have an item of the same type equipped in the slot, the old item will be swapped out and moved to Inventory. For items of different types (i.e., equipping a two-handed weapon instead of a sword and shield), you must unequip the old items first. </align>"

Guide_Quest_Outline_ShortKey,Tasks
Guide_Quest_Outline_LongKey,Tasks
Guide_Quest_Outline_DescKey,"<align=center>'Open [Journal] and select [Task] tab' to show a queue of Current Tasks and already completed Tasks. Selecting a Task displays who the Task is for, a short description, and a list of todos to progress through the Task.\n\nTask shortcut key: {KeyboardControl_Journal}</align>"

Guide_Quest_TraceLocation_ShortKey,Task Tracking
Guide_Quest_TraceLocation_LongKey,Task: Track Location
Guide_Quest_TraceLocation_DescKey,"<align=center>Press the <sprite name=Tracking_1> button for help Tracking a specific object, character, or place related to the Task. This displays a path the player can follow to reach their destination. Only one path can be displayed at a time.</align>"

Guide_Quest_AddInfo_ShortKey,Task: Additional Info
Guide_Quest_AddInfo_LongKey,Task: Additional Information
Guide_Quest_AddInfo_DescKey_001,"<align=center>'Open [Journal] and select [Task] tab' to further check for any additional information related to the Task, such as item locations.</align>"

Guide_Key_ShortKey,Keycards
Guide_Key_LongKey,Keycards
Guide_Key_DescKey,"<align=center>Many doors on Titan are locked, requiring specific keycards to unlock them. The keycard must be in the Inventory to be used.</align>"

Guide_DropItem_ShortKey,Drop Items
Guide_DropItem_LongKey,Drop Items
Guide_DropItem_DescKey,"<align=center>After defeating an enemy, they might leave behind a Drop Item. Left-click on the item on the ground to move it to the Inventory.</align>"

Guide_DropItem_Shorcut_ShortKey,Take All
Guide_DropItem_Shorcut_LongKey,Drop Items: Take All
Guide_DropItem_Shorcut_DescKey,"<align=center>If there are multiple Drop Items nearby, press {KeyboardControl_InventoryScanGround} to display a list.\n\nPlayers may then individually select which Drop Items they want to take or press {KeyboardControl_InventoryTakeAll} to move all Drop Items to Inventory.</align>"

Guide_Combat_ShortKey,Combat: Attack
Guide_Combat_LongKey,How to Attack
Guide_Combat_DescKey_001,<align=center>Left-click on an enemy to move into position to perform a default attack using the currently equipped weapon.</align>
Guide_Combat_DescKey_002,<align=center>Moving into the same location as an enemy also triggers a default attack automatically.</align>

Guide_Perk_ShortKey,Perks
Guide_Perk_LongKey,Perks
Guide_Perk_DescKey,"<align=center>The Perk window shows available special abilities, including information on each Perk's effect, cooldown (for Active Perks), and Adrenaline Cost (if any). Passive Perks are ongoing and always in effect. Active Perks must be equipped into a Quick Slot and activated when needed.\n\nPerk keyboard shortcut: {KeyboardControl_Perk}</align>"

Guide_Perk_Unlock_ShortKey,Perks: Unlock
Guide_Perk_Unlock_LongKey,Unlocking Perks
Guide_Perk_Unlock_DescKey,<align=center>Characters earn 1 Perk Point each time they gain a Level. These points can be spent to unlock any available Perks from the Perk window. Perk point costs vary depending on the specific effect.</align>

Guide_Perk_Slot_ShortKey,Perk: Quick Slot
Guide_Perk_Slot_LongKey,Using Quick Slots
Guide_Perk_Slot_DescKey,"<align=center>Active Perks must be equipped to a Quick Slot in order to be used. A character may have up to six Active Perks and/or Items equipped in Quick Slots at any time.\n\nOpen the Perk window, select the Perk you want to equip, then drag and drop it into the preferred Quick Slot at the bottom of the screen.\n\nThe player may either left-click on the Perk icon or press #1-6 on the keyboard to use the corresponding Perk.</align>"

Guide_Perk_Adrenaline_ShortKey,Perks: Adrenaline
Guide_Perk_Adrenaline_LongKey,Adrenaline Costs
Guide_Perk_Adrenaline_DescKey,"<align=center>Some perks require Adrenaline points for activation. Adrenaline points are gained when attacking, being damaged, or after defeating an enemy, meaning more powerful Perks aren't usable at the start of combat. Adrenaline then fades over time when not in combat.</align>"

Guide_ItemUse_ShortKey,Item Use
Guide_ItemUse_LongKey,How to Use Items
