Language,Default

#,Main Quest Name: Nanobot
#,Purpose: Nanobot-related stats and perk activation.
#,Place: Medical
#,"Actor: Player, Ida Shahane, Isko Exconde"
#,KeyPrefix: Act01_MQ_09

#,(Player receives message from Ida to come and see her ASAP)
Act01_MQ_09_AI_01,<color=#FFA500>A new message has arrived.</color>
Act01_MQ_09_Player_02,What's this?
Act01_MQ_09_Nar_03,(You check your messages. A message scrolls across your vision.)
Act01_MQ_09_Ida_04,<message>\nCome back to the clinic as soon as possible. I have urgent news.\n-Ida Shahane-

#,(Players speaks with Ida.)
Act01_MQ_09_Player_05,You wanted to see me? You said it was urgent.
Act01_MQ_09_Nar_06,"(Ida attempts to hide her excitement upon your arrival, but her poker face isn't as strong as she might think. She leads you back to the clinic to continue the conversation.)"

#,(Player gathers with Ida and Isko in the clinic)
#,(This important event unlocks player's Nanobot ability which is a condition to access the mine)
#,(Ida explains the situation when they arrived at the camp. Nanobot infection at mine.)
#,(Replacement Omniscope parts Ida used for the player came from dead miner. Idea never told this in the beginning but maybe it is a good idea to use that here.)
#,"(After examining dead miner, Ida has some idea what is causing the infection but not knowing why.)"
#,(Ida discovered that player has different kinds of Nanobot which seems to have some degree of resistance to the nanobots causing the infection.)
Act01_MQ_09_Ida_07,Thank you for coming so quickly. We've discovered something that may be useful.
Act01_MQ_09_Player_08,...And that is?
Act01_MQ_09_Nar_09,(She pauses for a moment to collect her thoughts before continuing.)
Act01_MQ_09_Ida_10,"First, Camp Huygen was organized and funded with the exclusive purpose of mining, but did you know the mine here is currently locked down?"
Act01_MQ_09_Player_11,"I've picked that up from conversations with others in camp, yes."
Act01_MQ_09_Ida_12,Did any of them tell you why the mines are closed?
Act01_MQ_09_Player_13,No. Why? What's going on?
Act01_MQ_09_Ida_14,"It's a delicate matter, but I'll explain. When mining operations began, everything went smoothly at first. Within days, however, Isko and I were treating several spontaneous skin lesions, and too many miners fell violently ill, and could not continue work. We initially believed all of this to be caused by poor ventilation, but the operation never recovered even after making adjustments. Even our replacement workers got sick, and I was unable to cure them. "
Act01_MQ_09_Isko_15,"Don't blame yourself, Ida. We were honestly stumbling in the dark, and HQ pushed too hard for the work to keep going."
