Language,Default

#,Main Quest: Camp Assembly

#,Purpose: [Camp Management] Activation. // Hub Elevator repaired.
#,"Place: Pub, Front of hub elevator."
#,"Actor: Tau Mogorosi, Ida Shahane, Alp Demir, Gin Lao, Litzi Vogl, Judith Taggart, Seoyeon Nam, Earl Running Wolf, Claudia Flores, David Almanza"
#,KeyPrefix: Act02_MQ_20

#,"After defeating boss 1, after talk with Seble and others, fades out."
Act02_MQ_20_Nar_01,"(While Alexei and Seble tend to the shaft damage, you make your way to Alp's Pub.)"

#,(Fades in. Department heads are gathered in the pub for an assembly talk.)
#,Tau talks about the event and makes excuses. Wanting to get paid more.
#,Others talk about the grim situation. Ida suggests that player can get down to the underground
#,There is idea of fixing the elevator by the hub to get down by it and get to the mine through residential area
#,"Repair work is agreed, and the assembly ends"
Act02_MQ_20_Nar_02,"(Uneasy voices fill the Pub as you enter, followed by grim expressions as your eyes adjust to the fluorescent lights. Tau is already explaining away what happened in the Mine Control facility. Tau beckons you to stand in the middle of the gathering.)"
Act02_MQ_20_Tau_03,"Well, if you don't believe me... go on, kid, tell 'em what you saw."
Act02_MQ_20_Lao_04,Did you really see a monster at the mine elevator?
Act02_MQ_20_Player_05,"Tau is telling the truth. The four of us - myself, Tau, Alexei, and Seble - all saw it."
Act02_MQ_20_Nar_06,(A palpable chill fills the room as everyone experiences true terror.)
Act02_MQ_20_Alp_07,"This is terrible... The cave posed some danger, sure, but now there are monsters right under our feet? It's just too much."
Act02_MQ_20_Judith_08,"It might sound crazy, but isn't this why we have security? Claudia?"
Act02_MQ_20_Claudia_09,"We defend the camp just fine. It sounds like you miners were dangling the newbie as bait, just waiting for something to attack."
Act02_MQ_20_Player_10,That's not true! I was going to enter the mine.
Act02_MQ_20_Claudia_11,<b>Bullshit!</b> It's not just the new monsters down there. Need I remind everyone of the contamination? I say we just seal that hole and be done with it.
Act02_MQ_20_Tau_12,Seble and Alexei are already fixing the elevator. The stuff down there is too valuable to shut it down.
Act02_MQ_20_Judith_13,Says the guy who will most certainly not be going down himself.
Act02_MQ_20_Tau_14,"Regardless of who actually goes into the mine, I'm the one in charge of the mine, so we need to start discussing our payment for doing Security's job!"
Act02_MQ_20_Judith_15,"And Tau's true motive finally reveals itself! If it weren't for {PlayerFullName}, I'd think you were just spewing BS to get your hands on more credits. That's all you really care about."
Act02_MQ_20_Tau_16,"If it weren't for me and the new kid, you'd all be dead. We kept it from ravaging the entire camp, so yes... I believe there should be compensation."
Act02_MQ_20_Nar_17,"(You shake your head, but you dare not get in the middle of their bad blood)"
Act02_MQ_20_Tau_18,"Closing the mine hurt my miners the most, forcing us to go work in different departments. It's not unreasonable to be paid for going above and beyond. We need to keep the operation going, right?"
Act02_MQ_20_Judith_19,Cut the crap! Everyone is hurt by this! 

Act02_MQ_20_Lao_21,"Okay, okay, you're both special snowflakes. Can we please put a pin in this spat?"
Act02_MQ_20_Nar_22,"(Tau and Judith grumble under their breath, but allow the assembly to continue.)"
