Language,Default

#DeepL+PE

#,[ Intro ]
Cutscene_Act1_Intro_01,"Компания по разработке и Колонизации Титана, так же известная как TECC, она была основана благодаря человеческой изобретательности и стремлению захватить самый большой спутник Сатурна ради его драгоценных ресурсов."
Cutscene_Act1_Intro_02,"Этот план разрабатывался задолго до того, как подобная миссия стала возможной. Это было главной задачей под руководством генерального директора Аттикуса Проангелоса."
Cutscene_Act1_Intro_03,"По иронии судьбы, известной только корпоративным инсайдерам, TECC удалось заселить несколько шахтерских поселков на поверхности Титана."
Cutscene_Act1_Intro_04,"Компания вложила значительные средства в технологию терраформирования, способную преобразовать атмосферу, в подходящую для проживания человека."
Cutscene_Act1_Intro_05,"Первооткрыватели Титана контролировали процесс и начали новую жизнь, пока однажды..."
Cutscene_Act1_Intro_06,"<color=#FFFF00>Они все не исчезли.</color>"
Cutscene_Act1_Intro_07,"Совместно с исследовательскими группами и группами наемников TECC отправила на Титан дополнительные группы для расследования причин гибели первого поселения."
Cutscene_Act1_Intro_08,"Одна из таких групп была направлена в отдаленное место под названием Кэмп-Хюйген, где новой исследовательской группе было поручено извлечь имущество из глубин шахт."
Cutscene_Act1_Intro_09,"К сожалению, их численность сократилась при загадочных обстоятельствах, и связь со штаб-квартирой TECC была потеряна."
Cutscene_Act1_Intro_10,"Оставшиеся обитатели лагеря Гюйген застряли в выживание, сборе материалов материалы, только чтобы прожить еще один день."
Cutscene_Act1_Intro_11,"А потом они обнаружили стазисную капсулу, погребенную в руинах."
Cutscene_Act1_Intro_12,"Может ли человек внутри быть правда живым?""

#,[ Sleeping ]
Cutscene_Act1_Sleeping_01,"Осознание того что команда первого поселения Титана, <b><i>моя</i></b> команда исчезла, потрясло меня до глубины души."
Cutscene_Act1_Sleeping_02,"Все дружелюбные лица смешались в моем сознании, и все надежды поселенцев рухнули."
Cutscene_Act1_Sleeping_03,"Я не могу поверить, что целое поселение могло быть стерто с лица земли и забыто так быстро. Что случилось со всеми?"
Cutscene_Act1_Sleeping_04,"Насколько я понял, Оагерь Хайген находится на последнем издыхании. Без связи с штаб-квартирой TECC, едва обслуживаемое оборудование и иссякающие запасы продовольствия создают ужасающую комбинацию."
Cutscene_Act1_Sleeping_05,"Эта небольшая группа людей объединилась, чтобы выжить, но без ресурсов из шахты, они долго не продержатся. Неужели это лагерь был забыт так же, как и о первое поселение?"
