Language,Default

20_Equip_05_Accessory_LoversScarf_StatKey,[ On Hit ]\n<#66FFCC><sprite name=MaxHealth_Icon> Health + ( <#FFA500>0.1 x <sprite name=Base_Endurance> Endurance</color> )</color>

#,[ State ]
Trait_State_Acid_01_StatKey,Random Equipment <sprite name=Durability><#FF0000> Durability -0~1 (Per Turn)\n<sprite name=Protection_Icon> Protection -13%\n<sprite name=MaxHealth_Icon> -2% of max health</color>
Trait_State_Acid_02_StatKey,Random Equipment <sprite name=Durability><#FF0000> Durability -0~2 (Per Turn)\n<sprite name=Protection_Icon> Protection -26%\n<sprite name=MaxHealth_Icon> -3% of max health</color>
Trait_State_Acid_03_StatKey,Random Equipment <sprite name=Durability><#FF0000> Durability -1~2 (Per Turn)\n<sprite name=Protection_Icon> Protection -40%\n<sprite name=MaxHealth_Icon> -4% of max health</color>

Trait_State_Injuried_01_StatKey,<sprite name=MaxHealth_Icon><#FF0000> -1% of max health\n<sprite name=Protection_Icon> Protection -10%</color>
Trait_State_Injuried_02_StatKey,<sprite name=MaxHealth_Icon><#FF0000> -2% of max health\n<sprite name=Protection_Icon> Protection -20%</color>
Trait_State_Injuried_03_StatKey,<sprite name=MaxHealth_Icon><#FF0000> -3% of max health\n<sprite name=Protection_Icon> Protection -30%</color>

Trait_State_Poison_01_StatKey,<sprite name=Damage_Icon><#FF0000> Physical Damage -10%\n<sprite name=MaxHealth_Icon> Health -1% (Per Turn)\n<sprite name=HealthRegen_Icon> Health Regen -40%</color>
Trait_State_Poison_02_StatKey,<sprite name=Damage_Icon><#FF0000> Physical Damage -20%\n<sprite name=MaxHealth_Icon> Health -2% (Per Turn)\n<sprite name=HealthRegen_Icon> Health Regen -65%</color>
Trait_State_Poison_03_StatKey,<sprite name=Damage_Icon><#FF0000> Physical Damage -30%\n<sprite name=MaxHealth_Icon> Health -3% (Per Turn)\n<sprite name=HealthRegen_Icon> Health Regen -90%</color>

Trait_State_Burn_01_StatKey,<sprite name=MaxHealth_Icon><#FF0000> -3% of max health\n<sprite name=HealthRegen_Icon> Health Regen -40%</color>
Trait_State_Burn_02_StatKey,<sprite name=MaxHealth_Icon><#FF0000> -4% of max health\n<sprite name=HealthRegen_Icon> Health Regen -65%</color>
Trait_State_Burn_03_StatKey,<sprite name=MaxHealth_Icon><#FF0000> -5% of max health\n<sprite name=HealthRegen_Icon> Health Regen -90%</color>

#,[ Needs ]

Trait_Needs_Hunger_05_StatKey,<sprite name=Base_Strength><#FF0000> Strength -30%\n<sprite name=MaxHealth_Icon> Health -1 (Per Turn)\n<sprite name=HealthRegen_Icon> Health Regen = 0</color>
