Language,Default

#DeepL

#,[ 01-01. Ammo: Tier ]
#,( Pistol )
10_RangeWp_01_Ammo_01_Tier01_Ammo_001_NameKey,Боеприпасы: Пули (Пистолет)
10_RangeWp_01_Ammo_01_Tier01_Ammo_001_DescKey,Коробка пистолетных пуль. Не очень полезно без наличия настоящего пистолета.

10_RangeWp_01_Ammo_01_Tier02_Ammo_Backbone_001_NameKey,Патроны: Мутантские Пули (Пистолет)
10_RangeWp_01_Ammo_01_Tier02_Ammo_Backbone_001_DescKey,Пистолетные пули из фрагментов позвоночника мутанта.

#,( Rifle )
10_RangeWp_01_Ammo_01_Tier01_Ammo_002_NameKey,Боеприпасы: Пули (Винтовка)
10_RangeWp_01_Ammo_01_Tier01_Ammo_002_DescKey,Коробка с винтовочными пулями. Не очень полезен без наличия настоящей винтовки.

10_RangeWp_01_Ammo_01_Tier02_Ammo_Backbone_002_NameKey,Боеприпасы: Мутантские пули (Винтовка)
10_RangeWp_01_Ammo_01_Tier02_Ammo_Backbone_002_DescKey,Винтовочные пули из фрагментов позвоночника мутантов.

#,[ 01-02. Ammo: Side ]
#,( Basement's Pistol & Rifle )
10_RangeWp_01_Ammo_02_Side_Ammo_003_NameKey,Боеприпасы для Старого Пистолета
10_RangeWp_01_Ammo_02_Side_Ammo_003_DescKey,"Этот боеприпасы работают только с пистолетом Охраны. Пули старые, но они все еще мощные. "

#,[ 01-03. Ammo: Special ]
#,( Mining Laser's Ammo )
10_RangeWp_01_Ammo_03_Special_BatteryLaser_001_NameKey,Батарея Высокой Ёмкости
10_RangeWp_01_Ammo_03_Special_BatteryLaser_001_DescKey,"Эти батареи содержат много энергии в компактном корпусе и даже способны питать интенсивные лазеры для горнодобывающего оборудования."

#,( Minigun's Ammo )
10_RangeWp_01_Ammo_03_Special_BatteryMiniGun_001_NameKey,Боеприпасы: Лазерная Батарея (Миниган)
10_RangeWp_01_Ammo_03_Special_BatteryMiniGun_001_DescKey,Батарея повышенной емкости, модифицированная для питания шахтерского минигана и не теряющая заряд после одного выстрела.. 

#,( Flame Thrower's Ammo )
10_RangeWp_01_Ammo_03_Special_FlameThrower_001_NameKey,Боеприпасы: Гелевая канистра (огнемет)
10_RangeWp_01_Ammo_03_Special_FlameThrower_001_DescKey,Канистра, наполненная легковоспламеняющимся гидразиновым гелем, для использования с огнеметом. 

#,( Launcher's Ammo )
10_RangeWp_01_Ammo_03_Special_LauncherSonic_001_NameKey,Боеприпасы: Звуковой заряд (Звуковой Установки)
10_RangeWp_01_Ammo_03_Special_LauncherSonic_001_DescKey,"Он похож на ракету, но звуковой заряд использует звук, чтобы нанести урон всей территории (и всему, что попадет под ударную волну)."

#,( Shotgun's Ammo )
10_RangeWp_01_Ammo_03_Special_Shotgun_001_NameKey,Боеприпасы: Картечь (Дробовик)
10_RangeWp_01_Ammo_03_Special_Shotgun_001_DescKey,"При стрельбе из дробовика каждая гильза разрывается, разбрасывая сотни дробинок. "


#,[ 01-01. Arrow: Tier ]
10_RangeWp_01_Arrow_01_Tier01_Arrow_001_NameKey,Стрела
10_RangeWp_01_Arrow_01_Tier01_Arrow_001_DescKey,"Обыкновенные и простые стрелы. Правда, больше одного выстрела они, скорее всего, не выдержат."

10_RangeWp_01_Arrow_01_Tier02_Arrow_Backbone_001_NameKey,Стрела из Мутанта
10_RangeWp_01_Arrow_01_Tier02_Arrow_Backbone_001_DescKey,Стрелы, изготовленные из хребта мутировавшего существа.


#,[ 01-03. Arrow: Special ]
10_RangeWp_01_Arrow_03_Speical_Arrow_Acid_NameKey,Стрела: Кислота
10_RangeWp_01_Arrow_03_Speical_Arrow_Acid_DescKey,Особые стрелы с пузырьком кислоты, встроенным в наконечник стрелы, который покрывает врага при попадании (inflicts <#FF0000>Урон Кислотой</color>).

10_RangeWp_01_Arrow_03_Speical_Arrow_Burn_NameKey,Стрела: Зажигательная
10_RangeWp_01_Arrow_03_Speical_Arrow_Burn_DescKey,Особые стрелы, которые взрываются при ударе, так чтобы цель полыхала огнем (inflicts <#FF0000>Урон Огнём</color>).

10_RangeWp_01_Arrow_03_Speical_Arrow_Poison_NameKey,Стрела: Яд
10_RangeWp_01_Arrow_03_Speical_Arrow_Poison_DescKey,Особые стрелы, которые при попадании в цель впрыскивают в нее яд (inflicts <#FF0000>Урон Ядом</color>).


#,[ 01-01. Ammo: Tier ]
#,( Slingshot's Ammo )
10_RangeWp_01_SlingAmmo_01_Tier01_SlingShots_001_NameKey,Шарики для Рогатки
10_RangeWp_01_SlingAmmo_01_Tier01_SlingShots_001_DescKey,Небольшие стальные шарики, используемые в качестве боеприпасов для рогатки.



#,[ 02-01. One Hand Range: Tier ]
10_RangeWp_02_OneHand_01_Tier01_Pistol_NameKey,Самодельный Пистолет
10_RangeWp_02_OneHand_01_Tier01_Pistol_DescKey,По сути, это пневматический пистолет. Он почти не наносит урона, но может поражать цели на расстоянии.

10_RangeWp_02_OneHand_01_Tier02_Pistol_NameKey,Старинный Пистолет
10_RangeWp_02_OneHand_01_Tier02_Pistol_DescKey,"Старинный пистолет с кремневым замком. Сделан аккуратно, но это антиквариат."

10_RangeWp_02_OneHand_01_Tier03_Pistol_NameKey,Современный Пистолет
10_RangeWp_02_OneHand_01_Tier03_Pistol_DescKey,Современный пистолет с большей огневой мощью и лазерным прицелом для улучшения прицеливания. Теперь поговорим.

10_RangeWp_02_OneHand_01_Tier04_Pistol_NameKey,Экспериментальный Пистолет
10_RangeWp_02_OneHand_01_Tier04_Pistol_DescKey,"Пистолет, усовершенствованный Джудитом, с кучей экспериментальных модификаций. Он напоминает что-то из научно-фантастического фильма, а также оснащен лазерным прицелом."

10_RangeWp_02_OneHand_01_Tier05_Pistol_NameKey,Мощный Футуристический Пистолет
10_RangeWp_02_OneHand_01_Tier05_Pistol_DescKey,"Пистолет будущего... только он все еще использует пули, так что не слишком далеко в будущее. Приготовьтесь проделать несколько дырок в ваших врагах."

#,[ 02-02. One Hand Range: Side ]
10_RangeWp_02_OneHand_02_Side_SecurityPistol_001_NameKey,Пистолет Охраны
