Language,Default

#,[ One Hand Melee ]
#,( Passive )
OHM_P_Mastery_StatKey_001,<#66FFCC><sprite name=MeleeAccuracy_Icon> Melee Accuracy + ( 1 <#FFA500>+ 0.5 x <sprite name=Perk_Pro_OHM_Mini> One Hand Melee</color> )%\n<sprite name=Dodge_Icon> Dodge Chance + ( 0.5 <#FFA500>+ 0.15 x <sprite name=Perk_Pro_OHM_Mini> One Hand Melee</color> )%\n<sprite name=Fumble_Icon> Fumble Chance - ( 0.5 <#FFA500>+ 0.175 x <sprite name=Perk_Pro_OHM_Mini> One Hand Melee</color> )%</color>
OHM_P_Mastery_StatKey_002,<#66FFCC><sprite name=MeleeAccuracy_Icon> Melee Accuracy + ( 2 <#FFA500>+ 0.5 x <sprite name=Perk_Pro_OHM_Mini> One Hand Melee</color> )%\n<sprite name=Dodge_Icon> Dodge Chance + ( 1.0 <#FFA500>+ 0.15 x <sprite name=Perk_Pro_OHM_Mini> One Hand Melee</color> )%\n<sprite name=Fumble_Icon> Fumble Chance - ( 1.1 <#FFA500>+ 0.175 x <sprite name=Perk_Pro_OHM_Mini> One Hand Melee</color> )%</color>
OHM_P_Mastery_StatKey_003,<#66FFCC><sprite name=MeleeAccuracy_Icon> Melee Accuracy + ( 4 <#FFA500>+ 0.5 x <sprite name=Perk_Pro_OHM_Mini> One Hand Melee</color> )%\n<sprite name=Dodge_Icon> Dodge Chance + ( 1.5 <#FFA500>+ 0.15 x <sprite name=Perk_Pro_OHM_Mini> One Hand Melee</color> )%\n<sprite name=Fumble_Icon> Fumble Chance - ( 1.8 <#FFA500>+ 0.175 x <sprite name=Perk_Pro_OHM_Mini> One Hand Melee</color> )%</color>
OHM_P_Mastery_StatKey_004,<#66FFCC><sprite name=MeleeAccuracy_Icon> Melee Accuracy + ( 7 <#FFA500>+ 0.5 x <sprite name=Perk_Pro_OHM_Mini> One Hand Melee</color> )%\n<sprite name=Dodge_Icon> Dodge Chance + ( 2.0 <#FFA500>+ 0.15 x <sprite name=Perk_Pro_OHM_Mini> One Hand Melee</color> )%\n<sprite name=Fumble_Icon> Fumble Chance - ( 2.6 <#FFA500>+ 0.175 x <sprite name=Perk_Pro_OHM_Mini> One Hand Melee</color> )%</color>
OHM_P_Mastery_StatKey_005,<#66FFCC><sprite name=MeleeAccuracy_Icon> Melee Accuracy + ( 10 <#FFA500>+ 0.5 x <sprite name=Perk_Pro_OHM_Mini> One Hand Melee</color> )%\n<sprite name=Dodge_Icon> Dodge Chance + ( 3.0 <#FFA500>+ 0.15 x <sprite name=Perk_Pro_OHM_Mini> One Hand Melee</color> )%\n<sprite name=Fumble_Icon> Fumble Chance - ( 3.5 <#FFA500>+ 0.175 x <sprite name=Perk_Pro_OHM_Mini> One Hand Melee</color> )%</color>

OHM_P_ShieldMastery_StatKey_001,<#66FFCC><sprite name=blockChance_Icon> Block Chance + ( 3 <#FFA500>+ 0.5 x <sprite name=Perk_Pro_OHM_Mini> One Hand Melee</color> )%\n<sprite name=blockPower_Icon> Block Power + ( 3 <#FFA500>+ 0.5 x <sprite name=Perk_Pro_OHM_Mini> One Hand Melee</color> )
