Language,Default

#,[ NPC ]
NPC_Alexei_Bogomolov,Алексей Богомолов
NPC_Alp_Demir,Альп Демир
NPC_Brett_Cassidy,Брет Кэссиди
NPC_Claudia_Flores,Клаудия Флорес
NPC_Cristhyan_Oriol_Soler,Кристьян Ориол Солер
NPC_Cyrus,Сайрус
NPC_Dalton_Wells,Далтон Уэллс
NPC_David_Almanza,Дэвид Алманза
NPC_Earl_RunningWolf,Эрл Бегущий Волк
NPC_Fang_Zheng,Фан Чжэн
NPC_Freyja_Johannsson,Фрейя Йоханнссон
NPC_Gin_Lao,Джин Лао
NPC_Grace_Thompson,Грейс Томпсон
NPC_Ida_Shahane,Ида Шахан
NPC_Isko_Exconde,Иско Эксконд
NPC_Jozef_Pertragolavic,Йозеф Петраголовиц
NPC_Judith_Taggart,Джудит Таггарт
NPC_Katerina_Spiros,Катерина Спирос
NPC_Litzi_Vogl,Литси Фогль
NPC_Martin_Lopez,Мартин Лопез
NPC_Miriam_Katz,Мириам Кэтз
NPC_Nina_Zherdev,Нина Жердева
NPC_Idrissi_Nouri,Идрисси Нури
NPC_Octavio_Cardoso,Октавио Кардосо
NPC_Odette_Gauthier,Одетт Годри
NPC_Pierre_Ondo,Пьер Ондо
NPC_Rana_Quadir,Рана Квадир
NPC_Seble_Kebede,Себле Кебеде
NPC_Seoyeon_Nam,Соён Нам
NPC_Tau_Mogorosi,Тау Могороси
NPC_Temir_Umarov,Темир Умаровов
NPC_Ulf_Wiklund,Ульф Викланд
NPC_Ursula_Hafner,Урсула Хафнер
NPC_Vinh_Pham,Винь Фам
NPC_Wirat_Saapchaengduagdao,Вират Сапчэнгдуагдао

#,[ ID Tag Character ]
Female_Asian_Doctor_01,Тала Баккай
Female_Asian_Doctor_02,Аой Такара
Female_Asian_Engineer_01,Минхе Мок
Female_Asian_Engineer_02,Дхиа Чунг
Female_Asian_Miner_01,Джампа Намган
Female_Asian_Miner_02,Цзюньхуэй Чэнь
Female_Asian_Pilot_01,Линь Хуэй Тун
Female_Asian_Pilot_02,Юми Сонода
Female_Asian_Scientist_01,Сии Чжао
Female_Asian_Scientist_02,Солонго Лхагвасурен
Female_Asian_Soldier_01,Джеми Синага
Female_Asian_Soldier_02,Зоя Ансари
Female_Black_Doctor_01,Фана Ибрагимова
Female_Black_Doctor_02,Эси Акуфо
