Language,Default

#,[ Level Group ]
Sector_HuygenCamp,Лагерь
Sector_HuygenCave,Пещера у Лагеря
Sector_Headquarter,Штаб-квартиа TECC 
Sector_B01,[B01]
Sector_B02,[B02]
Sector_B03,[B03]
Sector_B04,[B04]
Sector_B05,[B05]
Sector_B06,[B06]
Sector_B07,[B07]
Sector_B08,[B08]
Sector_B09,[B09]
Sector_B10,[B10]

#,[ Settlement ]
AirShip_01,[Ground] Дирижабль
AirShip_02,[B02] Ангар Дирижабля
AirShip_03,[B01] Дирижабль Коридор
Communication_01,[Ground] Комплекс Связи
Communication_02,[2F] Комплекс Связи
Engineering_01,[Ground] Инженерия
Farm_01,[Ground] Биоферма
Generator_01,[B01] Генератор
Hub_01,[Ground] Хаб
Medical_01,[B01] Клиника
Medical_02,[B02] Клиника
MineControl_01,[Ground] Управление Шахтой 
MineControl_02,[B01] Управление Шахтой 
MineControl_Surface_01,[Ground] Управление Шахтой Вход
MineControl_BossRoom,[Ground] Вход в Шахту
Pub_01,[B01] Бар у Альпа
Pub_02,[B02] Склад Бара
Pub_03,[B02] Комната Альпа
Residential_01,[B01] Жилые Помещения
Residential_02,[B02] Жилые Помещения
Residential_03,[B03] Жилые Помещения
Supply_01,[B01] Склад Снабжения
Supply_02,[B02] Подвал Склада
WaterStation_01,[Ground] Насосная Станция
Settlement,[Ground] Поселение TECC
ReactorRoom_01,[B02] Реакторный Комплекс
MineControl_BossRoom,[Ground] Вход в Шахту

#,[ Cave ]
Cave_B1_A,[Ground] Пещера A
Cave_B1_B,[Ground] Пещера B
Cave_B2_A,[B01] Пещера C
Cave_B2_B,[B01] Пещера D

#,[ Basement ]
B01_C_01,[B01] Center Area: Residence
B01_C_02,[B01] Center Area: Mine Entrance
B01_C_03,[B01] Center Area: Residence
B01_R_01,[B01] East Area: Mine A
B01_R_02,[B01] East Area: Mine B
B01_R_03,[B01] East Area: Mine C
B02_C_01,[B02] Center Area: Old Leisure
B02_C_02,[B02] Center Area: Mine A
B02_C_03,[B02] Center Area: Old Garden
B02_C_04,[B02] Swimming Pool
B02_C_05,[B02] Underground Pass
B02_R_01,[B02] Narrow Pit
B02_R_02,[B02] East Area: Mine A
B02_R_03,[B02] East Area: Mine B
B03_R_01,[B03] East Area: Farm A
B03_R_02,[B03] East Area: Farm B
B03_C_01,[B03] Center Area: Workshop
B03_C_02,[B03] Center Area: Market
B03_L_01,[B03] West Area: Mine A
B03_L_02,[B03] West Area: Mine B
B04_L_01,[B04] West Area: Mine A
B04_L_02,[B04] West Area: Mine B
B04_C_01,[B04] Center Area: Medical
B04_C_03,[B04] Center Area: Mine Passage
B04_R_01,[B04] East Area: Mine A
B04_R_02,[B04] East Area: Mine B
B04_R_03,[B04] East Area: Mine C
B05_R_01,[B05] East Area: Mine A
B05_R_02,[B05] East Area: Mine B
B05_C_01,[B05] Center Area: Back Entrance
B05_C_02,[B05] Center Area: Control Center
B05_C_03,[B05] Center Area: Miner's Residence
B06_C_01,[B06] Center Area: Server Room
B06_C_02,[B06] Center Area: Research Facility
B06_R_01,[B06] East Area: Mine A
B06_R_02,[B06] East Area: Mine B
B07_R_01,[B07] East Area: Mine A
B07_C_01,[B07] Center Area: Train Station
B07_C_02,[B07] Center Area: Storage
B07_L_01,[B07] West Area: Mine A
B07_L_02,[B07] West Area: Mine B
B08_C_01,[B08] Center Area: Storage A
B08_C_02,[B08] Center Area: Storage B
B08_C_02_HiddenRoom,[B08] Center Area: Hidden Room
B08_L_01,[B08] West Area: Mine A
B08_L_02,[B08] West Area: Mine B
B08_R_01,[B08] East Area: Mine A
B08_R_02,[B08] East Area: Mine B
B09_C_01,[B09] Center Area: Vehicle Repair Shop
B09_C_02,[B09] Center Area: Hanger
B09_C_03,[Dummy]
B09_R_01,[B09] East Area: Mine A
B10_C_01,[B10] Control Area: Geothermal Power Plant
B10_C_02,[B10] Control Area: Power Plant Entrance
B10_C_03,[B10] Control Area: Level 10 Residential
B10_R_01,[B10] High-Security Research Cave

#,[ Head Quarter ]
HeadQuarter_01_TrainStation,[B02] Железнодорожная Станция
HeadQuarter_01_AirShip_001,[Ground] Стоянка Дирижабля
HeadQuarter_01_AirShip_002,[B01] Lift Facility
HeadQuarter_02_Inside_001,[B01] Внутри штаб-квартиры A
HeadQuarter_03_Inside_002_A,[B01] Внутри штаб-квартиры B
HeadQuarter_03_Inside_002_B,[B01] Внутри штаб-квартиры C
HeadQuarter_04_Boss_04,[B01] Секретный Комплекс
HeadQuarter_04_Boss_05_Pathline,[B01] Pathline
HeadQuarter_05_Boss_05,[Ground] Огромный Комплекс

#,[ Special ]
HQFinalLift_01,TECC HQ Lift
Generator_ReqactorRoom_Lift,Лифт
Elevator_01,Лифт
Train_01,Отправление в Штаб-квартиру TECC 
Air_01,Отправление в Штаб-квартиру TECC 
