Language,Default
L_SideQ_Frejya_TheBeautyBeneath_CristalCave,Кристальная Пещера
L_SideQ_Frejya_TheBeautyBeneath_Concert,Концерт
L_SideQ_Frejya_TheBeautyBeneath_Dock,Док
L_HeatSinkRoom,Печь Генератора
L_Pub_Basement,Pup's Хранилище в Подвале
L_Generator,Генератор
L_ReactorRoom,Комната Реактора
L_MineControl,Управление Шахтой 
L_Residential,Расположение
L_TECC_Cargo_Residential_01,Last known cargo location (Residential)
L_TECC_Cargo_AirshipGarage_01,Last known cargo location (Garage)
L_TECC_Cargo_BioFarm_01,Last known cargo location (Farm)
L_SideQ_Odette_SurpireParty_Favor_Hint,Favor's Location Point
