Language,Default

#,[ Mineral ]
Codex_Mineral_Methane_DescKey,Methane is necessary to generate <color=#FFA500>Power</color> for the camp. 

Codex_Mineral_Iron_DescKey,Refined iron can be used to craft many basic <color=#66FFCC>Tier 1</color> items. 

Codex_Mineral_Copper_DescKey,Refined copper can be used to craft <color=#66FFCC>Tier 2</color> items (stronger than <color=#66FFCC>Iron</color>). 

Codex_Mineral_Nickel_DescKey,Refined nickel can be used to craft <color=#66FFCC>Tier 3</color> items (stronger than <color=#66FFCC>Copper</color>). 

Codex_Mineral_Lithium_DescKey,Refined lithium can be used to craft <color=#66FFCC>Tier 4</color> items (stronger than <color=#66FFCC>Nickel</color>).

Codex_Mineral_Titanium_DescKey,Refined titanium can be used to craft <color=#66FFCC>Tier 5</color> items (stronger than <color=#66FFCC>Lithium</color>). 

Codex_Mineral_Geode_Blue_DescKey,"This blue crystal is too brittle for crafting, but can be sold for a small amount of <color=#66FFCC>Credits</color>."

Codex_Mineral_Geode_Purple_DescKey,"This purple crystal is too brittle for crafting, but can be sold for <color=#66FFCC>Credits</color>."

Codex_Mineral_Geode_Red_DescKey,"This red crystal is too brittle for crafting, but can be sold for a healthy sum of <color=#66FFCC>Credits</color>."

#,[ Monster ]
Codex_Rat_DescKey,"Descendants of stowaway rats aboard TECC's shuttle that have now made their home in Alp's basement. After thousands of accelerated spawning generations and exposure to Titan's environments, these rats have evolved to be larger and more ferocious."

Codex_Worm_DescKey,The original TECC settlement cultivated several worm species on Titan as an alternate food source. These evolved Titan Worms have now developed a taste for human blood and are ready to return the favor.

Codex_Slug_DescKey,"Almost nothing like Earth slugs, these Titan Slugs possess short limbs, an organic shell for protection, and poisonous secretions. They also show signs of more than animal intelligence after nanobot intervention. Who knows what their future holds?"

Codex_Beetle_DescKey,"Many Earth insects, such as beetles and roaches, share an evolutionary arc to become the Titan Beetle. They are difficult to squish due to a hardened exoskeleton, sometimes accompanied by wings for increased mobility or spikes for extra damage dealing."

Codex_Rat_Evolved_DescKey,"Titan Rats evolve quickly, and they have invaded Alp's basement again in a more snarly, more savage form. It's next to impossible to eradicate the entire nest, but pushing them out of camp should be doable."

Codex_Evolved_Base_A_DescKey,"Mutants are humanoid monsters with decaying skin and exposed skeletons as hard as steel. Their inhuman strength and speed make them terribly deadly, even though they are the most basic evolved creature found underground."

Codex_Evolved_Base_B_DescKey,"Brawlers possess augmented muscles like a wrestler, making them stronger and tougher than normal mutants. They are built like walking tanks with attacks that pack a wallop."

Codex_Evolved_Bomber_A_DescKey,"While a Belcher's legs are humanoid, their pustule-covered body has mutated into an oozing maw that launches acid projectiles. A lack of arms suggests an intricate internal firing system that explains the Belcher's firing range despite not having eyes or ears."

Codex_Evolved_Bomber_B_DescKey,"An advanced form of Belchers, a Spewer's legs have evolved further for increased mobility, and its sensitive antennae help to boost attack accuracy. Their external acid sacs are harder to burst through force, and their projectiles fire like missiles."

Codex_Evolved_Buffer_A_DescKey,"A monster created from nanobot clusters too powerful to be contained by a physical form. It clings to decaying hunks of flesh it flings at enemies, but the real threat is its ability to boost other monsters' abilities and even heal them."

Codex_Evolved_Buffer_B_DescKey,"A Floater that accumulates enough flesh eventually becomes a Drifter. Its nanobots self-destruct when attacking, destroying its target's nanobots simultaneously. A Drifter's boost/healing range to aid other monsters is also vastly superior."

Codex_Evolved_Explosive_DescKey,"A monster filled with a mixture of blood and liquid explosives that possesses zero survival instincts. When an Exploder sees an enemy, it creeps forward and self-destructs with a maniacal laugh when close enough."

Codex_Evolved_Grabber_DescKey,"A four-legged beast with a scorpion-like tail capable of beheading a human. Its prey may attempt to retreat, but a Stabber's elongated tongue will reach out to drag the target closer."

Codex_Evolved_Reaper_A_DescKey,"Slicers are mutants with animalistic legs, one sharpened arm built for killing, and its other arm is helpful for balance while it delivers deadly blows. Its intimidating mandibles look like a leftover from an alternate evolutionary track it might have traveled."

Codex_Evolved_Reaper_B_DescKey,"An advanced form of Slicers, a Carver's blade-arm has grown so large that it now exists as a tri-pedal creature. With increased size and strength, it can carve through any enemy, cutting it into easily digestible chunks."

Codex_Evolved_Shooter_A_DescKey,"Spitters eat their victims' bones to create powerful projectiles in their bellies that can be spit from their mouths. Releasing natural pockets of compressed air in their spines propel their attacks, so close combat is suggested."

Codex_Evolved_Shooter_B_DescKey,"The evolved form of Spitters, a Blaster can also digest a victim's flesh into various poisonous or flammable excretions, making their ranged attacks even deadlier. Their mandibles are nasty, but resist the urge to keep your distance."

Codex_Evolved_Spawner_DescKey,"Hulking monsters with elongated limbs and sharp claws. A Spawner cries out as if they are constantly in pain, especially when birthing offspring from its belly orifice. After devouring a victim, it can spawn up to a dozen Creepers within minutes."

Codex_Evolved_Spawner_Minion_DescKey,"A Creeper resembles a human head attached to four prickly spider legs. Its fangs bite deep, and Creepers from the same 'mother' share an empathic link, enhancing each one's combat ability when launching a coordinated assault."

